time	rss	kernel
0	1560576	0
11385029	6979584	0
21276410	12746752	0
31292101	18382848	0
41178430	24141824	0
51268617	29990912	0
61272272	35889152	0
71285969	41918464	0
81273653	47816704	0
91297964	53452800	0
101182808	59351040	0
111299569	65380352	0
121271958	71147520	0
131274031	77176832	0
141282438	82944000	0
151208407	88711168	0
161304533	94216192	0
171268273	99852288	0
181212071	105488384	0
191285557	111255552	0
201301650	116891648	0
211309886	122658816	0
221284362	128294912	0
231242006	133931008	0
241288003	136290304	0
251281614	136290304	0
261248771	136290304	0
271278385	136290304	0
281285703	136290304	0
291299870	136290304	0
301278963	136290304	0
311275026	136290304	0
321287575	136290304	0
331231335	136290304	0
341184055	136290304	0
351172141	136290304	0
361306144	136290304	0
371180098	136290304	0
381272635	136290304	0
391233442	136290304	0
401305019	136290304	0
411292692	136290304	0
421289815	136290304	0
431283121	136290304	0
441290330	136290304	0
451213236	136290304	0
461276402	136290304	0
471185384	136290304	0
481273469	136290304	0
491284980	136290304	0
501290049	136290304	0
511286688	136290304	0
521296998	136290304	0
531198205	136290304	0
541287690	136290304	0
551228934	136290304	0
561290735	136290304	0
571306825	136290304	0
581272679	136290304	0
591272414	136290304	0
601304143	136290304	0
611273735	136290304	0
621287127	136290304	0
631284860	136290304	0
641291523	136290304	0
651284939	136290304	0
661292148	136290304	0
671184646	136290304	0
681289243	136290304	0
691282913	136290304	0
701330021	136290304	0
711288325	136290304	0
721302618	136290304	0
731180061	136290304	0
741304743	136290304	0
751291585	136290304	0
761270370	136290304	0
771300650	136290304	0
781291667	136290304	0
791338067	136290304	0
801281051	136290304	0
811229631	136290304	0
821234208	136290304	0
831285810	136290304	0
841228722	136290304	0
851284115	136290304	0
861170974	136290304	0
871303918	136290304	0
881287737	136290304	0
891286096	136290304	0
901204256	136290304	0
911271043	136290304	0
921270667	136290304	0
931286906	136290304	0
941292916	136290304	0
951340188	136290304	0
961186117	136290304	0
971255226	136290304	0
981287503	136290304	0
991286935	136290304	0
1001290495	136290304	0
1011266434	136290304	0
1021229290	136290304	0
1031284666	136290304	0
1041292119	136290304	0
1051289968	136290304	0
1061218021	136290304	0
1071266391	136290304	0
1081292419	136290304	0
1091288909	136290304	0
1101227268	136290304	0
1111290647	136290304	0
1121271900	136290304	0
1131264976	136290304	0
1141285669	136290304	0
1151229438	136290304	0
1161200762	136290304	0
1171233037	136290304	0
1181306102	136290304	0
1191241962	136290304	0
1201290588	136290304	0
1211229634	136290304	0
1221306773	136290304	0
1231284506	136290304	0
1241282115	136290304	0
1251283751	136290304	0
1261274134	136290304	0
1271294089	136290304	0
1281260648	136290304	0
1291304635	136290304	0
1301312430	136290304	0
1311229080	136290304	0
1321339999	136290304	0
1331287896	136290304	0
1341303606	136290304	0
1351181471	136290304	0
1361295820	136290304	0
1371305341	136290304	0
1381230488	136290304	0
1391303514	136290304	0
1401273423	136290304	0
1411273210	136290304	0
1421271347	136290304	0
1431293302	136290304	0
1441305082	136290304	0
1451215734	136290304	0
1461251754	136290304	0
1471288289	136290304	0
1481288405	136290304	0
1491283421	136290304	0
1501287954	136290304	0
1511240684	136290304	0
1521306198	136290304	0
1531274522	136290304	0
1541192932	136290304	0
1551293127	136290304	0
1561286773	136290304	0
1571277416	136290304	0
1581271510	136290304	0
1591240833	136290304	0
1601293230	136290304	0
1611312598	136290304	0
1621302086	136290304	0
1631240960	136290304	0
1641307243	136290304	0
1651281970	136290304	0
1661291783	136290304	0
1671290979	136290304	0
1681201638	136290304	0
1691292355	136290304	0
1701184401	136290304	0
1711291486	136290304	0
1721290269	136290304	0
1731270360	136290304	0
1741272840	136290304	0
1751285360	136290304	0
1761287726	136290304	0
1771288478	136290304	0
1781204157	136290304	0
1791168880	136290304	0
1801281110	136290304	0
1811286966	136290304	0
1821200613	136290304	0
1831287875	136290304	0
1841303170	136290304	0
1851287743	136290304	0
1861278653	136290304	0
1871273481	136290304	0
1881287895	136290304	0
1891305547	136290304	0
1901272261	136290304	0
1911274769	136290304	0
1921291062	136290304	0
1931290251	136290304	0
1941228598	136290304	0
1951290219	136290304	0
1961326434	136290304	0
1971228693	136290304	0
1981307664	136290304	0
1991282467	136290304	0
2001270577	136290304	0
2011294069	136290304	0
2021267184	136290304	0
2031231837	136290304	0
2041271192	136290304	0
2051304585	136290304	0
2061269993	136290304	0
2071268887	136290304	0
2081165030	136290304	0
2091259864	136290304	0
2101229041	136290304	0
2111267539	136290304	0
2121306474	136290304	0
2131271607	136290304	0
2141271757	136290304	0
2151253466	136290304	0
2161268641	136290304	0
2171268619	136290304	0
2181267827	136290304	0
2191221253	136290304	0
2201303518	136290304	0
2211269030	136290304	0
2221284765	136290304	0
2231283604	136290304	0
2241292086	136290304	0
2251268782	136290304	0
2261286008	136290304	0
2271285557	136290304	0
2281189398	136290304	0
2291282479	136290304	0
2301229957	136290304	0
2311164968	136290304	0
2321315397	136290304	0
2331289347	136290304	0
2341290259	136290304	0
2351273510	136290304	0
2361281742	136290304	0
2371331630	136290304	0
2381271717	136290304	0
2391229880	136290304	0
2401293412	136290304	0
2411302391	136290304	0
2421186040	136290304	0
2431285296	136290304	0
2441228389	136290304	0
2451216237	136290304	0
2461229391	136290304	0
2471278997	136290304	0
2481271294	136290304	0
2491284642	136290304	0
2501280969	136290304	0
2511305844	136290304	0
2521270512	136290304	0
2531271103	136290304	0
2541272774	136290304	0
2551240843	136290304	0
2561293179	136290304	0
2571288210	136290304	0
2581288820	136290304	0
2591231233	136290304	0
2601301364	136290304	0
2611229271	136290304	0
2621293227	136290304	0
2631279770	136290304	0
2641289569	136290304	0
2651229080	136290304	0
2661288624	136290304	0
2671293050	136290304	0
2681270991	136290304	0
2691294905	136290304	0
2701279315	136290304	0
2711273311	136290304	0
2721196543	136290304	0
2731285556	136290304	0
2741267333	136290304	0
2751230382	136290304	0
2761285231	136290304	0
2771229716	136290304	0
2781288453	136290304	0
2791312849	136290304	0
2801290211	136290304	0
2811292360	136290304	0
2821299543	136290304	0
2831311062	136290304	0
2841287725	136290304	0
2851273804	136290304	0
2861185019	136290304	0
2871285326	136290304	0
2881288163	136290304	0
2891289825	136290304	0
2901289811	136290304	0
2911301899	136290304	0
2921305773	136290304	0
2931229478	136290304	0
2941287645	136290304	0
2951230584	136290304	0
2961289443	136290304	0
2971272408	136290304	0
2981268694	136290304	0
2991305409	136290304	0
3001230038	136290304	0
3011273056	136290304	0
3021294666	136290304	0
3031292819	136290304	0
3041289101	136290304	0
3051308553	136290304	0
3061172673	136290304	0
3071290906	136290304	0
3081303754	136290304	0
3091287731	136290304	0
3101287650	136290304	0
3111305472	136290304	0
3121271698	136290304	0
3131271876	136290304	0
3141311540	136290304	0
3151253230	136290304	0
3161272222	136290304	0
3171283386	136290304	0
3181275772	136290304	0
3191291754	136290304	0
3201299329	136290304	0
3211229427	136290304	0
3221300408	136290304	0
3231294468	136290304	0
3241291694	136290304	0
3251291420	136290304	0
3261291816	136290304	0
3271311587	136290304	0
3281272229	136290304	0
3291292421	136290304	0
3301276114	136290304	0
3311275733	136290304	0
3321272419	136290304	0
3331288845	136290304	0
3341202246	136290304	0
3351228311	136290304	0
3361287189	136290304	0
3371290759	136290304	0
3381279068	136290304	0
3391212110	136290304	0
3401227623	136290304	0
3411298009	136290304	0
3421301788	136290304	0
3431292838	136290304	0
3441281987	136290304	0
3451244770	136290304	0
3461278776	136290304	0
3471300962	136290304	0
3481275165	136290304	0
3491317691	136290304	0
3501269080	136290304	0
3511288869	136290304	0
3521288222	136290304	0
3531291328	136290304	0
3541183100	136290304	0
3551295516	136290304	0
3561198485	136290304	0
3571189337	136290304	0
3581229336	136290304	0
3591287020	136290304	0
3601285606	136290304	0
3611294882	136290304	0
3621271037	136290304	0
3631303284	136290304	0
3641272157	136290304	0
3651270495	136290304	0
3661275607	136290304	0
3671279645	136290304	0
3681236464	136290304	0
3691285580	136290304	0
3701283956	136290304	0
3711278289	136290304	0
3721264477	136290304	0
3731290561	136290304	0
3741299593	136290304	0
3751278459	136290304	0
3761299832	136290304	0
3771256867	136290304	0
3781288121	136290304	0
3791393539	136290304	0
3801272424	136290304	0
3811286542	136290304	0
3821289561	136290304	0
3831305576	136290304	0
3841192265	136290304	0
3851286206	136290304	0
3861267632	136290304	0
3871280101	136290304	0
3881310577	136290304	0
3891286630	136290304	0
3901279942	136290304	0
3911229505	136290304	0
3921230647	136290304	0
3931282473	136290304	0
3941292810	136290304	0
3951272473	136290304	0
3961281541	136290304	0
3971179372	136290304	0
