time	rss	kernel
0	1703936	0
11221113	6897664	0
21181793	12795904	0
31105772	18423808	0
41072712	24190976	0
51107059	29827072	0
61097586	35725312	0
71091647	41230336	0
81191331	47128576	0
91124670	52895744	0
101107069	58793984	0
111038133	64430080	0
121106680	70328320	0
131105554	76357632	0
141071591	81997824	0
151067379	87502848	0
161188469	93138944	0
171158528	98775040	0
181064304	104280064	0
191161795	110047232	0
201106227	115421184	0
211184302	121319424	0
221188859	126824448	0
231103299	132460544	0
241130456	138096640	0
251108294	139407360	0
261110663	139407360	0
271183599	139407360	0
281162369	139407360	0
291065650	139407360	0
301117112	139407360	0
311112633	139407360	0
321086457	139407360	0
331112196	135213056	0
341157690	131018752	0
351190822	122630144	0
361016605	118435840	0
371108235	114241536	0
381101555	110047232	0
391105935	101658624	0
401046722	97464320	0
411170953	93270016	0
421103198	89075712	0
431048309	80687104	0
441017330	72429568	0
451105574	68235264	0
461068069	59846656	0
471108352	55652352	0
481072711	51458048	0
491039371	47263744	0
501184025	39006208	0
511092327	35500032	0
521065121	25440256	0
531094288	19148800	0
541191199	12185600	0
551104353	7450624	0
561199376	2744320	0
571193196	9166848	0
581100081	15327232	0
591117492	20963328	0
601136260	26730496	0
611115277	32366592	0
621148752	38002688	0
631186194	43900928	0
641013754	49143808	0
651189924	54910976	0
661110347	60547072	0
671065404	66183168	0
681065917	70901760	0
691149818	70901760	0
701162521	70901760	0
711066064	70901760	0
721207349	70901760	0
731103155	70901760	0
741068181	70901760	0
751112713	70901760	0
761108119	70901760	0
771195015	70901760	0
781105629	70901760	0
791107209	70901760	0
801089947	70815744	0
811154052	70815744	0
821101109	70815744	0
831107803	70815744	0
841033380	70815744	0
851161212	70815744	0
861106338	70815744	0
871189059	70815744	0
881033544	70815744	0
891206197	70815744	0
901133107	70815744	0
911006185	70815744	0
921068218	70815744	0
931156168	70815744	0
941072493	70815744	0
951106921	70815744	0
961085271	70815744	0
971091735	70815744	0
981096816	70815744	0
991182890	70815744	0
1001159772	70815744	0
1011185681	70815744	0
1021187935	70815744	0
1031108239	70815744	0
1041064808	70815744	0
1051105031	70815744	0
1061099725	70815744	0
1071010316	70815744	0
1081072321	70815744	0
1091103027	70815744	0
1101105505	70815744	0
1111111515	70815744	0
1121114080	70815744	0
1131183665	70815744	0
1141026865	70815744	0
1151126185	70815744	0
1161107399	70815744	0
1171192891	70815744	0
1181065374	70815744	0
1191157086	70815744	0
1201067643	70815744	0
1211113068	70815744	0
1221067894	70815744	0
1231065735	70815744	0
1241112417	70815744	0
1251067726	70815744	0
1261038976	70815744	0
1271178078	70815744	0
1281156568	70815744	0
1291085794	70815744	0
1301065993	70815744	0
1311188361	70815744	0
1321119851	70815744	0
1331065989	70815744	0
1341028188	70815744	0
1351107611	70815744	0
1361068711	70815744	0
1371104943	70815744	0
1381106184	70815744	0
1391141551	70815744	0
