time	rss	kernel
0	659456	159744
100458811	28667904	3653632
200429146	41480192	3641344
300437533	47509504	4124672
400459855	63414272	4444160
500439270	81817600	4755456
600479451	102531072	6512640
700478832	132386816	7892992
800491752	151085056	8425472
900470499	161132544	8564736
1000426785	170258432	8785920
1100427833	186941440	8962048
1200433289	200323072	9175040
1300428547	212041728	9277440
1400482643	212455424	9396224
1500461210	212701184	9420800
1600431108	215560192	9523200
1700438324	234856448	9625600
1800453897	248516608	9883648
1900425308	244678656	9920512
2000426180	256131072	9945088
2100470504	256131072	9945088
2200508110	256131072	9945088
2300467569	256315392	9945088
2400439563	256409600	9945088
2500468760	256294912	9945088
2600430648	256430080	9945088
2700516910	256663552	9945088
2800489830	256954368	9945088
2900473751	257544192	9949184
3000477063	259551232	10031104
3100466818	259780608	10031104
3200497850	259702784	10031104
3300466285	259702784	10031104
3400480495	259702784	10031104
3500479188	259584000	10031104
3600484167	259702784	10051584
3700468472	259739648	10051584
3800429713	262066176	10088448
3900440738	274743296	10113024
4000438379	283664384	10137600
4100450576	302481408	10174464
4200469852	316538880	10207232
4300472678	330989568	10235904
4400438381	340746240	10264576
4500516079	351604736	10289152
4600515295	361529344	10313728
4700441097	370962432	10321920
4800463950	374312960	10330112
4900460406	377712640	10334208
5000430579	380452864	10338304
5100439997	385744896	10354688
5200473554	388255744	10358784
5300454048	389353472	10362880
5400469021	390795264	10371072
5500464397	398196736	10407936
5600466099	405106688	10424320
5700468435	407977984	10424320
5800473876	418979840	10457088
5900461347	430252032	10534912
6000431535	431202304	10534912
6100457214	434454528	10563584
6200467518	435396608	10563584
6300434997	449290240	10600448
6400502034	446894080	10604544
6500484582	453136384	10620928
6600457471	455811072	10625024
6700466476	457076736	10637312
6800449844	463581184	10641408
6900469423	466546688	10649600
7000438515	446902272	10665984
7100458795	446025728	10665984
7200460479	447598592	10665984
7300433217	448610304	10665984
7400464368	453484544	10665984
7500442326	460869632	10674176
7600471926	468598784	10686464
7700445824	472928256	10694656
7800440841	477130752	10711040
7900463258	481771520	10715136
8000444956	482443264	10715136
8100454347	483241984	10715136
8200445307	482443264	10727424
8300437104	483745792	10727424
8400456968	485404672	10731520
8500473457	473657344	10768384
8600429108	434323456	10776576
8700459080	418721792	10764288
8800474606	419364864	10764288
8900440602	420544512	10776576
9000430230	420945920	10776576
9100432907	427896832	10776576
9200438134	436690944	10776576
9300433268	444432384	10784768
9400450467	447070208	10784768
9500433091	450355200	10788864
9600431845	432152576	10792960
9700430223	433709056	10792960
9800484792	437018624	10792960
9900457351	437399552	10792960
10000470126	439103488	10792960
10100438708	440537088	10792960
10200432718	443387904	10792960
10300457098	453750784	10792960
10400433683	463925248	10792960
10500511215	484233216	10792960
10600494827	480628736	10809344
10700461412	481243136	10813440
10800469464	482111488	10813440
10900434729	483512320	10813440
11000478672	486133760	10813440
11100452346	489185280	10813440
11200436161	498307072	10813440
11300463664	500191232	10813440
11400464382	509198336	10829824
11500477633	483762176	10842112
11600501773	482607104	10842112
11700429152	482328576	10842112
11800456746	482529280	10850304
11900426644	480370688	10850304
12000473991	480616448	10850304
12100457165	481243136	10850304
12200433140	480579584	10850304
12300432717	484020224	10850304
12400442433	481492992	10850304
12500443751	482963456	10850304
12600441755	484716544	10850304
12700475759	487714816	10850304
12800463108	479768576	10854400
12900448321	480321536	10854400
13000470055	481632256	10854400
13100544622	488284160	10854400
13200433051	488542208	10854400
13300432478	488968192	10854400
13400470755	489762816	10854400
13500431973	486604800	10850304
13600442986	487096320	10850304
13700438847	487104512	10850304
13800432289	487366656	10850304
13900438783	487424000	10850304
14000466496	488128512	10854400
14100445278	487481344	10854400
14200470320	488275968	10854400
14300441268	488669184	10854400
14400442818	493113344	10854400
14500445646	493498368	10854400
14600471759	495398912	10870784
14700434420	495964160	10870784
14800433205	503402496	10899456
14900435837	499736576	10899456
15000472065	500506624	10899456
15100448919	501129216	10899456
15200441921	501915648	10899456
15300473719	502702080	10899456
15400468464	504930304	10899456
15500475278	506241024	10899456
15600491279	509779968	10899456
15700486734	511025152	10903552
15800490557	515338240	10907648
15900481579	522514432	10903552
16000436100	529547264	10915840
16100436750	533139456	10919936
16200439876	538644480	10924032
16300450793	542068736	10932224
16400437958	543436800	10936320
16500491098	543027200	10936320
16600484525	544559104	10936320
16700461631	538849280	10936320
16800465927	520757248	10932224
16900457568	521547776	10932224
17000478916	522072064	10932224
17100477733	523120640	10936320
17200478734	523411456	10936320
17300483357	530190336	10936320
17400451634	539889664	10936320
17500448030	538030080	10940416
17600467081	538517504	10940416
17700474776	539205632	10944512
17800494636	539750400	10944512
17900493402	540413952	10944512
18000480965	540131328	10944512
18100502337	540418048	10944512
18200502155	541540352	10944512
18300495083	541597696	10944512
18400487183	541728768	10944512
18500506352	542699520	10944512
18600565356	542830592	10948608
18700480963	547348480	10948608
18800434509	555749376	10964992
18900479205	557543424	10964992
19000508283	560766976	10964992
19100491998	542986240	10964992
19200466229	543870976	10964992
19300552437	547672064	10969088
19400461620	547651584	10973184
19500485138	549089280	10973184
19600482384	550551552	10977280
19700434060	571129856	10977280
19800476453	573743104	10985472
19900492137	557142016	10985472
20000472942	548044800	10997760
20100488090	544104448	10985472
20200472487	544165888	10985472
20300435704	544501760	10985472
20400460143	544833536	10985472
20500437482	544919552	10985472
20600437044	544751616	10985472
20700431095	546840576	10985472
20800542097	546942976	10985472
20900476623	549244928	10985472
21000494897	549441536	10989568
21100496496	549474304	10989568
21200499542	545910784	10989568
21300472109	546586624	10989568
