time	rss	kernel
0	708608	233472
100494264	28983296	3727360
200505306	42176512	3690496
300480193	48246784	4255744
400497554	67141632	4558848
500516362	85098496	4796416
600493407	120393728	7122944
700491762	147767296	8630272
800483825	155947008	8740864
900509825	164339712	8859648
1000474852	180359168	9142272
1100515170	193773568	9224192
1200476923	211255296	9494528
1300495767	213233664	9506816
1400479866	213549056	9592832
1500473294	221003776	9723904
1600512106	234475520	9760768
1700493965	247316480	9879552
1800474949	240615424	9973760
1900521577	252923904	10014720
2000492627	256999424	10055680
2100477422	256974848	10055680
2200544545	256856064	10055680
2300600422	256733184	10055680
2400483278	256733184	10055680
2500970996	256606208	10055680
2600635842	256851968	10055680
2700519778	257114112	10055680
2800695751	256970752	10055680
2900969799	257392640	10055680
3000715230	257286144	10055680
3100966714	257167360	10055680
3200800580	257122304	10055680
3300696235	257232896	10055680
3400879218	257232896	10055680
3500517704	257232896	10055680
3600931671	257372160	10055680
3700475437	259756032	10092544
3800474926	272601088	10141696
3900502200	281468928	10162176
4000474643	301330432	10203136
4100475887	316731392	10240000
4200492314	330723328	10268672
4300507972	340848640	10289152
4400495825	353038336	10334208
4500497278	366714880	10350592
4600479345	371806208	10391552
4700484546	375148544	10399744
4800479818	378875904	10407936
4900511970	384454656	10420224
5000478050	387612672	10436608
5100475958	388800512	10444800
5200494266	390852608	10452992
5300477073	399978496	10539008
5400494091	406704128	10551296
5500501946	412471296	10559488
5600528741	423129088	10579968
5700477257	431005696	10596352
5800494181	434876416	10608640
5900474490	436187136	10608640
6000474928	448389120	10665984
6100494918	446607360	10670080
6200497740	453808128	10678272
6300534359	456560640	10686464
6400475684	457629696	10686464
6500495342	464896000	10694656
6600497000	475353088	10715136
6700522801	447389696	10715136
6800498891	448831488	10715136
6900474625	449904640	10715136
7000494095	453308416	10723328
7100497973	461430784	10727424
7200538961	469553152	10743808
7300511456	473264128	10747904
7400504920	476684288	10760192
7500520384	479846400	10768384
7600497588	481550336	10776576
7700496802	482816000	10780672
7800477144	480546816	10784768
7900494273	481828864	10784768
8000492354	476266496	10805248
8100727971	446402560	10805248
8200495651	426606592	10792960
8300524054	427311104	10792960
8400500756	426942464	10797056
8500493194	427012096	10809344
8600496268	431316992	10809344
8700493246	437264384	10809344
8800496231	449658880	10846208
8900490448	451067904	10846208
9000491782	453533696	10850304
9100473792	436813824	10850304
9200492320	438636544	10850304
9300506066	439955456	10858496
9400518680	442249216	10862592
9500477706	443822080	10862592
9600548321	445943808	10862592
9700499975	448884736	10862592
9800546666	456482816	10862592
9900500437	469864448	10862592
10000478075	486924288	10862592
10100473503	483491840	10866688
10200495209	484573184	10866688
10300480703	485523456	10866688
10400479662	486117376	10866688
10500476666	488665088	10866688
10600497670	490999808	10866688
10700497122	495902720	10866688
10800523212	491794432	10866688
10900523162	492294144	10866688
11000479979	491360256	10866688
11100481629	492146688	10866688
11200538363	490246144	10870784
11300531618	469381120	10891264
11400474811	468406272	10891264
11500476084	469999616	10891264
11600495481	471498752	10891264
11700530675	473853952	10891264
11800493070	469422080	10891264
11900497429	468475904	10891264
12000497135	467079168	10891264
12100475347	466268160	10891264
12200478981	466427904	10891264
12300525213	467083264	10891264
12400524050	474685440	10891264
12500480287	476282880	10899456
12600517739	476987392	10899456
12700478080	477417472	10899456
12800528447	478244864	10899456
12900531460	476749824	10899456
13000521770	477405184	10899456
13100523446	479526912	10899456
13200511374	476524544	10895360
13300497561	476622848	10895360
13400485793	476999680	10903552
13500476530	475656192	10903552
13600475959	476233728	10903552
13700476870	477675520	10903552
13800484089	485896192	11104256
13900481804	488009728	10915840
14000476980	488640512	10915840
14100498228	497143808	10944512
14200481584	493568000	10944512
14300476847	494268416	10944512
14400477252	495054848	10944512
14500475986	495841280	10948608
14600477133	498331648	10948608
14700478908	504025088	10952704
14800532362	505597952	10952704
14900480036	508350464	10952704
15000478443	509460480	10952704
15100539143	514965504	10956800
15200501036	522301440	10973184
15300498889	527060992	10985472
15400497091	531771392	10989568
15500479649	536399872	10993664
15600549778	537726976	10997760
15700536741	541421568	11001856
15800475455	538877952	10985472
15900477910	544514048	10993664
16000495974	549564416	11001856
16100475661	536887296	11001856
16200498263	537747456	11001856
16300520737	538009600	11001856
16400497361	542187520	11001856
16500473625	543141888	11001856
16600477029	547991552	11001856
16700476295	556359680	11005952
16800474888	559792128	11014144
16900476690	560513024	11018240
17000473929	562208768	11018240
17100478194	546648064	11018240
17200485209	547033088	11018240
17300499346	547553280	11018240
17400552044	549519360	11018240
17500557761	567644160	11038720
17600503121	592154624	11079680
17700536315	619241472	11128832
17800548499	611377152	11128832
17900553002	614129664	11128832
18000479186	620298240	11128832
18100478416	621797376	11128832
18200490621	631455744	11153408
18300502819	633389056	11153408
18400498095	634241024	11153408
18500499684	638304256	11157504
18600500678	621154304	11157504
18700513488	622329856	11161600
18800477213	623845376	11161600
18900501823	625418240	11165696
19000479301	628695040	11169792
19100478665	630411264	11169792
19200475269	617959424	11190272
19300495428	618229760	11190272
19400480936	617971712	11190272
19500538440	620093440	11190272
19600502182	620691456	11190272
19700478206	620462080	11182080
19800497125	622817280	11182080
19900531740	623091712	11182080
20000534871	618868736	11182080
20100523181	619008000	11182080
20200524915	619298816	11182080
20300480399	618274816	11182080
20400512710	565542912	11182080
20500486918	566456320	11182080
20600475400	568365056	11182080
20700500087	571994112	11182080
20800492385	573255680	11182080
20900480553	574386176	11218944
21000506166	575959040	11251712
21100481431	577081344	11251712
21200484733	578523136	11251712
21300479197	579428352	11284480
21400476979	580870144	11284480
21500475897	584957952	11284480
21600474543	584531968	11284480
21700476388	585875456	11284480
21800477025	586747904	11284480
21900482528	588713984	11284480
22000478005	589443072	11284480
22100481762	591015936	11284480
22200500736	592662528	11284480
22300500960	600715264	11296768
22400476028	599703552	11358208
22500478834	596193280	11399168
22600500805	596979712	11399168
22700498016	597766144	11399168
22800513788	598421504	11399168
22900500289	598683648	11399168
23000475543	600014848	11399168
23100473898	600145920	11399168
23200497895	590213120	11399168
23300554263	591654912	11399168
23400501272	593096704	11399168
23500498057	593276928	11399168
23600536753	595234816	11399168
23700535605	596299776	11399168
23800502640	596971520	11399168
23900504765	597536768	11399168
24000478004	599662592	11399168
24100499820	599547904	11399168
24200481920	600625152	11399168
24300476099	602804224	11399168
24400475053	603713536	11399168
24500503222	604631040	11399168
24600475078	607588352	11399168
24700500046	612569088	11399168
24800502007	621219840	11399168
24900497250	600154112	11399168
25000477831	600682496	11399168
25100492490	601321472	11399168
25200541946	602038272	11399168
25300494376	604176384	11399168
25400497709	606142464	11399168
25500478662	608313344	11399168
25600500131	611328000	11399168
25700481019	610934784	11399168
25800557073	611147776	11399168
25900476255	603348992	11399168
26000475290	601686016	11407360
26100493025	601919488	11407360
26200478340	601329664	11407360
26300498979	601907200	11407360
26400545819	602251264	11407360
26500508380	602193920	11407360
26600477841	602882048	11407360
26700495320	605011968	11407360
26800528678	584687616	11407360
26900522630	586555392	11407360
27000498150	587997184	11407360
27100483188	589406208	11407360
27200470001	589606912	11407360
27300495365	582275072	11407360
27400480240	582492160	11407360
27500489258	575426560	11407360
27600483860	579596288	11407360
27700479000	577957888	11407360
27800497199	577110016	11407360
27900495478	576049152	11407360
28000500267	577351680	11407360
28100506630	576872448	11407360
28200478112	577519616	11407360
28300480228	581197824	11407360
28400497510	584957952	11407360
28500494942	585302016	11407360
28600534203	585953280	11407360
28700482193	586346496	11407360
28800512820	586919936	11407360
28900477854	587706368	11407360
29000490496	587837440	11407360
29100501213	585564160	11407360
29200499588	588292096	11407360
29300552106	586358784	11407360
29400497112	584953856	11407360
29500475744	585609216	11407360
29600497365	586264576	11407360
29700498654	586752000	11407360
29800500127	587460608	11407360
29900501299	587796480	11407360
30000482870	594612224	11411456
30100503289	591503360	11411456
30200496915	593702912	11411456
30300479420	595275776	11411456
30400483923	596848640	11411456
30500482342	601042944	11419648
30600492243	604844032	11419648
30700490343	607203328	11419648
30800513242	608800768	11427840
