time	rss	kernel
0	708608	233472
100638891	28745728	3674112
200659525	42151936	3641344
300665076	47910912	4194304
400698159	66686976	4427776
500621244	84967424	4681728
600613930	124719104	6889472
700624381	147357696	8626176
800653713	157638656	8826880
900668978	165806080	8888320
1000635381	181485568	9113600
1100607631	193523712	9220096
1200630418	210911232	9383936
1300761846	213078016	9461760
1400768036	213467136	9519104
1500633236	215756800	9572352
1600637439	234475520	9613312
1700629232	247652352	9895936
1800607695	238649344	9682944
1900761148	245825536	9854976
2000758189	246206464	9854976
2100765803	259051520	9969664
2200765689	258826240	10055680
2300754488	258826240	10055680
2400604157	258789376	10055680
2500604498	259076096	10092544
2600752936	258875392	10092544
2700669209	259526656	10092544
2800756244	259411968	10092544
2900758086	259616768	10092544
3000757960	259878912	10092544
3100760478	260464640	10092544
3200759102	260464640	10092544
3300757512	261128192	10096640
3400760303	261128192	10096640
3500755855	261234688	10096640
3600759462	261689344	10096640
3700615724	266682368	10215424
3800611709	276471808	10240000
3900671169	289562624	10272768
4000662903	305278976	10301440
4100678415	328495104	10350592
4200647888	335958016	10391552
4300650903	346218496	10416128
4400648282	354709504	10444800
4500628334	370814976	10461184
4600618987	374775808	10498048
4700612693	376344576	10506240
4800685654	380596224	10514432
4900667947	385994752	10522624
5000652435	387960832	10530816
5100631445	389505024	10530816
5200676040	391340032	10534912
5300663760	402722816	10567680
5400607520	405803008	10571776
5500677937	412999680	10584064
5600613468	424849408	10604544
5700667226	430198784	10817536
5800608829	435884032	10629120
5900649992	437395456	10641408
6000654230	451424256	10694656
6100614002	450695168	10792960
6200657314	460521472	10706944
6300667317	463126528	10711040
6400638340	465223680	10715136
6500606148	467640320	10719232
6600628539	475144192	10727424
6700695696	448712704	10727424
6800657532	450154496	10735616
6900647467	451407872	10735616
7000669781	456781824	10735616
7100678311	464498688	10743808
7200649205	472494080	10756096
7300657012	475934720	10768384
7400662631	479604736	10780672
7500673172	482373632	10784768
7600676012	483946496	10784768
7700638054	485556224	10792960
7800642554	483602432	10801152
7900631180	484855808	10801152
8000641134	480763904	10997760
8100818452	479363072	10801152
8200613775	430071808	10809344
8300653554	431038464	10809344
8400628048	430211072	10813440
8500658329	430612480	10821632
8600607343	432058368	10821632
8700643211	439586816	10821632
8800623253	445153280	10907648
8900657854	440557568	10870784
9000645893	439996416	10870784
9100613157	441421824	10936320
9200608567	444571648	10874880
9300666972	445382656	10874880
9400620886	442249216	10878976
9500664527	443604992	10878976
9600663522	445870080	10911744
9700640761	448884736	10878976
9800648311	452087808	10878976
9900667253	456818688	10878976
10000662855	474243072	10878976
10100607570	475185152	10911744
10200658182	478375936	10878976
10300619730	478617600	10878976
10400664859	473718784	10891264
10500642181	475144192	10891264
10600611973	474275840	10891264
10700664074	474669056	10891264
10800613758	475181056	10891264
10900687344	475623424	10924032
11000646753	476491776	10891264
11100667153	458829824	10891264
11200779751	458866688	10899456
11300635593	458977280	10899456
11400626873	460193792	10899456
11500642597	462123008	10899456
11600660818	465514496	11030528
11700649301	468918272	10907648
11800610793	468189184	10907648
11900612725	471830528	10907648
12000643771	474968064	10907648
12100622147	477163520	10907648
12200623569	479211520	10911744
12300607998	478572544	10928128
12400606879	479121408	10928128
12500653266	479395840	10928128
12600645933	480210944	10960896
12700656914	480796672	10928128
12800647682	481087488	10928128
12900642077	479404032	10924032
13000672919	479330304	10924032
13100670398	479514624	10924032
13200685514	479772672	11124736
13300650719	482181120	10924032
13400643395	481759232	10924032
13500646625	482357248	10924032
13600638201	482906112	10936320
13700641339	483299328	10936320
13800657611	484184064	10936320
13900638887	484704256	10936320
14000635444	492613632	10948608
14100656671	489037824	10948608
14200667103	489717760	10948608
14300654213	490635264	10952704
14400659024	491421696	10956800
14500633711	492208128	10964992
14600610471	492265472	10964992
14700677053	492527616	10964992
14800607004	492658688	10964992
14900606804	483532800	10964992
15000677407	483794944	10964992
15100671142	484057088	10964992
15200683120	465780736	10964992
15300612908	467746816	10964992
15400647216	468811776	10973184
15500674669	469352448	10973184
15600650939	470736896	10973184
15700622882	472186880	10973184
15800614018	473300992	11022336
15900673118	473952256	10956800
16000621863	473559040	11153408
16100658086	474468352	10956800
16200650801	475037696	10956800
16300670023	477790208	10956800
16400780881	483901440	10956800
16500658245	487890944	10956800
16600627325	464453632	10956800
16700635893	469086208	10956800
16800626955	472002560	10956800
16900642602	473481216	10956800
17000605962	474193920	10956800
17100634334	476921856	10956800
17200661428	479412224	10956800
17300699100	481452032	10956800
17400666838	484007936	10956800
17500677040	484073472	10956800
17600670151	478117888	10956800
17700629454	477184000	10956800
17800605834	476532736	10956800
17900648100	483340288	10956800
18000611325	484134912	10956800
18100654622	484491264	10956800
18200609997	484564992	10956800
18300629437	485879808	10956800
18400652099	474337280	10956800
18500641271	474742784	10960896
18600659570	475332608	10960896
18700653491	480206848	10960896
18800631905	478490624	10960896
18900706295	479264768	10960896
19000641712	476733440	10960896
19100663164	477016064	10960896
19200644360	470593536	10956800
19300649391	474968064	10956800
19400651291	476516352	10956800
19500655470	490094592	10952704
19600638278	476008448	10952704
19700669236	476033024	10952704
19800637250	474365952	10952704
19900612506	475680768	10952704
20000611418	482156544	10952704
20100640454	483467264	10952704
20200651899	483512320	10952704
20300656480	484159488	10952704
20400650545	484552704	10952704
20500663777	482816000	10956800
20600680637	486748160	10956800
20700677487	487354368	10956800
20800646030	487542784	10956800
20900645006	491122688	10960896
21000635060	487100416	10960896
21100671121	487915520	10960896
21200631213	488439808	10993664
21300646113	496041984	10997760
21400644149	497426432	11001856
21500677101	498069504	11001856
21600707244	498405376	11001856
21700645376	506974208	11030528
21800654364	503431168	11030528
21900667068	504098816	11030528
22000617630	504754176	11030528
22100667083	509079552	11034624
22200675689	516382720	11034624
22300662730	518217728	11034624
22400646729	520577024	11034624
22500630198	522596352	11034624
22600628866	527114240	11128832
22700673543	532353024	11137024
22800684103	540606464	11149312
22900670023	545792000	11161600
23000664921	552992768	11169792
23100663011	557977600	11177984
23200672187	561401856	11182080
23300643901	559796224	11186176
23400640229	559955968	11186176
23500606415	562479104	11190272
23600632489	567726080	11194368
23700615544	567222272	11198464
23800618129	567799808	11198464
23900632053	568127488	11198464
24000630251	559493120	11198464
24100636353	559886336	11198464
24200650810	566833152	11198464
24300608364	575807488	11202560
24400689630	577036288	11206656
24500629624	578207744	11210752
24600638013	579559424	11214848
24700610530	582324224	11214848
24800614297	578707456	11214848
24900618977	579756032	11214848
25000613178	585043968	11214848
25100618310	608894976	11259904
25200615334	629268480	11300864
25300766066	650371072	11341824
25400607406	658681856	11358208
25500605718	656842752	11366400
25600640926	661979136	11366400
25700634170	663490560	11366400
25800640772	669995008	11382784
25900661261	672174080	11382784
26000640484	674283520	11390976
26100663234	682438656	11407360
26200669766	682897408	11411456
26300651989	683495424	11419648
26400632818	687763456	11427840
26500658689	689631232	11431936
26600663295	689401856	11436032
26700608965	666333184	11440128
26800634500	667398144	11440128
26900660835	666411008	11440128
27000780957	667762688	11444224
27100647225	669782016	11448320
27200655746	668717056	11448320
27300668638	668741632	11448320
27400643304	653000704	11464704
27500610869	652988416	11464704
27600613629	651636736	11464704
27700613969	651771904	11464704
27800612306	652513280	11464704
27900618161	652906496	11464704
28000617113	658747392	11464704
28100614477	659070976	11464704
28200613119	659263488	11464704
28300612576	663511040	11464704
28400648877	664293376	11464704
28500632996	664424448	11464704
28600643714	665022464	11464704
28700680357	665153536	11464704
28800755653	669171712	11464704
28900698485	669491200	11464704
29000669851	669491200	11464704
29100678757	663785472	11464704
29200658790	663261184	11464704
29300680272	664047616	11464704
29400668696	664571904	11464704
29500641444	665096192	11464704
29600631071	665432064	11464704
29700614025	665899008	11464704
29800609613	674676736	11464704
