time	rss	kernel
0	606208	118784
100553299	29224960	3985408
200570672	42307584	3940352
300514329	48033792	4501504
400561749	66023424	4812800
500572090	84824064	5087232
600528929	123482112	7057408
700535785	147017728	8667136
800549802	156778496	8769536
900567054	165765120	8847360
1000550315	182026240	9117696
1100544129	193454080	9203712
1200543606	210284544	9502720
1300684371	212525056	9519104
1400684064	212631552	9605120
1500517557	219582464	9703424
1600587134	233078784	9768960
1700641399	250056704	9883648
1800681282	253390848	10088448
1900692576	244842496	10096640
2000518024	246702080	10104832
2100703124	256880640	10158080
2200576642	256888832	10158080
2300665128	256704512	10158080
2400660265	256602112	10158080
2500656560	256733184	10158080
2600656744	256909312	10158080
2700548000	257060864	10162176
2800714623	256970752	10162176
2900655723	256970752	10162176
3000677877	256864256	10162176
3100502660	257241088	10162176
3200665759	257462272	10162176
3300524010	257593344	10162176
3400661216	258371584	10166272
3500662859	258371584	10166272
3600659284	258519040	10166272
3700502291	260771840	10215424
3800579603	273281024	10268672
3900546014	283762688	10375168
4000539656	304189440	10412032
4100577731	322560000	10448896
4200519275	333189120	10473472
4300575616	342896640	10493952
4400585149	353660928	10530816
4500560926	368881664	10539008
4600570306	373030912	10551296
4700562263	375910400	10555392
4800577536	379449344	10563584
4900517613	385097728	10575872
5000589949	388243456	10584064
5100538863	389459968	10588160
5200566309	391753728	10592256
5300591581	399376384	10612736
5400553444	405213184	10629120
5500569517	411111424	10633216
5600546189	421490688	10661888
5700571780	430272512	10674176
5800557805	434733056	10682368
5900542768	435970048	10694656
6000538464	448647168	10735616
6100545012	446865408	10739712
6200565682	453369856	10756096
6300517998	457191424	10760192
6400579030	458584064	10764288
6500574869	464146432	10768384
6600582095	472928256	10780672
6700562586	446001152	10780672
6800586042	447180800	10780672
6900547510	448385024	10780672
7000577693	453230592	10780672
7100557453	461357056	10801152
7200558323	469221376	10813440
7300535170	473272320	10825728
7400575069	477810688	10829824
7500577218	480878592	10833920
7600584472	481550336	10838016
7700519247	484503552	10862592
7800559877	482992128	10866688
7900590762	484253696	10866688
8000505225	480272384	10874880
8100691082	479920128	10874880
8200520860	427819008	10870784
8300543628	428478464	10870784
8400519346	428355584	10874880
8500574904	427573248	10878976
8600518065	428068864	10878976
8700573914	435732480	10878976
8800517462	442511360	10883072
8900566916	431726592	10883072
9000577575	432476160	10883072
9100542184	434966528	10883072
9200506834	438079488	10891264
9300568410	438870016	10891264
9400534759	439668736	10891264
9500544019	436346880	10891264
9600546031	438075392	10891264
9700548415	440827904	10891264
9800554855	444030976	10891264
9900576572	448499712	10891264
10000506414	467791872	10891264
10100520868	468557824	10891264
10200539187	472403968	10899456
10300528110	473919488	10899456
10400561442	476721152	10899456
10500506956	479186944	10899456
10600568159	487899136	10903552
10700576735	484732928	10903552
10800589834	487923712	10911744
10900546440	483516416	10932224
11000535703	455184384	10932224
11100527834	455888896	10932224
11200525860	456941568	10936320
11300587095	456871936	10936320
11400563300	459419648	10936320
11500559721	458788864	10936320
11600507288	460382208	10936320
11700575634	463998976	10936320
11800507631	454721536	10948608
11900549541	454832128	10948608
12000533161	453750784	10948608
12100529851	453758976	10948608
12200575760	454348800	10948608
12300578041	455438336	10948608
12400548089	457822208	10948608
12500557404	461447168	10948608
12600557696	458833920	10948608
12700582674	459702272	10948608
12800709733	460144640	10948608
12900556683	461611008	10948608
13000579583	462823424	10948608
13100521149	464158720	10948608
13200575336	462352384	10944512
13300543515	466345984	10944512
13400554559	467296256	10944512
13500590238	460099584	10944512
13600576628	460636160	10944512
13700525423	461160448	10944512
13800543461	437370880	10944512
13900582142	438943744	10944512
14000694272	439771136	10944512
14100573656	449933312	10956800
14200580891	447672320	10964992
14300551991	449155072	10964992
14400555605	450859008	10969088
14500574217	452431872	10981376
14600574715	455503872	10981376
14700548776	457076736	10981376
14800587663	459436032	10981376
14900581191	460640256	10981376
15000584551	462606336	10981376
15100554690	464048128	10981376
15200553734	465489920	10981376
15300546075	465285120	10981376
15400518750	466993152	10981376
15500575946	467664896	10981376
15600583806	468467712	10981376
15700688511	470024192	10981376
15800582263	471187456	10964992
15900550341	471224320	10964992
16000561303	459845632	10964992
16100504732	442060800	10960896
16200559254	442454016	10960896
16300548789	442847232	10960896
16400522323	443871232	10964992
16500548627	450772992	10964992
16600568867	462422016	10964992
16700552782	463233024	10964992
16800507408	462499840	10964992
16900554093	464908288	10964992
17000563719	467349504	10964992
17100531488	468811776	10964992
17200528853	471433216	10964992
17300555813	473079808	10964992
17400591702	472530944	10964992
17500585485	441778176	10964992
17600572145	444354560	10964992
17700542186	446353408	10964992
17800581000	447025152	10964992
17900521266	456208384	10964992
18000585010	457437184	10964992
18100576453	461479936	10964992
18200532294	461680640	10964992
18300562119	477802496	10964992
18400557943	477372416	10964992
18500572081	477646848	10964992
18600553997	478400512	10964992
18700516550	475865088	10964992
18800689937	476807168	10964992
18900572452	477200384	10964992
19000592281	479002624	10964992
19100516819	480288768	10964992
19200559896	484040704	10964992
19300533960	480935936	10964992
19400542390	476041216	10964992
19500549065	476807168	10969088
19600580550	493346816	10969088
19700528210	484487168	10960896
19800544094	485240832	10960896
19900534763	486682624	10960896
20000555957	487542784	10960896
20100608287	493088768	10960896
20200559021	493944832	10960896
20300600385	494895104	10960896
20400577225	495050752	10960896
20500575478	494137344	10960896
20600526067	494268416	10960896
20700519340	494383104	10960896
20800529802	494514176	10960896
20900563548	498118656	10973184
21000572703	495566848	10973184
21100574564	496484352	10973184
21200543956	497401856	10973184
21300539985	501121024	10977280
21400534243	501874688	10977280
21500550292	502288384	10977280
21600526539	508211200	11010048
21700578124	503123968	11010048
21800548143	503619584	11010048
21900591235	506634240	11010048
22000544771	512139264	11010048
22100583358	521314304	11018240
22200560195	526163968	11018240
22300554943	528150528	11018240
22400558473	530247680	11018240
22500524584	539144192	11079680
22600586207	544833536	11137024
22700582984	552693760	11149312
22800542687	559407104	11165696
22900568271	564355072	11169792
23000565902	569614336	11177984
23100556982	572764160	11182080
23200560301	576827392	11186176
23300523534	574087168	11190272
23400537548	576811008	11194368
23500571830	577855488	11202560
23600524460	582901760	11214848
23700574944	583475200	11214848
23800573922	583999488	11214848
23900558198	586227712	11214848
24000550556	575758336	11214848
24100568787	580083712	11214848
24200529389	584978432	11214848
24300576100	593629184	11218944
24400545367	593059840	11218944
24500579042	593518592	11223040
24600506167	595320832	11223040
24700552929	596910080	11231232
24800552328	594259968	11235328
24900549293	592310272	11235328
25000558704	599126016	11239424
25100569485	624156672	11280384
25200563301	637612032	11304960
25300507199	652062720	11337728
25400562787	651943936	11337728
25500589187	661385216	11358208
25600559776	670294016	11374592
25700569681	671657984	11374592
25800552281	673918976	11378688
25900550422	675491840	11382784
26000528573	682713088	11399168
26100594467	684384256	11407360
26200547136	688054272	11407360
26300558755	699609088	11444224
26400585913	704577536	11452416
26500542951	706670592	11452416
26600550592	707715072	11460608
26700517934	669159424	11460608
26800578400	670797824	11464704
26900569212	669704192	11464704
27000567994	671088640	11468800
27100528064	673341440	11472896
27200536789	671948800	11472896
27300530794	652087296	11493376
27400544779	651403264	11493376
27500569755	651431936	11493376
27600573803	651710464	11493376
27700506566	650690560	11493376
27800562201	616611840	11489280
27900554779	617283584	11489280
28000548892	618405888	11493376
28100522360	626200576	11493376
28200505249	627347456	11493376
28300550343	628391936	11493376
28400522446	629571584	11493376
28500583292	630824960	11493376
28600556507	632266752	11493376
28700572889	633708544	11493376
28800570436	630239232	11493376
28900521442	632827904	11493376
29000549347	632139776	11493376
29100581025	632827904	11493376
29200545951	633614336	11493376
29300567442	634138624	11493376
29400539274	634531840	11493376
29500567362	635129856	11493376
29600588916	635465728	11493376
29700546514	641855488	11493376
29800584087	638222336	11493376
29900581392	639098880	11493376
30000575556	639885312	11493376
30100545493	640671744	11505664
30200578980	641196032	11505664
30300581533	641720320	11505664
30400565787	643555328	11505664
30500545319	644788224	11505664
30600588369	646492160	11505664
30700561366	647933952	11505664
30800576348	649363456	11505664
30900552878	649691136	11505664
31000567644	651526144	11505664
31100562568	652513280	11505664
31200580907	653565952	11505664
31300541950	654454784	11505664
31400681881	654053376	11505664
31500544188	655101952	11505664
31600551408	645935104	11505664
31700548269	646574080	11563008
31800529005	642633728	11563008
31900585130	643158016	11563008
32000543198	643420160	11563008
32100525475	643739648	11563008
32200556729	648298496	11563008
32300546291	645222400	11563008
32400518122	649547776	11563008
32500574418	649084928	11563008
32600555955	650272768	11546624
32700507495	651870208	11546624
32800583026	653672448	11530240
32900552904	655638528	11530240
33000584931	657641472	11530240
33100586916	660393984	11530240
33200530187	663146496	11534336
33300585674	663330816	11534336
33400523871	663465984	11534336
33500531421	663605248	11534336
33600529764	664260608	11534336
33700540005	666177536	11534336
33800584670	670076928	11534336
33900571461	670855168	11534336
34000577930	682373120	11534336
34100553097	685047808	11534336
34200577309	686596096	11534336
34300584501	689086464	11534336
34400549466	689999872	11534336
34500587663	692490240	11538432
34600573748	697573376	11538432
34700613357	711168000	11571200
34800586020	714883072	11571200
34900587689	718303232	11571200
35000587539	676225024	11571200
35100560797	676433920	11571200
35200518754	676728832	11571200
35300526304	677273600	11571200
35400528979	681308160	11579392
35500554091	683331584	11583488
35600574207	687718400	11591680
35700544094	687181824	11591680
35800518465	691560448	11599872
35900544633	674848768	11599872
36000542572	675762176	11599872
36100516196	676032512	11599872
36200566731	680620032	11599872
