time	rss	kernel
0	573440	102400
100442083	28905472	3653632
200495959	42045440	3608576
300467388	47804416	4190208
400434212	65708032	4456448
500491032	84393984	4648960
600452149	124727296	6823936
700438255	147132416	8728576
800450524	156880896	8851456
900466602	164052992	8904704
1000432299	176336896	9129984
1100455142	190906368	9281536
1200477050	206589952	9498624
1300609862	213024768	9523200
1400474918	213143552	9576448
1500451766	219070464	9613312
1600484074	231997440	9732096
1700514979	244813824	9805824
1800591211	245166080	9814016
1900585773	240435200	9797632
2000585054	240492544	9797632
2100584458	240549888	9797632
2200631886	240795648	9879552
2300579923	241147904	9912320
2400466229	253108224	9936896
2500592329	253157376	9973760
2600481424	255983616	10035200
2700477691	257159168	10104832
2800585628	258428928	10113024
2900587789	258805760	10113024
3000581313	258670592	10113024
3100475512	258916352	10113024
3200489653	258953216	10113024
3300578244	258961408	10113024
3400465642	260534272	10117120
3500605250	260534272	10117120
3600428885	261435392	10178560
3700430947	263430144	10264576
3800440509	271556608	10285056
3900440771	283635712	10506240
4000454186	304455680	10346496
4100475403	318701568	10387456
4200487422	333537280	10571776
4300475477	342978560	10432512
4400486759	355000320	10477568
4500497963	369602560	10493952
4600496330	374243328	10502144
4700483918	377167872	10510336
4800508402	380354560	10514432
4900496748	386482176	10526720
5000475363	389713920	10530816
5100433841	391237632	10539008
5200472845	392966144	10539008
5300484432	400756736	10571776
5400434723	406913024	10584064
5500460139	412418048	10592256
5600467151	423272448	10612736
5700440623	430219264	10629120
5800440427	434036736	10637312
5900514776	435359744	10641408
6000489229	448135168	10698752
6100482298	446726144	10702848
6200463637	454795264	10711040
6300493165	458379264	10715136
6400467792	459423744	10727424
6500487921	464965632	10731520
6600503681	472829952	10739712
6700504816	446177280	10752000
6800503318	447356928	10752000
6900468403	448430080	10752000
7000487130	452886528	10752000
7100478012	461012992	10764288
7200445950	469008384	10776576
7300437800	473223168	10784768
7400436973	478588928	10788864
7500455609	482533376	10797056
7600459991	483205120	10797056
7700437025	485564416	10817536
7800455323	483487744	10821632
7900483718	483876864	10821632
8000476049	480481280	10960896
8100617446	445878272	10846208
8200463635	425979904	10838016
8300495438	426815488	10838016
8400483235	426315776	10842112
8500470252	425750528	10850304
8600471577	427220992	10850304
8700499712	434835456	10850304
8800495586	442560512	10887168
8900459796	450215936	10919936
9000449427	449630208	10891264
9100465151	434675712	11055104
9200443284	436609024	10891264
9300487330	438493184	10928128
9400497574	441200640	10928128
9500460753	442904576	10928128
9600470951	444633088	10928128
9700516233	447574016	10928128
9800548419	454791168	10928128
9900493154	464764928	10928128
10000465753	486723584	11026432
10100444928	483110912	10997760
10200470538	484106240	10932224
10300493627	484974592	10932224
10400465609	486133760	10932224
10500475739	487751680	10932224
10600465832	492072960	10932224
10700463777	492773376	10936320
10800437214	491155456	10936320
10900445734	490377216	10936320
11000462111	491819008	10936320
11100443627	492351488	10936320
11200462167	489910272	10936320
11300439583	469942272	10944512
11400599402	469884928	10944512
11500433110	470593536	10944512
11600446516	472383488	10944512
11700450607	473939968	10977280
11800633535	476839936	10977280
11900438155	475734016	10977280
12000436776	475844608	10977280
12100474196	474046464	10981376
12200448429	476893184	10981376
12300480153	475566080	11177984
12400487487	476028928	10981376
12500498319	479723520	10981376
12600494954	485052416	10981376
12700473978	485769216	10981376
12800475715	486334464	10981376
12900460875	486273024	10981376
13000476309	486776832	10977280
13100550662	487858176	10977280
13200472222	480931840	10989568
13300487183	481148928	10989568
13400475807	483049472	10997760
