time	rss	kernel
0	643072	163840
100560019	29184000	4014080
200557149	42127360	3985408
300558498	48107520	4497408
400515347	66220032	4857856
500599674	84807680	5021696
600575355	125050880	7028736
700559137	148688896	8671232
800558134	157732864	8810496
900538865	165982208	8839168
1000536607	182009856	8998912
1100571162	194191360	9195520
1200513861	211353600	9363456
1300677336	214749184	9416704
1400714202	214851584	9482240
1500683746	216080384	9568256
1600543789	232230912	9670656
1700561304	245985280	9703424
1800658283	251187200	9846784
1900511282	246480896	9891840
2000512891	254898176	9940992
2100558983	257462272	9986048
2200723029	258129920	10006528
2300663437	258314240	10006528
2400669166	258899968	10006528
2500662938	259125248	10010624
2600670631	259162112	10010624
2700671987	258957312	10043392
2800615493	259612672	10043392
2900668996	259502080	10043392
3000661821	259821568	10043392
3100606725	259727360	10043392
3200661203	259809280	10047488
3300659743	259940352	10047488
3400663840	260071424	10047488
3500658242	260071424	10047488
3600666905	260333568	10047488
3700514105	260575232	10047488
3800549766	270192640	10113024
3900540917	282738688	10141696
4000662700	304250880	10182656
4100550611	318885888	10215424
4200514981	333213696	10244096
4300518654	342982656	10264576
4400521464	354758656	10301440
4500524571	369438720	10326016
4600532772	374964224	10334208
4700542707	377909248	10371072
4800555526	381448192	10379264
4900559102	387579904	10391552
5000576294	390496256	10407936
5100559843	393527296	10481664
5200606536	395632640	10485760
5300574087	402321408	10510336
5400575946	409075712	10526720
5500575625	414584832	10547200
5600556218	425439232	10567680
5700564462	432254976	10584064
5800552812	435994624	10600448
5900563225	437202944	10612736
6000576443	449531904	10653696
6100560053	447356928	10661888
6200582871	455630848	10665984
6300572793	458985472	10682368
6400543768	460267520	10686464
6500549119	467345408	10706944
6600582945	474083328	10719232
6700580340	448499712	10719232
6800594046	449679360	10719232
6900545872	450752512	10719232
7000558275	454029312	10719232
7100577273	462176256	10731520
7200615663	470298624	10747904
7300545694	474783744	10752000
7400547603	477810688	10756096
7500562257	482656256	10776576
7600551964	483422208	10776576
7700534361	484294656	10780672
7800551603	485392384	10784768
7900549803	485916672	10788864
8000561138	487489536	10788864
8100669507	445788160	10801152
8200513136	428888064	10788864
8300558666	429641728	10788864
8400513580	430370816	10788864
8500552358	429477888	10801152
8600541951	429842432	10801152
8700555026	438829056	10801152
8800578776	445112320	10805248
8900545441	453414912	10805248
9000573838	454025216	10813440
9100564557	453206016	10813440
9200548010	440045568	10817536
9300510808	442228736	10821632
9400577999	444633088	10821632
9500562838	445812736	10821632
9600572834	447672320	10821632
9700578648	450424832	10821632
9800583361	454885376	10821632
9900579474	460709888	10821632
10000579784	487055360	10825728
10100534545	483446784	10825728
10200537139	484073472	10825728
10300540366	485232640	10825728
10400549002	486617088	10825728
10500575907	489107456	10825728
10600540426	489443328	10825728
10700554320	484888576	10850304
10800549876	485634048	10850304
10900561412	485998592	10850304
11000568204	486121472	10850304
11100553649	487018496	10850304
11200539489	488112128	10854400
11300589725	459698176	10862592
11400572407	459915264	10862592
11500558062	460107776	10862592
11600550284	462061568	10862592
11700535542	465383424	10862592
11800521583	465633280	10862592
11900519462	468709376	10862592
12000536768	467693568	10862592
12100516475	467607552	10862592
12200552659	466690048	10862592
12300567016	467959808	10862592
12400516394	469708800	10862592
12500547652	476418048	10862592
12600580569	476880896	10862592
12700565729	477515776	10862592
12800554203	477908992	10862592
12900572042	476479488	10862592
13000580431	476872704	10862592
13100582777	476938240	10862592
13200573852	477155328	10862592
13300549765	476577792	10854400
13400556024	475992064	10854400
13500580895	474697728	10862592
13600567761	475185152	10862592
13700524844	479641600	10862592
13800515101	482746368	10862592
13900579168	485105664	10866688
14000585070	485707776	10866688
14100543843	487878656	10895360
14200515471	484130816	10895360
14300586018	484831232	10895360
14400585380	485617664	10895360
14500591534	486404096	10895360
14600558163	488894464	10895360
14700576979	490393600	10895360
14800571400	490508288	10895360
14900573011	491819008	10895360
15000566772	499576832	10899456
15100586082	505204736	10899456
15200581072	513327104	10911744
15300551188	519839744	10924032
15400559752	529276928	10936320
15500561597	534298624	10944512
15600564871	537853952	10948608
15700517393	541417472	10956800
15800514413	534040576	10940416
15900535844	530501632	10940416
16000544936	530669568	10940416
16100514835	530038784	10944512
16200546773	530640896	10944512
16300589826	531165184	10944512
16400572782	531427328	10944512
16500562300	531820544	10948608
16600561459	536289280	10948608
16700546429	537063424	10948608
16800562729	539811840	10952704
16900558503	540106752	10952704
17000514458	541020160	10956800
17100527420	542928896	10956800
17200518912	543514624	10956800
17300520911	546152448	10964992
17400519455	561033216	10969088
17500520692	582397952	11014144
17600522707	600440832	11046912
17700521452	624558080	11096064
17800518715	625344512	11096064
17900514592	637177856	11120640
18000516545	631001088	11120640
18100549443	632057856	11120640
18200545592	634728448	11124736
18300602598	638660608	11128832
18400545670	643559424	11132928
18500572000	645554176	11132928
18600569223	649269248	11141120
18700577901	653463552	11149312
18800586916	659984384	11165696
18900557624	663965696	11169792
19000592454	665317376	11169792
19100534919	649920512	11173888
19200670905	645935104	11173888
19300555768	646852608	11173888
19400521998	649023488	11177984
19500548710	647602176	11173888
19600579880	630849536	11173888
19700516401	629063680	11173888
19800560430	628183040	11173888
19900554154	577720320	11169792
20000571715	581206016	11169792
20100516931	580812800	11169792
20200590119	582746112	11169792
20300560644	587464704	11173888
20400542192	590184448	11173888
20500558804	592543744	11173888
20600573919	593162240	11173888
20700573974	593100800	11173888
20800549118	593502208	11173888
20900533563	594796544	11177984
