time	rss	kernel
0	741376	253952
100593991	28905472	3899392
200625836	42176512	3915776
300636838	48156672	4521984
400644502	67051520	4722688
500653299	85307392	4984832
600618132	124919808	6893568
700597933	146993152	8626176
800632777	156078080	8777728
900653401	163930112	8916992
1000637391	175583232	9117696
1100603751	190976000	9281536
1200630460	203452416	9375744
1300749724	212328448	9461760
1400764658	212578304	9515008
1500594461	213037056	9568256
1600604079	222101504	9662464
1700594981	235159552	9793536
1800765358	245866496	9891840
1900594940	241360896	9895936
2000594255	255041536	10027008
2100751593	255209472	10059776
2200753691	255262720	10059776
2300595661	255778816	10080256
2400750796	256356352	10084352
2500748637	256503808	10084352
2600742616	256380928	10084352
2700746167	256802816	10084352
2800594824	257859584	10088448
2900748056	257970176	10096640
3000752431	257970176	10096640
3100746612	257896448	10096640
3200738459	258179072	10096640
3300743121	258187264	10096640
3400743750	258052096	10096640
3500741455	258088960	10096640
3600592611	258404352	10096640
3700749105	258580480	10096640
3800599280	262504448	10125312
3900639127	272236544	10145792
4000657105	293404672	10186752
4100643546	303509504	10203136
4200624706	327192576	10248192
4300597230	334905344	10280960
4400618265	347181056	10321920
4500624085	356061184	10350592
4600597531	371068928	10366976
4700598570	376033280	10383360
4800617967	378843136	10387456
4900604351	381857792	10452992
5000622633	391782400	10526720
5100643635	393080832	10530816
5200634304	394391552	10539008
5300659191	396087296	10543104
5400601782	406462464	10567680
5500634887	408289280	10579968
5600623964	415866880	10592256
5700627211	424960000	10612736
5800627526	431153152	10625024
5900654510	436133888	10649600
6000620258	437899264	10653696
6100659420	452083712	10706944
6200631444	451833856	10711040
6300658504	459972608	10731520
6400651231	462856192	10739712
6500626584	464953344	10752000
6600627031	467107840	10760192
6700626280	444796928	10760192
6800631432	445321216	10760192
6900644277	446894080	10760192
7000603146	448778240	10760192
7100626625	456364032	10764288
7200603725	464166912	10776576
7300600024	471420928	10788864
7400601127	475586560	10797056
7500623071	480796672	10809344
7600605272	484073472	10813440
7700605727	484876288	10813440
7800608661	483708928	10813440
7900651667	485462016	10821632
8000619892	486600704	10821632
8100644489	481738752	10842112
8200661323	479649792	10842112
8300654137	431460352	10833920
8400655898	432320512	10833920
8500635049	433324032	10833920
8600666435	431292416	10842112
8700631987	431767552	10842112
8800651950	440262656	10842112
8900632304	446812160	10850304
9000611551	454352896	10850304
9100617120	454852608	10850304
9200596343	443318272	10850304
9300615941	441462784	10850304
9400593797	443899904	10858496
9500599503	446406656	10858496
9600630754	447717376	10858496
9700631840	449445888	10858496
9800639942	452198400	10858496
