time	rss	kernel
0	724992	163840
100416693	28954624	3616768
200462731	41562112	3645440
300463819	47718400	4214784
400487586	65724416	4456448
500494395	84545536	4698112
600430137	124215296	6684672
700456220	147312640	8392704
800465155	156213248	8507392
900481179	163979264	8507392
1000439530	178003968	8753152
1100434496	192630784	8908800
1200433184	210268160	9076736
1300596919	212815872	9101312
1400608194	213508096	9240576
1500531978	219676672	9289728
1600471307	232402944	9449472
1700449268	246571008	9506816
1800602146	249610240	9601024
1900487799	245166080	9617408
2000599344	245100544	9621504
2100605413	256716800	9752576
2200608959	256860160	9805824
2300571123	256733184	9805824
2400561577	256782336	9805824
2500570041	256782336	9805824
2600567650	257015808	9809920
2700572620	257122304	9809920
2800566980	257110016	9809920
2900570197	257368064	9809920
3000589454	257277952	9809920
3100569998	257957888	9809920
3200507669	258588672	9814016
3300581770	258658304	9814016
3400474084	259706880	9842688
3500570838	260567040	9900032
3600594808	260669440	9900032
3700485356	261496832	9940992
3800477074	273719296	10047488
3900483406	282664960	10067968
4000486374	304017408	10104832
4100486907	321691648	10145792
4200417690	333832192	10174464
4300501970	342892544	10194944
4400504153	353562624	10231808
4500488869	368537600	10252288
4600417223	373219328	10264576
4700500222	376410112	10268672
4800490096	380506112	10272768
4900499361	386166784	10289152
5000465529	389246976	10293248
5100471209	390254592	10297344
5200452837	392155136	10301440
5300476322	400637952	10326016
5400493442	406695936	10342400
5500514921	412794880	10358784
5600461188	423047168	10383360
5700491194	429953024	10395648
5800431604	434155520	10420224
5900484815	435322880	10420224
6000475481	448344064	10465280
6100516282	445960192	10469376
6200481467	454086656	10477568
6300497752	458039296	10485760
6400459335	459374592	10485760
6500491415	464506880	10493952
6600438584	474443776	10514432
6700486621	445730816	10514432
6800484443	447041536	10514432
6900454761	448241664	10514432
7000486728	454008832	10514432
7100443953	462000128	10522624
7200438605	470126592	10539008
7300439400	473309184	10555392
7400444073	476463104	10567680
7500431900	479485952	10571776
7600436320	481058816	10571776
7700430983	482377728	10596352
7800464669	482074624	10604544
7900467640	483540992	10604544
8000428843	482758656	10608640
8100601061	473927680	10608640
8200492434	425918464	10600448
8300469498	425611264	10600448
8400427854	426790912	10604544
8500463690	425893888	10612736
8600490546	426258432	10612736
8700491644	435335168	10612736
8800428893	441450496	10612736
8900490489	449761280	10612736
9000454472	450105344	10612736
9100474064	452354048	10629120
9200480878	439300096	10633216
9300513501	439119872	10633216
9400574842	442118144	10637312
9500471312	443166720	10637312
9600432919	444645376	10637312
9700434449	447528960	10637312
9800441444	453484544	10637312
9900433180	463065088	10637312
10000452236	485687296	10637312
10100463761	482115584	10645504
10200459469	483049472	10653696
10300449591	483811328	10653696
10400465481	485040128	10653696
10500491899	487587840	10653696
10600427668	490352640	10657792
10700461500	493592576	10657792
10800488509	493948928	10657792
10900457703	487260160	10665984
