time	rss	kernel
0	675840	196608
100538171	28303360	3760128
200553526	41254912	3780608
300522208	47624192	4186112
400540704	64798720	4616192
500557237	84406272	4952064
600534531	123736064	6844416
700517029	146759680	8650752
800559179	155385856	8749056
900534600	163647488	8851456
1000615269	173006848	8949760
1100566029	190930944	9121792
1200514418	207220736	9330688
1300512157	213032960	9359360
1400532714	213364736	9383936
1500542680	220364800	9441280
1600574658	234229760	9535488
1700536467	246382592	9695232
1800520659	245174272	9789440
1900677518	245612544	9805824
2000512247	245792768	9842688
2100541121	259006464	9908224
2200670533	259125248	9908224
2300690715	259100672	9908224
2400658368	259362816	9908224
2500509952	259387392	9908224
2600667161	259362816	9908224
2700512289	259395584	9912320
2800666611	259284992	9912320
2900661001	259416064	9912320
3000944867	259547136	9912320
3100521817	260153344	9912320
3200716845	260022272	9912320
3300523303	259919872	9912320
3400519306	260096000	9912320
3500514112	260358144	9912320
3600552740	262017024	9916416
3700528124	264048640	9945088
3800538744	275320832	10006528
3900530480	283283456	10018816
4000565876	303935488	10133504
4100533027	315998208	10194944
4200557994	333369344	10227712
4300542591	343117824	10248192
4400545751	354783232	10272768
4500517810	362754048	10301440
4600557106	374005760	10309632
4700514855	376471552	10317824
4800612383	380481536	10326016
4900537714	386396160	10334208
5000548599	389410816	10342400
5100576372	390717440	10342400
5200541812	392859648	10350592
5300539726	400150528	10375168
5400524584	406855680	10387456
5500525494	412282880	10395648
5600562792	423399424	10420224
5700513284	433565696	10440704
5800532900	435159040	10444800
5900547826	438771712	10444800
6000535879	451354624	10526720
6100536602	450580480	10534912
6200572240	459911168	10543104
6300542125	463503360	10555392
6400564212	464719872	10559488
6500576209	467136512	10563584
6600566756	470413312	10563584
6700553884	444649472	10567680
6800584167	445603840	10567680
6900610483	446808064	10567680
7000556599	452313088	10571776
7100566305	460410880	10575872
7200583618	468013056	10588160
7300539527	472977408	10596352
7400540985	477151232	10604544
7500553098	480964608	10608640
7600568441	481505280	10608640
7700519070	484466688	10612736
7800549504	484560896	10620928
7900539630	484560896	10629120
8000512370	486215680	10633216
8100517883	477417472	10633216
8200543193	426840064	10633216
8300572291	427831296	10633216
8400516322	428490752	10637312
8500512263	426864640	10645504
