time	rss	kernel
0	892928	176128
100498440	28930048	3596288
200539690	42110976	3559424
300553458	48500736	4104192
400509658	67616768	4415488
500529072	85557248	4956160
600513503	123916288	6569984
700518713	147013632	8318976
800492370	157724672	8437760
900656243	168587264	8499200
1000513257	180785152	8892416
1100499580	193818624	8974336
1200512249	211259392	9371648
1300543852	213000192	9375744
1400647657	213684224	9474048
1500487403	221597696	9551872
1600511882	234676224	9654272
1700557253	247156736	9916416
1800536658	243130368	9801728
1900684045	244977664	9859072
2000645314	245284864	9932800
2100645125	256364544	9973760
2200645069	256299008	9973760
2300636490	256258048	9973760
2400644778	256315392	9973760
2500639920	256450560	9973760
2600625041	256933888	9973760
2700640528	257069056	9973760
2800642032	257028096	9973760
2900633725	257028096	9973760
3000638684	257134592	9973760
3100489452	257777664	9973760
3200637922	259112960	9973760
3300636961	259461120	9973760
3400631933	260714496	10047488
3500648113	260804608	10051584
3600641383	260849664	10051584
3700488983	262844416	10088448
3800523141	275337216	10113024
3900512521	283930624	10133504
4000531948	304635904	10170368
4100552417	320434176	10207232
4200515183	332369920	10231808
4300516030	342757376	10285056
4400533975	354172928	10321920
4500524853	369160192	10334208
4600495943	373731328	10354688
4700498080	376836096	10362880
4800525170	380379136	10366976
4900522306	386498560	10383360
5000502902	389324800	10387456
5100493829	390705152	10391552
5200538453	392667136	10399744
5300538203	400617472	10420224
5400548824	407638016	10440704
5500572132	412651520	10444800
5600544788	423530496	10473472
5700545764	430477312	10485760
5800547542	433950720	10493952
5900537491	435023872	10502144
6000527331	448593920	10539008
6100534547	446951424	10547200
6200513345	454905856	10559488
6300547678	459362304	10563584
6400529043	460300288	10567680
6500539872	464420864	10575872
6600549374	470458368	10579968
6700527402	445956096	10592256
6800562162	446967808	10592256
6900508924	448172032	10592256
7000556644	452497408	10592256
7100556759	460492800	10596352
7200539036	468357120	10612736
7300534949	473460736	10620928
7400556697	477794304	10625024
7500540764	482324480	10633216
7600544724	483119104	10633216
7700514823	484343808	10678272
7800524496	485486592	10682368
7900522368	486092800	10686464
8000545902	487325696	10690560
8100649486	446193664	10694656
8200525765	430571520	10686464
8300539712	430313472	10686464
8400532144	430096384	10686464
8500525302	430243840	10694656
8600527595	430489600	10694656
8700538085	438669312	10694656
8800505928	443584512	10694656
8900491435	451821568	10698752
9000533078	452386816	10698752
9100556591	437714944	10698752
9200518713	438206464	10706944
9300530665	439943168	10706944
9400556592	443465728	10706944
9500555165	444252160	10706944
9600547853	445587456	10706944
9700544302	448077824	10706944
9800561157	452591616	10706944
9900544121	458895360	10706944
10000530565	480718848	10706944
10100553390	486748160	10706944
10200563410	483205120	10711040
10300500937	484696064	10715136
10400550359	485556224	10715136
10500539432	488161280	10715136
10600546786	492109824	10715136
10700531050	492281856	10715136
10800522573	496201728	10715136
10900510673	501600256	10715136
11000516338	501686272	10723328
11100524029	494948352	10723328
11200503409	495734784	10723328
11300524672	495656960	10723328
11400489799	493584384	10735616
11500536749	495869952	10735616
11600559627	493961216	10735616
11700539913	494436352	10735616
11800507887	494358528	10735616
11900522841	494403584	10735616
12000534486	494759936	10735616
12100491094	488419328	10739712
12200553496	459534336	10739712
12300542235	461127680	10739712
12400532522	461877248	10739712
12500563917	463581184	10739712
12600552989	468455424	10739712
12700544808	468889600	10739712
12800547243	470028288	10739712
12900560631	471162880	10739712
13000558355	472866816	10739712
13100545884	473432064	10739712
13200535557	472109056	10735616
13300522695	473137152	10735616
13400572530	474710016	10735616
13500525481	478576640	10735616
13600604844	479580160	10735616
13700539071	480948224	10735616
13800513659	481865728	10735616
13900546695	482521088	10735616
14000525651	483487744	10735616
14100527024	479965184	10735616
14200489849	466825216	10752000
14300565809	459374592	10776576
14400490092	460992512	10776576
14500568536	462434304	10776576
14600532939	464007168	10776576
14700533611	465711104	10776576
14800537125	470355968	10784768
14900537818	471928832	10784768
15000568474	474288128	10784768
15100550660	475099136	10784768
15200541550	477065216	10784768
15300567736	478507008	10784768
15400525109	479903744	10784768
15500554118	479707136	10784768
15600531340	481804288	10784768
15700562700	482607104	10784768
