time	rss	kernel
0	749568	159744
100479165	26087424	3923968
200494405	40452096	4005888
300441768	47792128	4403200
400482266	64606208	4755456
500470254	83447808	4935680
600491273	122425344	6782976
700447765	146042880	8736768
800478164	154787840	8929280
900437670	163495936	8966144
1000457570	176615424	9150464
1100436527	192733184	9306112
1200463703	210477056	9637888
1300590140	213565440	9650176
1400590519	213749760	9736192
1500578656	215293952	9797632
1600435900	230289408	10031104
1700472839	242364416	10076160
1800584540	250445824	10231808
1900640756	246353920	10297344
2000485412	257949696	10391552
2100609044	257789952	10391552
2200590433	257757184	10391552
2300581660	257757184	10391552
2400581183	257757184	10391552
2500577452	258048000	10391552
2600428707	258543616	10391552
2700590272	258756608	10391552
2800589700	259063808	10391552
2900586190	260038656	10391552
3000470226	261242880	10428416
3100610059	261660672	10477568
3200577015	261660672	10477568
3300582999	261660672	10477568
3400926370	261599232	10477568
3500934551	261599232	10477568
3600747814	261918720	10477568
3700927097	261799936	10477568
3800473721	274505728	10543104
3900435259	278134784	10555392
4000432781	301391872	10616832
4100455626	309940224	10633216
4200460469	331718656	10674176
4300496010	339472384	10731520
4400479559	351473664	10768384
4500513585	365211648	10797056
4600521132	372764672	10805248
4700438094	376664064	10817536
4800465732	380747776	10821632
4900438838	382353408	10829824
5000465785	389259264	10842112
5100443351	390889472	10846208
5200442721	392265728	10850304
5300487754	399540224	10874880
5400512573	406867968	10891264
5500511990	410058752	10895360
5600467243	420245504	10915840
5700476315	428994560	10936320
5800490399	431009792	10940416
5900491507	434868224	10944512
6000437038	440500224	10977280
6100483693	445554688	11005952
6200488652	452399104	11010048
6300437243	456695808	11022336
6400470979	460423168	11030528
6500458858	462430208	11030528
6600485800	466808832	11034624
6700477367	446255104	11046912
6800499050	446640128	11046912
6900459608	448135168	11046912
7000494833	451407872	11051008
7100511825	459288576	11055104
7200520061	467017728	11067392
7300487975	472301568	11075584
7400472612	475185152	11083776
7500505016	481366016	11091968
7600507169	482824192	11091968
7700455752	483328000	11096064
7800483430	482840576	11108352
7900471138	484487168	11108352
8000460544	485662720	11108352
8100616319	440807424	11116544
8200471275	422670336	11108352
8300506263	423673856	11108352
8400496874	424476672	11108352
8500476707	423280640	11116544
8600442946	423907328	11116544
8700475854	432230400	11116544
8800453936	438460416	11149312
8900486717	430481408	11149312
9000481873	431947776	11149312
9100472856	433303552	11149312
9200462337	436518912	11157504
9300432480	437137408	11161600
9400470174	438337536	11165696
9500484311	438644736	11165696
9600491001	440111104	11165696
9700478806	442601472	11165696
9800499860	446853120	11165696
9900499592	455516160	11165696
10000495027	470589440	11165696
10100459670	475766784	11165696
10200455226	476483584	11169792
10300466925	477294592	11169792
10400479837	478621696	11169792
10500505973	483508224	11169792
10600512560	476127232	11169792
10700473676	476692480	11169792
10800463936	477089792	11169792
10900482142	477372416	11169792
11000488398	478396416	11169792
11100454163	478691328	11169792
11200473769	478998528	11182080
11300592963	483069952	11182080
11400480056	483389440	11182080
11500435816	483504128	11182080
11600467024	479633408	11182080
11700469186	479612928	11182080
11800510448	479834112	11182080
11900438204	479936512	11182080
12000491288	479813632	11182080
