time	rss	kernel
0	593920	118784
100533187	29007872	3870720
200545159	42356736	3837952
300598065	49410048	4390912
400564193	68390912	4653056
500530132	87134208	5599232
600553650	125698048	6942720
700516800	147152896	8462336
800543186	157564928	8671232
900512530	165646336	8794112
1000565779	181944320	9076736
1100555536	195129344	9232384
1200541208	210784256	9449472
1300656383	213180416	9457664
1400670903	213659648	9539584
1500548523	220061696	9666560
1600588588	233197568	9728000
1700532276	246505472	9842688
1800516864	249757696	9994240
1900511183	245407744	10018816
2000664534	245559296	10022912
2100663120	246251520	10022912
2200666355	246034432	10055680
2300676244	257568768	10080256
2400673342	257400832	10080256
2500661673	257032192	10080256
2600664647	257527808	10080256
2700655856	257581056	10080256
2800660249	257482752	10080256
2900576449	257523712	10080256
3000658818	257523712	10080256
3100656059	257400832	10080256
3200661276	257314816	10080256
3300653119	257843200	10080256
3400661474	257843200	10080256
3500605315	257982464	10080256
3600661871	258052096	10129408
3700554965	258592768	10129408
3800521736	273006592	10190848
3900512742	276668416	10203136
4000576482	300998656	10248192
4100549133	313802752	10313728
4200544034	330956800	10346496
4300555628	341180416	10403840
4400547399	353107968	10444800
4500577952	367394816	10457088
4600573243	372383744	10473472
4700548014	377163776	10481664
4800550783	380309504	10489856
4900576337	386232320	10506240
5000550996	389029888	10510336
5100562573	390529024	10510336
5200581353	392429568	10514432
5300576227	399794176	10539008
5400577955	405053440	10551296
5500576360	412262400	10567680
5600574929	422281216	10588160
5700566770	430931968	10604544
5800538568	435347456	10629120
5900560957	436514816	10633216
6000543469	449310720	10670080
6100575551	447791104	10678272
6200537546	454389760	10719232
6300566408	458133504	10797056
6400545992	459341824	10797056
6500556871	466870272	10805248
6600557788	475725824	10821632
6700542274	448905216	10825728
6800582556	450072576	10825728
6900536847	451276800	10825728
7000540135	453767168	10825728
7100550369	462024704	10829824
7200524834	470020096	10842112
7300549572	474198016	10850304
7400567939	478191616	10854400
7500548261	482693120	10858496
7600573808	483291136	10862592
7700537925	485228544	10903552
7800568350	485740544	10907648
7900581610	486395904	10907648
8000516322	450985984	10928128
8100514599	431767552	10960896
8200571155	432431104	10960896
8300562664	432824320	10960896
8400580579	433917952	10969088
8500566846	432877568	10969088
8600563543	440315904	10969088
8700551113	450781184	10977280
8800560812	456253440	10977280
8900540143	456564736	10977280
9000613503	459886592	10977280
9100513038	460791808	10977280
9200571778	459952128	10989568
9300601536	461062144	10989568
9400562005	461455360	10989568
9500554505	458997760	10989568
9600568305	430391296	10985472
9700578324	433405952	10985472
9800581321	435077120	10985472
9900567103	437374976	10985472
10000570267	438198272	10985472
10100534192	439713792	10993664
10200517860	445972480	10993664
10300515709	449961984	10993664
10400521618	451473408	10993664
10500525104	464338944	10993664
10600550785	473051136	10993664
10700567067	474279936	10993664
10800561503	478507008	10993664
10900514267	480329728	10993664
11000677404	481550336	10993664
11100517623	480776192	10993664
11200556443	482754560	10993664
11300547082	484245504	10993664
11400540520	488656896	10993664
11500529850	489750528	10993664
11600597796	483815424	10993664
11700542796	483954688	10993664
11800539793	483848192	10993664
11900521458	484126720	10993664
12000525394	484823040	10993664
12100537924	486789120	10993664
12200552446	489828352	10993664
12300586170	490180608	10993664
12400554073	489779200	10993664
12500515139	489971712	10993664
12600520382	490233856	10993664
12700518919	490938368	10993664
12800537695	491069440	10993664
12900518030	491343872	10993664
13000514482	491474944	10993664
13100547451	493002752	10993664
13200575240	493629440	10997760
13300541954	494284800	10997760
