time	rss	kernel
0	757760	249856
100522569	27406336	3948544
200504516	41406464	3915776
300525204	47771648	4280320
400475559	64503808	4681728
500529714	83722240	4890624
600500711	118001664	6696960
700450507	146145280	8548352
800520803	154959872	8642560
900451349	163233792	8683520
1000529898	175869952	8814592
1100523716	190869504	8994816
1200457148	203591680	9101312
1300628792	211877888	9216000
1400632792	212230144	9297920
1500492978	212287488	9297920
1600453860	225292288	9379840
1700530545	238317568	9404416
1800627080	254394368	9605120
1900637615	245506048	9629696
2000633766	245710848	9682944
2100657745	245936128	9682944
2200643976	246005760	9687040
2300642318	249401344	9756672
2400600995	249958400	9781248
2500453764	250159104	9854976
2600528740	250568704	9871360
2700603940	250966016	9871360
2800628258	251088896	9871360
2900655933	250888192	9871360
3000604122	250916864	9871360
3100600023	250904576	9871360
3200626266	251097088	9871360
3300624791	251207680	9875456
3400601265	251092992	9875456
3500594829	251404288	9875456
3600602555	251547648	9875456
3700618682	251404288	9875456
3800541795	264777728	9949184
3900462704	275202048	9973760
4000460596	300953600	10219520
4100454620	310820864	10178560
4200451458	330182656	10084352
4300463648	339087360	10190848
4400457384	351895552	10149888
4500499491	365146112	10178560
4600555987	371666944	10186752
4700459791	376066048	10326016
4800476294	379609088	10199040
4900506114	383803392	10244096
5000521886	389332992	10223616
5100447033	390610944	10227712
5200494843	392056832	10231808
5300527038	399671296	10248192
5400516429	405909504	10289152
5500450304	409399296	10264576
5600477110	419491840	10285056
5700495803	429846528	10309632
5800452299	431104000	10317824
5900495226	434511872	10330112
6000456804	435388416	10428416
6100453529	446160896	10403840
6200501158	451432448	10412032
6300450244	455757824	10424320
6400517552	459022336	10436608
6500477599	462180352	10436608
6600460718	466915328	10448896
6700515804	445612032	10473472
6800513442	446398464	10473472
6900453973	447864832	10473472
7000455595	452276224	10543104
7100497746	461000704	10584064
7200456035	468996096	10596352
7300456135	474714112	10604544
7400478229	477614080	10608640
7500490453	483250176	10616832
7600473680	484827136	10653696
7700496547	485949440	10719232
7800460032	485650432	10665984
7900543655	487010304	10665984
8000454961	487837696	10665984
8100662677	477634560	10670080
8200533970	425336832	10862592
8300518077	425271296	10661888
8400504118	426024960	10665984
8500517440	423981056	10665984
8600511777	425525248	10674176
8700524653	433815552	10674176
8800452842	439820288	10706944
8900529140	448131072	10727424
9000456111	448512000	10727424
9100450435	434708480	10727424
9200457256	435195904	10764288
9300526711	436953088	10764288
9400524920	440295424	10768384
9500523465	440885248	10768384
9600516721	442351616	10768384
9700452463	444973056	10768384
9800544485	454930432	10768384
9900532258	462733312	10768384
10000502385	486977536	10772480
10100510542	483467264	10776576
10200448076	484315136	10776576
10300517148	485130240	10776576
10400468977	486490112	10776576
10500471467	489816064	10776576
10600500546	490385408	10776576
10700496277	494153728	10784768
10800528920	498155520	10784768
10900497427	498573312	10784768
11000530146	499908608	10784768
11100503045	500539392	10784768
11200524806	500023296	10784768
11300527562	480661504	10801152
11400631926	479649792	10801152
11500512252	480448512	10801152
11600519021	482299904	10801152
11700450612	481583104	10801152
11800469035	485765120	10801152
11900533230	482934784	10801152
12000490010	482914304	10801152
12100551969	482971648	10801152
12200550311	487329792	10801152
12300517372	489721856	10801152
12400527200	495529984	10809344
12500522446	502501376	10813440
12600543107	499175424	10829824
12700514782	499662848	10829824
12800494433	500543488	10829824
12900523936	500674560	10829824
13000519579	501223424	10829824
13100490521	501190656	10829824
13200541779	501465088	10829824
13300550544	498495488	10821632
13400532545	495931392	10829824
13500518644	494866432	10829824
13600532597	495652864	10829824
13700462319	496287744	10829824
13800554202	496680960	10829824
13900464612	497135616	10829824
14000548318	497614848	10829824
14100490936	504614912	10858496
14200524550	500711424	10858496
14300520965	501030912	10858496
14400526642	501825536	10858496
14500458074	502611968	10858496
14600543227	505495552	10858496
14700527167	508043264	10858496
14800525786	508436480	10858496
14900504194	509616128	10858496
15000497400	516341760	10858496
15100492023	517181440	10858496
15200530287	524931072	10866688
15300530905	532135936	10883072
15400519571	536588288	10891264
15500500883	546287616	10903552
15600504474	550035456	10911744
15700500866	550969344	10911744
15800534853	555778048	10919936
15900517170	565288960	10919936
16000457812	566444032	10919936
16100520592	568479744	10919936
16200513965	571535360	10924032
16300545695	563904512	10948608
16400500181	564297728	10948608
16500499561	569077760	10948608
16600529351	571146240	10948608
16700579739	575586304	10948608
16800453252	586194944	10952704
16900449122	586858496	10956800
17000458877	587972608	10956800
17100463238	584015872	10956800
17200453240	585224192	10956800
17300532405	584937472	10956800
17400451473	585068544	10956800
17500505855	585535488	10956800
17600501658	595365888	10960896
17700538796	607633408	10985472
17800503375	628604928	11026432
17900521804	634699776	11038720
18000519408	643543040	11055104
18100459490	644784128	11063296
18200525633	645361664	11071488
18300492463	645804032	11079680
18400506552	649232384	11083776
18500453451	655642624	11100160
18600493827	660193280	11112448
18700532999	662683648	11112448
18800554242	667344896	11120640
18900506451	669835264	11124736
19000495944	654594048	11137024
19100456612	656347136	11141120
19200505013	657674240	11145216
19300626019	655626240	11145216
19400528222	657108992	11149312
19500518470	659259392	11153408
19600463437	660357120	11153408
19700499405	664031232	11161600
19800518746	663097344	11153408
19900454225	663085056	11153408
20000448133	665804800	11157504
20100459362	649691136	11161600
20200501970	650678272	11194368
20300530212	651071488	11198464
20400527037	653504512	11198464
20500551081	653979648	11198464
20600496155	654409728	11198464
20700502175	654934016	11198464
20800496516	655007744	11198464
20900505773	655532032	11198464
21000528898	655646720	11210752
21100497237	655962112	11210752
21200496408	658870272	11214848
21300523056	660938752	11214848
21400529632	660381696	11214848
21500550311	663154688	11214848
21600463010	663678976	11214848
21700517948	664334336	11214848
21800457777	664539136	11214848
21900548285	665194496	11214848
22000491332	669593600	11214848
22100528536	669855744	11214848
22200512558	669945856	11227136
22300528366	665133056	11227136
22400523803	665411584	11227136
22500529922	666329088	11227136
22600526410	667115520	11227136
22700521236	667766784	11227136
22800495008	668160000	11227136
22900509006	668422144	11227136
23000517260	668684288	11227136
23100452175	669229056	11231232
23200494775	670408704	11231232
23300504898	671850496	11235328
23400531867	673423360	11235328
23500519065	663134208	11243520
23600496740	663912448	11243520
23700462049	663674880	11243520
23800559880	664252416	11243520
23900518000	659898368	11243520
24000555099	626708480	11243520
24100450138	627044352	11243520
24200450531	627879936	11243520
24300465039	628797440	11243520
24400537670	629714944	11243520
