time	rss	kernel
0	598016	118784
100444548	27045888	3608576
200504227	41144320	3624960
300515747	47542272	4083712
400471674	64315392	4497408
500508292	83492864	4792320
600486851	122343424	6696960
700492732	145895424	8192000
800481603	154972160	8396800
900477180	162275328	8400896
1000473173	172683264	8654848
1100450906	190255104	8957952
1200474863	203341824	9076736
1300487944	212205568	9199616
1400449500	212426752	9203712
1500449316	212865024	9252864
1600477915	219021312	9338880
1700498957	232296448	9486336
1800467973	243470336	9588736
1900448584	244580352	9801728
2000446133	244826112	9805824
2100445731	244817920	9805824
2200486880	245080064	9805824
2300445956	245002240	9805824
2400446485	256487424	9879552
2500445215	256405504	9883648
2600443270	256643072	9883648
2700599755	256753664	9883648
2800600082	256544768	9883648
2900597997	256544768	9883648
3000441450	256536576	9883648
3100599481	256651264	9883648
3200600694	256782336	9883648
3300438581	256716800	9883648
3400442898	257372160	9883648
3500599962	258019328	9887744
3600480911	257986560	9904128
3700448635	258117632	9904128
3800488350	259448832	9953280
3900452951	274055168	10043392
4000452958	276946944	10080256
4100490806	301215744	10125312
4200496177	311582720	10145792
4300523089	331456512	10182656
4400450283	341065728	10211328
4500498182	352960512	10248192
4600505837	367398912	10268672
4700478484	372572160	10285056
4800506892	375902208	10293248
4900507192	379441152	10301440
5000500795	385691648	10313728
5100506179	388444160	10317824
5200515540	389943296	10321920
5300516850	391483392	10321920
5400501597	398790656	10354688
5500513921	405409792	10375168
5600492490	411131904	10391552
5700520801	422178816	10420224
5800475516	428613632	10432512
5900473061	431652864	10440704
6000485193	432902144	10440704
6100491468	445784064	10514432
6200479246	443879424	10522624
6300485875	453017600	10539008
6400454173	456998912	10543104
6500454541	458571776	10547200
6600476912	462299136	10563584
6700478735	466075648	10567680
6800508954	444993536	10584064
6900516468	445911040	10584064
7000453185	447250432	10584064
7100472327	450129920	10584064
7200490698	458248192	10588160
7300519206	465997824	10608640
7400529256	471371776	10616832
7500485127	474398720	10625024
7600484130	479506432	10633216
7700500451	480440320	10633216
7800452533	481792000	10653696
7900478680	482062336	10657792
8000538078	482394112	10661888
8100448728	483717120	10661888
8200608978	471822336	10665984
8300446264	422707200	10670080
8400476947	421965824	10674176
8500469509	422879232	10674176
8600513565	421691392	10682368
8700485112	422031360	10682368
8800497896	429666304	10682368
8900504559	437268480	10682368
9000510389	445177856	10682368
9100469481	445927424	10682368
9200496800	431661056	10694656
9300448250	434257920	10711040
9400468192	434651136	10711040
9500476707	437846016	10719232
9600470604	438513664	10756096
9700448484	440193024	10756096
9800481062	441790464	10764288
9900509002	445460480	10764288
10000488347	458493952	10764288
10100516067	457326592	10764288
10200569377	469553152	10768384
10300476901	470691840	10768384
10400447175	476299264	10768384
10500505342	477265920	10768384
10600505578	480542720	10768384
10700502306	481914880	10772480
10800447295	491347968	10772480
10900467179	491479040	10772480
11000504781	484139008	10772480
11100479378	484364288	10772480
11200504812	484945920	10772480
11300452761	485335040	10776576
11400444939	485494784	10792960
11500490396	480559104	10792960
11600490479	480845824	10792960
11700479692	462442496	10792960
11800468404	464855040	10792960
11900451629	465903616	10792960
12000451542	470462464	10792960
12100499801	471494656	10792960
12200468440	472711168	10792960
12300498269	476119040	10792960
12400469161	478957568	10792960
12500494247	480096256	10792960
12600485971	481300480	10792960
12700472141	482471936	10792960
12800451606	484274176	10792960
12900474257	485306368	10797056
13000490802	484515840	10797056
13100471699	484327424	10797056
13200499117	481964032	10792960
13300511179	482021376	10792960
13400497440	482250752	10792960
13500469570	482381824	10792960
13600449508	476467200	10792960
13700478512	475774976	10792960
13800457953	476430336	10792960
13900476609	477052928	10792960
14000472816	477446144	10792960
14100475254	444596224	10792960
14200492965	446124032	10792960
14300448912	454758400	10805248
14400492288	451502080	10805248
14500493546	450486272	10805248
14600483231	451403776	10805248
14700457369	452190208	10805248
14800489588	452976640	10805248
14900503274	456966144	10805248
15000499243	458203136	10805248
15100534119	460431360	10805248
15200502690	461938688	10805248
15300447906	463380480	10805248
15400496154	464822272	10805248
15500485507	465625088	10805248
15600479817	466612224	10805248
15700509516	467578880	10805248
15800499452	469282816	10805248
15900491108	469938176	10788864
16000498728	461996032	10788864
16100447545	462299136	10788864
16200470013	448942080	10788864
16300478877	449368064	10788864
16400500570	450428928	10788864
16500520869	451215360	10788864
16600510764	454361088	10788864
16700473761	458235904	10788864
16800495319	465784832	10788864
16900490235	475312128	10788864
17000512686	476491776	10788864
17100492612	477376512	10788864
17200445419	474451968	10788864
17300447845	476459008	10788864
17400510111	476418048	10788864
17500527343	476418048	10788864
17600471677	476688384	10788864
17700521630	476819456	10788864
17800553191	484376576	10788864
17900472139	499277824	10792960
18000511798	500510720	10792960
18100476625	508874752	10809344
18200475910	509767680	10809344
18300493426	511995904	10813440
18400491309	513269760	10813440
18500495604	530460672	10838016
18600475194	531951616	10838016
18700451436	540995584	10854400
18800500337	543600640	10858496
18900497306	546672640	10866688
19000480502	546275328	10866688
19100494981	544927744	10866688
19200450687	545189888	10866688
19300454543	545558528	10866688
19400453356	545640448	10866688
