time	rss	kernel
0	593920	118784
100578512	24088576	3362816
200594541	39878656	3489792
300615260	47108096	3788800
400633446	62181376	4210688
500603402	82059264	4431872
600555977	120627200	6328320
700607716	138665984	8024064
800567334	154181632	8503296
900739830	162992128	8585216
1000629345	170692608	8724480
1100555426	187650048	8925184
1200589037	201023488	9101312
1300702768	213004288	9252864
1400710515	213520384	9371648
1500550448	213315584	9371648
1600552249	225153024	9515008
1700580925	236392448	9625600
1800583516	253190144	9756672
1900600472	244842496	9801728
2000779247	245207040	9805824
2100713156	245166080	9805824
2200713731	245358592	9838592
2300704281	245358592	9838592
2400704291	245260288	9838592
2500695504	245260288	9838592
2600708427	256688128	9949184
2700711700	256888832	9953280
2800702818	256847872	9953280
2900702789	256720896	9953280
3000701442	256991232	9953280
3100702468	257208320	9953280
3200703749	257146880	9953280
3300697110	257146880	9953280
3400699829	257056768	9953280
3500700857	257105920	9953280
3600701313	258023424	9953280
3700705717	258646016	9957376
3800619291	261885952	10092544
3900588226	274010112	10055680
4000589845	285036544	10076160
4100592476	303198208	10113024
4200607378	322719744	10149888
4300556048	333086720	10170368
4400583828	343056384	10199040
4500556471	355201024	10235904
4600570677	368480256	10252288
4700579510	373227520	10272768
4800606297	378482688	10407936
4900600481	381906944	10412032
5000593905	388063232	10428416
5100622840	391065600	10436608
5200584897	392441856	10436608
5300574636	394682368	10440704
5400556691	401461248	10457088
5500570514	407011328	10469376
5600555890	413171712	10477568
5700580692	423899136	10506240
5800559635	430751744	10518528
5900582343	434413568	10522624
6000589955	435437568	10530816
6100595957	447782912	10604544
6200598029	445186048	10567680
6300629645	452796416	10579968
6400590945	455127040	10584064
6500609415	457617408	10588160
6600606756	465539072	10600448
6700600619	473141248	10616832
6800588891	446529536	10616832
6900606993	447840256	10616832
7000611355	448757760	10616832
7100588636	453611520	10616832
7200604668	461860864	10629120
7300619958	469848064	10645504
7400603243	473194496	10649600
7500586791	476995584	10661888
7600603470	480673792	10674176
7700594020	482377728	10674176
7800575567	483459072	10678272
7900581893	484368384	10678272
8000587706	483041280	10682368
8100602780	484470784	10690560
8200735168	482172928	10690560
8300595352	426717184	10694656
8400612885	427724800	10694656
8500583434	428765184	10698752
8600586310	426696704	10698752
8700610061	428339200	10702848
8800608425	434855936	10702848
8900575164	441516032	10706944
9000611897	449359872	10706944
9100585418	449748992	10715136
9200594059	433373184	10715136
9300587865	435044352	10719232
9400571257	437321728	10723328
9500600040	439980032	10723328
9600594682	441028608	10723328
9700599430	442626048	10723328
9800594256	445378560	10723328
9900598026	450940928	10723328
10000595652	462094336	10723328
10100590942	483594240	10723328
10200595489	485449728	10919936
10300558729	481992704	10723328
10400597552	482889728	10723328
10500599564	484474880	10727424
10600597565	487411712	10723328
10700559255	489611264	10723328
10800597576	498339840	10727424
10900562784	500985856	10727424
11000560928	489193472	10747904
11100661701	492052480	10747904
11200590590	491253760	10747904
11300618809	491745280	10747904
11400550026	491433984	10747904
11500571536	470781952	10764288
11600588374	471187456	10764288
11700574524	472809472	10764288
11800566987	474628096	10764288
11900593426	478072832	10764288
12000563591	479776768	10764288
12100589464	484032512	10764288
12200615348	484761600	10764288
12300587964	485883904	10948608
12400571657	489369600	10764288
12500638399	491474944	10764288
12600559811	492748800	10764288
12700599525	494870528	10764288
12800598753	493813760	10764288
12900603503	495869952	10768384
13000556320	493387776	10780672
13100623953	494096384	10780672
13200624532	494292992	10780672
13300612026	494710784	10780672
13400626013	494899200	10780672
13500555899	495247360	10780672
13600597912	492216320	10768384
13700614032	493727744	10780672
13800592977	459284480	10776576
13900595638	460169216	10776576
14000629226	460845056	10776576
14100610615	461500416	10776576
14200624507	462237696	10776576
14300607457	463863808	10788864
14400562639	463683584	10788864
14500590933	468729856	10809344
14600589338	465723392	10813440
14700644309	466903040	10813440
14800585229	468561920	10813440
14900610044	470454272	10813440
15000604284	477794304	10813440
15100627440	479244288	10813440
15200593940	481472512	10813440
15300584914	483201024	10813440
15400600338	484773888	10817536
15500578117	486084608	10817536
15600582084	486494208	10817536
15700663111	488370176	10817536
15800589456	489508864	10825728
15900618464	491241472	10809344
16000617112	491913216	10809344
16100596567	491122688	10809344
16200613326	489885696	10809344
16300610115	473976832	10821632
16400585803	474796032	10956800
16500593633	475131904	10821632
16600598137	475656192	10821632
16700608546	475889664	10821632
16800578727	476172288	10821632
16900612128	480563200	10821632
17000575877	477835264	10821632
17100565739	484880384	10821632
17200604779	485732352	10821632
17300593858	487350272	10821632
17400631603	488960000	10821632
17500695080	482869248	10821632
17600592420	483127296	10821632
17700617571	483332096	10821632
17800597249	483463168	10821632
17900620625	483594240	10821632
18000620782	494034944	10821632
18100556220	497827840	10821632
18200604958	499032064	10821632
18300607867	506773504	10825728
18400587477	507707392	10825728
18500639962	511102976	10825728
18600618777	514023424	10829824
18700619704	518975488	10829824
18800586247	519389184	10829824
18900599501	520044544	10829824
19000584918	520609792	10829824
19100577406	520937472	10829824
19200740769	521334784	10829824
19300705941	521461760	10829824
19400553463	522027008	10829824
19500595852	522174464	10829824
19600585623	522276864	10829824
19700581286	523259904	10895360
19800581036	526159872	10838016
19900573886	529403904	10842112
20000572830	533549056	10854400
20100591484	537616384	10858496
20200579856	540160000	10862592
20300575398	543633408	10866688
20400592856	545730560	10866688
20500615404	548069376	10870784
20600582357	555233280	10895360
20700610306	558219264	10895360
20800590795	545034240	10899456
20900595018	546209792	10899456
21000628698	548159488	10907648
21100580186	549543936	10907648
21200622280	551116800	10911744
21300554837	552497152	10919936
21400581574	553951232	10924032
21500567582	558268416	10928128
21600588372	559333376	10932224
21700614351	560775168	10936320
21800604643	561823744	10936320
21900582341	562610176	10973184
22000586783	564781056	10977280
22100603939	551632896	10997760
22200577756	526512128	10997760
22300590241	514093056	11010048
22400584682	510468096	11010048
22500594875	511647744	11010048
22600621094	513220608	11010048
22700616285	514662400	11010048
22800617024	516104192	11010048
22900595804	517545984	11010048
23000622626	520036352	11010048
23100614342	521158656	11010048
23200597162	523124736	11018240
23300624417	524566528	11018240
23400601844	527974400	11018240
23500575374	531804160	11067392
23600586477	536227840	11153408
23700598764	539832320	11153408
23800626633	539996160	11153408
23900614794	526127104	11145216
24000601719	526364672	11149312
24100598835	528007168	11149312
24200581654	528322560	11149312
24300552717	531869696	11149312
24400597944	533192704	11149312
24500601802	533848064	11149312
24600609560	535019520	11157504
24700588663	535486464	11157504
24800601555	543875072	11157504
24900592588	549773312	11157504
25000603427	551952384	11157504
25100584665	518500352	11157504
25200575765	518991872	11157504
25300576234	519647232	11157504
25400571224	520146944	11157504
25500582198	520900608	11157504
25600632828	521949184	11157504
25700608230	523857920	11157504
25800618391	526479360	11157504
25900577686	528924672	11157504
26000620607	531648512	11157504
26100580149	533819392	11157504
26200557411	531820544	11157504
26300580103	534564864	11157504
26400601393	535621632	11157504
26500619066	538374144	11157504
26600574141	535298048	11157504
26700618209	536731648	11157504
26800588592	538750976	11157504
26900593350	508645376	11157504
27000587633	509067264	11157504
27100648235	509911040	11157504
27200551893	511131648	11157504
27300700036	511123456	11157504
27400609894	511684608	11157504
27500651750	513679360	11157504
27600562390	516861952	11157504
27700604308	520372224	11157504
27800555116	523804672	11157504
27900601359	527335424	11157504
28000580431	523673600	11157504
28100608850	517664768	11157504
28200563679	510099456	11157504
28300582518	487878656	11153408
28400613053	488923136	11153408
28500578959	490672128	11157504
28600602238	494473216	11157504
28700614204	496283648	11161600
28800584786	489648128	11161600
28900593207	490565632	11161600
29000611815	491929600	11161600
29100617050	493240320	11161600
