time	rss	kernel
0	679936	159744
100470841	29294592	3977216
200448523	42676224	3936256
300479831	48205824	4460544
400484004	66453504	4747264
500494760	85184512	4968448
600465273	125431808	6709248
700484713	148246528	8245248
800724042	157315072	8413184
900443704	169230336	8429568
1000454564	178724864	8654848
1100450818	191320064	8724480
1200481914	205893632	8990720
1300626407	213856256	9060352
1400654581	214511616	9134080
1500632086	215736320	9191424
1600477329	223367168	9273344
1700479561	238641152	9482240
1800624438	250769408	9592832
1900625389	242319360	9613312
2000443223	247521280	9662464
2100647052	258469888	9715712
2200619566	258408448	9715712
2300597516	258347008	9715712
2400484687	258301952	9715712
2500632495	258400256	9715712
2600621547	258543616	9715712
2700622975	258887680	9715712
2800596473	258719744	9715712
2900586875	258719744	9715712
3000925589	258621440	9715712
3100936716	258998272	9715712
3200933936	258785280	9715712
3300836808	258785280	9715712
3400481993	258785280	9715712
3500734760	258785280	9715712
3600445676	259383296	9764864
3700681990	260243456	9768960
3800466330	262934528	9809920
3900456861	276422656	9834496
4000496005	288948224	9924608
4100497660	306782208	9961472
4200529810	326389760	10002432
4300455127	336056320	10027008
4400489672	345341952	10051584
4500468443	357384192	10084352
4600450072	371064832	10096640
4700455674	375848960	10211328
4800451597	378896384	10117120
4900479295	381779968	10121216
5000478480	388276224	10137600
5100543159	391159808	10141696
5200484364	392642560	10141696
5300445736	394514432	10145792
5400485443	407486464	10186752
5500497085	408674304	10190848
5600447922	416432128	10203136
5700444435	424894464	10227712
5800482243	431386624	10235904
5900502475	434688000	10244096
6000476989	435937280	10248192
6100487269	449847296	10289152
6200523188	447414272	10289152
6300511810	456241152	10313728
6400452512	458772480	10321920
6500484940	461393920	10334208
6600451912	467324928	10342400
6700449155	475312128	10362880
6800493864	448688128	10362880
6900493038	450260992	10371072
7000445503	451465216	10371072
7100464175	457998336	10371072
7200526950	466104320	10383360
7300451703	472891392	10395648
7400485693	475889664	10399744
7500489432	481386496	10407936
7600447202	483041280	10412032
7700445102	483966976	10412032
7800450558	484786176	10416128
7900474346	487063552	10428416
8000503750	488087552	10432512
8100643210	449830912	10461184
8200441802	431640576	10452992
8300469557	430542848	10452992
8400447155	431321088	10457088
8500492212	429477888	10457088
8600468316	430497792	10473472
8700443328	437174272	10473472
8800493813	445562880	10473472
8900495393	453918720	10563584
9000462560	454856704	10563584
9100491603	458018816	10563584
9200498881	440766464	10567680
9300469349	442363904	10567680
9400463938	445329408	10588160
9500482424	446029824	10588160
9600500203	447602688	10588160
9700467376	449724416	10588160
9800491308	452534272	10588160
9900475910	458301440	10588160
10000487858	460775424	10588160
10100460628	472870912	10600448
10200442114	473657344	10604544
10300507170	476053504	10604544
10400488333	478330880	10604544
10500522620	481738752	10604544
10600462182	483315712	10604544
10700451127	489246720	10604544
10800443813	489324544	10604544
10900448776	481951744	10604544
11000501533	482013184	10637312
11100497188	482828288	10604544
11200501954	482746368	10604544
11300479939	459857920	10612736
11400460831	458838016	10612736
11500464527	460423168	10612736
11600516263	462118912	10809344
11700490775	465031168	10612736
11800467975	466591744	10612736
11900452056	470851584	10682368
12000448152	472035328	10612736
12100485684	477429760	10612736
12200490417	479764480	10612736
12300442152	485015552	10612736
12400482845	486154240	10612736
12500510181	487596032	10612736
12600486015	487174144	10612736
12700451298	489631744	10612736
12800466623	491868160	10616832
12900452025	491118592	10625024
13000449747	491380736	10625024
13100449894	491757568	10625024
13200449894	488804352	10620928
13300473664	488935424	10620928
13400495245	489164800	10620928
13500466289	491847680	10620928
13600496643	491384832	10620928
13700506624	492171264	10620928
13800447035	492650496	10620928
13900486806	492838912	10620928
14000505387	493330432	10620928
14100470061	488595456	10620928
14200472948	468746240	10649600
14300492129	465694720	10649600
14400524330	466853888	10649600
14500526315	468164608	10649600
14600475038	469737472	10649600
14700486519	471367680	10649600
14800470619	473595904	10649600
14900444917	476872704	10649600
15000502452	478445568	10649600
15100466551	480174080	10649600
15200450549	481615872	10649600
15300497352	483090432	10649600
15400505953	483323904	10649600
15500450252	485347328	10649600
15600487285	486461440	10649600
15700521966	488165376	10649600
15800482447	488861696	10649600
15900481389	478576640	10633216
16000464458	479232000	10633216
16100486427	463138816	10625024
16200468180	464302080	10657792
16300481018	465309696	10625024
16400522835	466096128	10625024
16500445944	469245952	10633216
16600458862	469286912	10670080
16700497392	475508736	10633216
16800517933	484548608	10633216
16900446272	485724160	10633216
17000497749	486825984	10633216
17100493305	482902016	10633216
17200446358	484487168	10633216
17300474466	485003264	10633216
17400490171	485003264	10633216
17500493580	485339136	10633216
17600502057	485253120	10633216
17700517130	485339136	10633216
17800480472	491917312	10633216
17900472633	493850624	10633216
18000450171	494968832	10633216
18100467521	495222784	10633216
18200443666	498499584	10633216
18300503942	493756416	10653696
18400518857	495329280	10653696
18500471640	495742976	10653696
18600467254	496377856	10653696
