time	rss	kernel
0	638976	163840
100511246	25784320	4022272
200509658	45035520	4071424
300512846	52170752	4722688
400514260	71999488	5173248
500497828	90497024	6299648
600518719	125513728	7704576
700503136	152739840	8765440
800508303	162029568	8908800
900671654	172687360	9023488
1000476787	185024512	9183232
1100518173	199385088	9314304
1200514278	216596480	9625600
1300654667	218746880	9629696
1400669305	219115520	9658368
1500508866	224911360	9728000
1600556632	242384896	9994240
1700473809	257208320	10096640
1800476387	254431232	10190848
1900683961	266543104	10252288
2000637143	266297344	10252288
2100630157	266354688	10252288
2200629356	266346496	10317824
2300623929	266305536	10317824
2400663739	266448896	10317824
2500630014	266579968	10326016
2600649249	266776576	10326016
2700680840	267038720	10326016
2800540182	267046912	10326016
2900471313	268619776	10330112
3000677191	268800000	10387456
3100633933	270602240	10424320
3200628149	270520320	10424320
3300913763	270520320	10424320
3400785717	270442496	10424320
3500874150	270704640	10424320
3600862889	270872576	10424320
3700518901	273371136	10522624
3800494587	286752768	10686464
3900558138	302825472	10522624
4000535416	318214144	10551296
4100517529	340873216	10596352
4200505861	348872704	10792960
4300518730	358330368	10653696
4400541274	371462144	10719232
4500499912	386228224	10698752
4600515083	390082560	10911744
4700482313	395116544	10719232
4800522217	398667776	10723328
4900519219	403972096	10731520
5000508476	405401600	10735616
5100576221	407207936	10739712
5200491117	413372416	10956800
5300522283	422658048	10842112
5400490306	429559808	10792960
5500533888	439787520	10817536
5600504080	456208384	10854400
5700524692	458067968	10854400
5800503011	462688256	10870784
5900489507	476704768	11087872
6000525007	477229056	10919936
6100541223	486588416	10932224
6200536027	492093440	10952704
6300515300	494972928	10956800
6400548407	500662272	10985472
6500522570	510902272	10997760
6600543214	484515840	11001856
6700563812	485695488	11001856
6800552245	486899712	11001856
6900516755	488456192	11001856
7000518116	490029056	11005952
7100519208	491425792	11014144
7200535048	494616576	11018240
7300521371	499482624	11030528
7400550605	502435840	11030528
7500527152	503369728	11034624
7600525186	505155584	11051008
7700500277	506335232	11051008
7800524089	507383808	11055104
7900652607	502157312	11079680
8000523601	489291776	11091968
8100507922	474148864	11284480
8200507539	475504640	11083776
8300514967	476684288	11087872
8400484415	475947008	11091968
8500499201	482058240	11091968
8600540229	489861120	11091968
8700482971	498704384	11145216
8800490126	500768768	11210752
8900488781	486031360	11145216
9000508180	487051264	11243520
9100490185	488783872	11149312
9200484147	495722496	11157504
9300484243	499130368	11161600
9400482974	500858880	11161600
9500485540	503742464	11169792
9600482126	507076608	11173888
9700523618	512724992	11182080
9800544657	529526784	11210752
9900510604	530817024	11223040
10000494021	531795968	11354112
10100515781	533123072	11227136
10200540313	534659072	11231232
10300519571	537862144	11231232
10400497554	539414528	11440128
10500528763	539963392	11259904
10600506332	541270016	11259904
10700536064	551251968	11276288
10800541590	553361408	11276288
10900530988	560050176	11292672
11000529164	557510656	11296768
11100673553	536662016	11304960
11200514056	536788992	11304960
11300514197	538636288	11304960
11400522668	540196864	11468800
11500483889	542920704	11304960
11600482280	536924160	11501568
11700479544	537284608	11304960
11800486781	535158784	11436032
11900513294	534241280	11304960
12000487790	534196224	11304960
12100489295	534945792	11304960
12200483332	541409280	11304960
12300522241	541921280	11304960
12400506339	542490624	11501568
12500524411	543059968	11304960
12600539177	543453184	11304960
12700542771	541995008	11304960
12800559816	546451456	11304960
12900490616	546680832	11304960
13000525309	546856960	11304960
13100538904	547545088	11304960
13200477914	547201024	11304960
13300524363	548102144	11304960
13400519436	545771520	11296768
13500532971	546689024	11296768
13600559696	548995072	11300864
13700523539	549216256	11300864
13800523295	555573248	11325440
13900518873	556806144	11329536
14000516776	554766336	11329536
14100517900	555683840	11329536
14200485137	557518848	11329536
14300516758	559747072	11329536
14400534273	560984064	11333632
14500521521	563638272	11333632
14600522353	565473280	11333632
14700539843	571265024	11337728
14800553440	577294336	11341824
14900520711	584896512	11354112
15000480114	590983168	11366400
15100479248	595701760	11370496
15200548093	599908352	11374592
15300543430	601628672	11378688
15400503088	601882624	11579392
15500521892	602951680	11378688
15600529335	612864000	11395072
15700493322	617803776	11407360
15800515444	618409984	11407360
15900500567	619048960	11390976
16000520458	619307008	11390976
16100517142	619724800	11395072
16200519613	625111040	11395072
16300483884	625418240	11591680
16400501377	628203520	11431936
16500527116	628723712	11399168
16600515612	629420032	11403264
16700508052	632033280	11407360
16800528583	633942016	11407360
16900544157	636563456	11407360
