time	rss	kernel
0	749568	233472
100593497	29122560	4087808
200603956	43610112	4104192
300602141	50290688	4759552
400638999	70172672	5091328
500627530	87105536	5226496
600617772	128167936	7614464
700628056	152428544	9281536
800614470	160628736	9355264
900655113	171061248	9478144
1000622291	183259136	9809920
1100610803	198344704	9932800
1200641085	216559616	10186752
1300640171	218374144	10194944
1400598814	218554368	10199040
1500611980	221274112	10285056
1600632081	241065984	10346496
1700625531	254648320	10489856
1800624038	251912192	10551296
1900595383	253079552	10555392
2000598957	254644224	10563584
2100598047	267169792	10584064
2200595283	267063296	10584064
2300591259	267063296	10584064
2400591087	267194368	10584064
2500594171	267325440	10584064
2600593552	267599872	10584064
2700745658	267776000	10588160
2800747153	267878400	10588160
2900744110	268795904	10588160
3000738587	269070336	10588160
3100742892	271867904	10698752
3200743744	271572992	10698752
3300743311	271572992	10698752
3401086993	271572992	10698752
3500628926	271593472	10698752
3600711590	271605760	10698752
3700598142	273985536	10760192
3800647872	288550912	10850304
3900646064	304263168	10878976
4000617434	320126976	10907648
4100630360	342937600	10948608
4200716875	351535104	10969088
4300604274	361193472	11001856
4400640238	372727808	11014144
4500614247	383164416	11046912
4600607076	394166272	11055104
4700627450	398008320	11071488
4800634516	401547264	11083776
4900665271	407117824	11091968
5000644445	408928256	11096064
5100637625	411222016	11100160
5200595370	413081600	11108352
5300706045	424804352	11141120
5400701687	431104000	11157504
5500674223	440147968	11173888
5600626270	452263936	11194368
5700650156	453328896	11210752
5800650729	461979648	11223040
5900621494	478121984	11276288
6000624088	478556160	11264000
6100652658	487866368	11292672
6200628745	491573248	11296768
6300651225	494772224	11304960
6400627331	501383168	11333632
6500623166	507916288	11341824
6600625460	482643968	11350016
6700640616	483639296	11350016
6800686217	486309888	11354112
6900654612	488370176	11354112
7000647442	489680896	11354112
7100649681	491909120	11354112
7200648362	497541120	11362304
7300615942	501489664	11374592
7400672533	503865344	11382784
7500672191	505524224	11382784
7600682028	506646528	11386880
7700595860	507736064	11386880
7800595958	495198208	11407360
7900667387	475910144	11399168
8000660924	477081600	11399168
8100654229	479440896	11403264
8200632272	479834112	11403264
8300627079	481619968	11403264
8400595909	486379520	11407360
8500662649	490655744	11407360
8600638203	498810880	11407360
8700602066	499712000	11407360
8800597711	503263232	11411456
8900656533	508645376	11419648
9000653540	510783488	11427840
9100606665	516378624	11431936
9200625964	517693440	11431936
9300604429	517980160	11436032
9400604632	487079936	11431936
9500626163	488841216	11431936
9600602432	491212800	11431936
9700602179	492802048	11431936
9800634963	493326336	11436032
9900619380	494268416	11440128
10000634742	497799168	11452416
10100669408	502517760	11452416
10200644120	504033280	11452416
10300629049	512258048	11464704
10400624028	515600384	11468800
10500645221	527396864	11485184
10600649026	534712320	11497472
10700633072	538189824	11501568
10800615080	539627520	11509760
10900596362	539926528	11509760
11000641384	540856320	11509760
11100653970	542662656	11509760
11200619775	544366592	11509760
11300674204	548483072	11509760
11400595245	548954112	11509760
11500627305	545693696	11509760
11600620166	545857536	11509760
11700629924	546050048	11509760
11800650412	546017280	11509760
11900653218	547028992	11509760
12000646112	550592512	11509760
12100650825	552906752	11513856
12200652945	557084672	11517952
12300665178	565948416	11538432
12400659975	566513664	11538432
12500642175	566657024	11538432
12600646310	567074816	11538432
12700662559	567336960	11538432
12800621427	567697408	11538432
12900599971	567828480	11538432
13000643536	568193024	11538432
13100660046	569524224	11538432
13200642364	567062528	11534336
13300658218	567848960	11534336
13400627094	568242176	11534336
13500632595	568573952	11542528
13600668598	569716736	11546624
13700635397	571375616	11546624
13800640389	547115008	11567104
13900662771	547258368	11567104
14000599044	548614144	11567104
14100633660	549924864	11567104
14200655364	551366656	11567104
14300625761	553914368	11567104
14400657544	556929024	11567104
14500658420	558895104	11567104
14600640180	560336896	11567104
14700654722	562065408	11567104
14800653766	563507200	11567104
14900646348	564948992	11567104
15000628970	565239808	11567104
15100626533	566710272	11567104
15200659018	567775232	11567104
15300672774	569233408	11567104
15400663391	568741888	11567104
15500640042	552636416	11563008
15600658291	553259008	11563008
15700626420	553545728	11563008
15800596134	553975808	11546624
15900597243	555122688	11546624
16000639803	555909120	11546624
16100627926	556826624	11558912
16200651813	559865856	11558912
16300599785	566214656	11558912
16400646794	571588608	11558912
16500601006	579743744	11567104
16600620122	552062976	11567104
16700618772	552542208	11567104
16800639904	553091072	11567104
