time	rss	kernel
0	638976	118784
100492299	24801280	4124672
200504444	44883968	4198400
300510125	51691520	4784128
400522475	71061504	5087232
500492980	90136576	6254592
600472255	130277376	7839744
700526633	152084480	9330688
800585567	162336768	9412608
900501401	170233856	9437184
1000468268	185884672	9678848
1100470013	197529600	9859072
1200489456	208953344	9981952
1300646993	217427968	10076160
1400648650	217792512	10174464
1500511295	218333184	10207232
1600494076	231952384	10383360
1700506349	247463936	10522624
1800659379	256974848	10653696
1900652229	252903424	10678272
2000653810	252669952	10678272
2100650728	253124608	10711040
2200643227	252948480	10711040
2300636920	252948480	10711040
2400614055	252821504	10711040
2500624403	252956672	10711040
2600508737	253857792	10711040
2700665118	254406656	10715136
2800615622	254316544	10715136
2900640036	254447616	10747904
3000499023	254332928	10747904
3100614954	254701568	10747904
3200613023	254582784	10747904
3300625284	255029248	10752000
3400641866	254914560	10817536
3500632983	255012864	10817536
3600618786	255148032	10817536
3700626619	255160320	10817536
3800521253	268910592	10862592
3900491218	280584192	10899456
4000466990	306233344	10948608
4100495757	314634240	10981376
4200480049	336642048	11026432
4300531930	345071616	11042816
4400536763	359952384	11071488
4500554114	375345152	11096064
4600552607	382038016	11112448
4700505702	386736128	11132928
4800509383	390606848	11137024
4900502272	395067392	11145216
5000535853	397697024	11157504
5100559598	399282176	11157504
5200513701	401604608	11165696
5300582579	410816512	11182080
5400505698	417660928	11198464
5500490314	425644032	11214848
5600502114	437567488	11231232
5700508631	448495616	11251712
5800489871	452964352	11313152
5900506605	464982016	11337728
6000494022	482697216	11407360
6100467316	483577856	11403264
6200505007	492154880	11415552
6300471611	498913280	11427840
6400505623	502808576	11440128
6500494927	507863040	11448320
6600569273	517431296	11468800
6700516003	492032000	11468800
6800570159	493473792	11468800
6900505607	496250880	11468800
7000525679	497823744	11468800
7100508264	499134464	11468800
7200518410	500576256	11468800
7300517311	502501376	11476992
7400503391	505925632	11481088
7500525727	508170240	11489280
7600581567	509743104	11489280
7700503955	511217664	11497472
7800476869	512442368	11505664
7900495949	494301184	11517952
8000466487	495198208	11517952
8100648338	495194112	11517952
8200521076	481206272	11513856
8300526995	482385920	11517952
8400507685	481226752	11522048
8500550844	481886208	11522048
8600511887	484352000	11522048
8700497103	495456256	11563008
8800518081	505065472	11608064
8900573886	506101760	11608064
9000529444	507375616	11608064
9100471786	496025600	11616256
9200511656	497811456	11620352
9300469627	503414784	11628544
9400578867	504184832	11628544
9500517786	505454592	11628544
9600521968	508338176	11628544
9700580137	511541248	11628544
9800513845	514437120	11632640
9900496251	534122496	11669504
10000486444	535498752	11669504
10100572608	536653824	11677696
10200492469	537350144	11677696
10300497614	538972160	11685888
10400519776	541388800	11685888
10500473634	543690752	11689984
10600471358	542429184	11694080
10700524984	546357248	11698176
10800573010	555520000	11714560
10900610523	555421696	11714560
11000520052	565219328	11730944
11100508597	562855936	11907072
11200657193	546095104	11739136
11300504369	546152448	11739136
11400517378	547487744	11739136
11500514456	549474304	11739136
11600556704	552808448	11739136
11700467786	547823616	11739136
11800502144	547061760	11739136
11900509543	547115008	11743232
12000669651	547180544	11743232
12100510739	544239616	11743232
12200549378	545120256	11743232
12300485645	546504704	11743232
12400503231	553144320	11743232
12500476026	553455616	11743232
12600494939	554156032	11743232
12700500162	554287104	11743232
12800472714	555253760	11743232
12900471055	555835392	11743232
13000471572	555835392	11743232
13100473616	551829504	11755520
13200474073	549662720	11755520
13300475927	548556800	11755520
13400475214	549261312	11755520
13500503345	549916672	11755520
13600467041	551489536	11755520
13700578357	551579648	11755520
13800516768	552116224	11755520
13900469825	552620032	11755520
14000586438	561721344	11792384
14100566542	560246784	11792384
14200513200	561696768	11792384
14300538756	562413568	11792384
14400483483	563593216	11792384
14500512748	566083584	11792384
14600508346	566403072	11792384
14700557693	566665216	11792384
14800530421	572588032	11792384
14900532306	576126976	11796480
15000563911	582811648	11800576
15100535969	588857344	11812864
15200567456	595161088	11825152
15300538577	600027136	11833344
15400488517	603172864	11837440
15500523760	605286400	11837440
15600652841	608215040	11841536
15700508532	617955328	11857920
15800493058	619200512	11841536
15900479941	613396480	11841536
16000530468	614064128	11841536
16100582628	616554496	11845632
16200514555	616816640	11845632
16300593093	605290496	11845632
16400519114	611598336	11845632
16500582745	617963520	11845632
16600517613	607268864	11841536
16700569773	608149504	11841536
16800467397	608620544	11841536
16900632223	609677312	11841536
17000537658	609738752	11841536
17100578601	625111040	11870208
17200519743	625786880	11870208
17300557202	626835456	11870208
17400471629	629485568	11878400
17500480379	632631296	11878400
17600477561	640888832	11894784
17700475928	666533888	11935744
17800478073	674902016	11948032
17900475176	696352768	11993088
18000475594	697270272	11993088
18100481137	706052096	12009472
18200471972	692436992	11984896
18300478284	693485568	11984896
18400499205	695656448	11988992
18500484495	697495552	12005376
18600481859	699985920	12009472
18700520003	698167296	12017664
18800518842	699215872	12017664
18900509117	699891712	12017664
19000569452	705265664	12025856
19100527685	705318912	12025856
19200521683	705912832	12025856
19300524142	677756928	12025856
19400651140	678551552	12025856
19500496148	678014976	12017664
19600518785	679215104	12017664
19700691090	680996864	12017664
19800511460	683479040	12017664
19900497542	676356096	12017664
20000560164	674471936	12017664
20100526093	673366016	12017664
20200506192	672411648	12017664
20300580134	671399936	12017664
20400507713	669691904	12017664
20500510956	670453760	12017664
20600496967	678240256	12017664
20700507168	678551552	12017664
20800521001	678772736	12017664
20900587434	679555072	12017664
21000512949	679792640	12050432
21100504372	680521728	12050432
21200554856	682622976	12050432
21300533230	682909696	12050432
21400497084	682790912	12050432
21500511099	683966464	12050432
21600498456	684470272	12050432
21700605168	685256704	12050432
21800500151	685912064	12050432
21900498094	686305280	12050432
22000521837	682708992	12058624
22100499805	683175936	12058624
22200486241	685412352	12062720
22300477131	687157248	12066816
22400478106	679092224	12066816
22500585163	680009728	12066816
22600504252	681320448	12066816
22700533361	682893312	12066816
22800557164	684859392	12066816
22900520479	687480832	12066816
23000560377	690102272	12066816
23100528661	691748864	12066816
23200594815	694370304	12103680
23300573343	701374464	12189696
23400517602	701915136	12189696
23500512181	703717376	12193792
23600504312	705560576	12193792
23700514607	707395584	12197888
23800518077	705990656	12206080
23900518422	705085440	12206080
24000575646	705949696	12206080
24100531815	706416640	12206080
24200511783	706772992	12206080
24300537822	707096576	12206080
24400551240	707731456	12206080
24500587241	710615040	12206080
24600510070	715800576	12206080
24700533087	716193792	12206080
24800500134	716267520	12206080
24900506408	723333120	12206080
25000524872	723615744	12206080
25100511358	725028864	12210176
25200575352	725626880	12210176
25300470795	725987328	12210176
25400552723	726876160	12210176
25500527356	728313856	12214272
25600566529	730353664	12214272
25700549811	732774400	12222464
25800502603	737095680	12226560
25900475888	738361344	12230656
26000475840	741113856	12234752
26100473745	742105088	12238848
26200470495	742473728	12238848
26300474671	743088128	12242944
26400476939	745222144	12242944
26500477805	745562112	12247040
26600519731	748314624	12255232
26700499818	748724224	12255232
26800519316	753147904	12263424
26900514139	755396608	12271616
27000564418	762212352	12283904
27100493644	764305408	12288000
27200573326	769024000	12300288
27300471952	706101248	12328960
27400483218	706793472	12328960
27500498434	706834432	12328960
27600524386	707280896	12328960
27700496640	708472832	12328960
27800466655	712462336	12328960
27900485944	713203712	12328960
28000478260	713523200	12328960
28100481726	717295616	12328960
28200468279	718819328	12328960
28300505895	721571840	12328960
28400535371	721571840	12328960
28500535521	723251200	12328960
28600539555	724463616	12328960
28700571294	722264064	12328960
28800515331	684167168	12324864
28900579762	685748224	12324864
29000513185	684097536	12324864
29100509087	680525824	12324864
29200533535	680857600	12324864
29300529665	681906176	12328960
29400513058	683290624	12328960
29500556713	688664576	12328960
29600536670	689827840	12328960
