time	rss	kernel
0	643072	180224
100532373	30113792	4198400
200568725	44601344	4206592
300546164	52060160	4788224
400592088	71258112	5066752
500537931	90038272	6115328
600535230	130220032	7651328
700576658	152969216	9011200
800539242	162357248	9117696
900550323	168345600	9191424
1000538483	184795136	9465856
1100543335	198455296	9617408
1200540920	215568384	9981952
1300537273	217038848	9981952
1400535943	217255936	10072064
1500538551	225734656	10141696
1600588589	241119232	10215424
1700565787	253878272	10301440
1800556297	251736064	10444800
1900535612	252305408	10481664
2000659097	264286208	10539008
2100684320	264093696	10539008
2200701160	264089600	10539008
2300699798	264089600	10539008
2400529055	264278016	10539008
2500684756	264278016	10539008
2600533334	264503296	10539008
2700593967	264765440	10539008
2800712254	264822784	10539008
2900683882	265740288	10543104
3000690672	266395648	10543104
3100536460	268668928	10665984
3200700202	268406784	10665984
3300604879	268308480	10665984
3400744585	268283904	10665984
3500742527	268546048	10665984
3600645715	268660736	10665984
3700538412	275832832	10752000
3800560639	285503488	10776576
3900600171	307859456	10854400
4000544880	317014016	10878976
4100571470	340656128	10919936
4200554960	347615232	10936320
4300595132	360402944	10964992
4400562060	375169024	10997760
4500588937	386981888	11010048
4600605295	391569408	11038720
4700592762	396644352	11051008
4800587722	399327232	11059200
4900603452	403492864	11071488
5000619740	405475328	11075584
5100602372	407240704	11087872
5200540851	416206848	11116544
5300593897	422354944	11124736
5400574934	430690304	11141120
5500567022	440668160	11161600
5600572388	454348800	11194368
5700597063	457396224	11198464
5800600413	460488704	11214848
5900554718	476856320	11268096
6000597800	476991488	11259904
6100577235	484990976	11272192
6200615372	488742912	11280384
6300561191	492806144	11288576
6400581636	498499584	11296768
6500604995	507858944	11317248
6600610232	481189888	11313152
6700604281	482762752	11313152
6800595901	487243776	11321344
6900588223	488570880	11321344
7000587991	490012672	11321344
7100592503	491655168	11321344
7200594089	494661632	11325440
7300595801	499343360	11337728
7400607257	501587968	11337728
7500610730	502030336	11337728
7600577605	503988224	11345920
7700571447	505692160	11345920
7800539684	506826752	11350016
7900685166	489082880	11345920
8000572432	473079808	11337728
8100593229	474079232	11337728
8200625115	476565504	11341824
8300588815	477868032	11350016
8400582667	476205056	11354112
8500571309	483663872	11354112
8600564064	489648128	11358208
8700573951	497868800	11358208
8800571039	499003392	11358208
8900537210	484061184	11370496
9000557387	484986880	11370496
9100591413	487706624	11374592
9200621045	493998080	11386880
9300578029	498192384	11390976
9400572950	499789824	11390976
9500571330	502673408	11390976
9600612642	506019840	11390976
9700613121	517349376	11411456
9800608455	528482304	11431936
9900606484	529244160	11431936
10000569130	530206720	11431936
10100566481	531603456	11436032
10200551499	532889600	11436032
10300600668	536354816	11436032
10400540534	534548480	11440128
10500569559	539623424	11448320
10600562771	541667328	11448320
10700577476	552022016	11464704
10800574515	558997504	11476992
10900573712	560824320	11485184
11000587104	561258496	11501568
11100537734	561295360	11501568
11200534997	560267264	11501568
11300538709	560672768	11501568
11400557309	540205056	11530240
11500536083	543649792	11530240
11600577448	544157696	11530240
11700572682	546504704	11530240
11800540354	545755136	11530240
11900535267	548573184	11534336
12000580693	552534016	11542528
12100539362	556859392	11550720
12200603591	563699712	11550720
12300538886	568111104	11558912
12400586184	570982400	11563008
12500557884	573972480	11567104
12600589175	575315968	11571200
12700588344	579248128	11575296
12800577088	584830976	11575296
12900558972	574791680	11591680
13000595141	574877696	11591680
13100603791	574914560	11591680
13200608246	574660608	11599872
13300595591	575324160	11599872
13400589127	573837312	11591680
13500580373	574279680	11591680
13600567589	561487872	11591680
13700586018	562360320	11591680
13800564189	567836672	11616256
13900592866	570105856	11616256
14000610947	568791040	11624448
14100575240	569708544	11624448
14200586286	570494976	11624448
14300600944	571281408	11624448
