time	rss	kernel
0	798720	196608
100522117	25927680	4014080
200591202	45047808	4050944
300548286	52817920	4595712
400549521	72138752	4923392
500552835	90439680	6000640
600568705	124276736	7495680
700548553	152707072	9261056
800553696	162357248	9359360
900547866	169955328	9400320
1000545408	186937344	9605120
1100526494	201695232	9809920
1200550885	217776128	9949184
1300565496	218271744	9953280
1400553840	218832896	10014720
1500526188	228024320	10162176
1600547564	242159616	10321920
1700636617	254976000	10383360
1800544021	252563456	10457088
1900527091	253198336	10481664
2000533728	267390976	10518528
2100550632	267300864	10518528
2200540677	267206656	10543104
2300571824	267206656	10543104
2400683509	267599872	10543104
2500681521	267362304	10543104
2600549342	267726848	10575872
2700564031	267739136	10575872
2800538783	267841536	10575872
2900677930	267927552	10575872
3000501910	268451840	10575872
3100682102	269504512	10579968
3200545319	269504512	10579968
3300552274	269447168	10579968
3400606440	271609856	10653696
3500576331	272015360	10674176
3600685820	271970304	10674176
3700527353	279531520	10862592
3800529777	289693696	10752000
3900552536	309379072	10797056
4000557459	320466944	10813440
4100581273	344817664	10862592
4200543513	352522240	10911744
4300535378	364929024	10936320
4400552119	374988800	10948608
4500527744	384065536	10977280
4600549355	392310784	10989568
4700529004	397230080	11001856
4800552561	399126528	11005952
4900544528	404840448	11010048
5000536506	406323200	11014144
5100535334	408850432	11026432
5200533370	414990336	11038720
5300538439	422457344	11059200
5400551262	429752320	11083776
5500530336	439320576	11096064
5600530601	454975488	11141120
5700548974	456781824	11145216
5800548363	463183872	11157504
5900576715	479215616	11218944
6000560372	478556160	11210752
6100537794	487464960	11227136
6200555806	490999808	11239424
6300528493	494014464	11251712
6400526693	499838976	11264000
6500580012	507174912	11276288
6600554854	481030144	11276288
6700602370	482340864	11276288
6800532701	484392960	11280384
6900552686	486359040	11284480
7000552426	487800832	11292672
7100596305	489639936	11292672
7200533940	496631808	11309056
7300613437	500842496	11321344
7400535378	502956032	11325440
7500554855	504528896	11325440
7600528426	505913344	11333632
7700544692	507084800	11333632
7800531315	494596096	11354112
7900552750	478138368	11366400
8000530477	478224384	11366400
8100528923	480501760	11370496
8200547186	481320960	11374592
8300572317	484151296	11382784
8400574049	490930176	11382784
8500552933	494563328	11386880
8600542661	502136832	11399168
8700534736	504328192	11403264
8800533191	506679296	11407360
8900530882	512061440	11415552
9000528285	513380352	11415552
