time	rss	kernel
0	684032	200704
100431335	29904896	4067328
200430328	44228608	4038656
300487443	50860032	4644864
400483987	70647808	4947968
500428236	89333760	6266880
600399068	128598016	7405568
700419522	151691264	9023488
800410164	161259520	9154560
900430831	170381312	9170944
1000435506	186249216	9465856
1100436943	198815744	9584640
1200475468	215592960	9900032
1300538279	217296896	9904128
1400540441	217255936	9904128
1500450038	223150080	9936896
1600447542	235597824	10145792
1700437470	250564608	10260480
1800396867	251555840	10268672
1900549568	247087104	10272768
2000537425	247320576	10272768
2100449325	260403200	10293248
2200529939	263413760	10383360
2300565684	263417856	10383360
2400537554	263532544	10383360
2500603976	263786496	10383360
2600537105	264355840	10407936
2700585331	264286208	10407936
2800607040	264544256	10407936
2900607500	264671232	10412032
3000586787	264933376	10444800
3100535376	264912896	10444800
3200579516	264765440	10444800
3300537277	264753152	10444800
3400577425	264753152	10444800
3500560992	264753152	10444800
3600579940	265023488	10448896
3700455454	265789440	10457088
3800433193	282243072	10551296
3900468206	294461440	10600448
4000436634	315228160	10641408
4100435432	333885440	10694656
4200453430	345124864	10719232
4300443447	354975744	10743808
4400440215	363696128	10776576
4500455878	380755968	10784768
4600433937	388632576	10805248
4700441340	392994816	10817536
4800458310	395689984	10821632
4900442750	402632704	10899456
5000482230	406020096	10944512
5100419553	407502848	10952704
5200446843	409919488	10964992
5300487976	418934784	10981376
5400461236	424902656	11010048
5500435657	433430528	11026432
5600422281	445083648	11046912
5700453204	454131712	11071488
5800425064	459362304	11087872
5900433757	460730368	11096064
6000447138	479379456	11190272
6100416041	479969280	11186176
6200523614	487149568	11198464
6300426924	491737088	11210752
6400420594	494882816	11214848
6500438127	500723712	11223040
6600472497	483377152	11243520
6700473595	484315136	11247616
6800469806	485756928	11247616
6900491185	489213952	11251712
7000489127	490786816	11251712
7100477083	492359680	11251712
7200418671	493547520	11251712
7300418153	497541120	11259904
7400440018	501342208	11264000
7500485689	503586816	11268096
7600479137	504877056	11268096
7700418919	507232256	11325440
7800426900	509493248	11337728
7900468003	497307648	11345920
8000561195	478945280	11333632
8100434995	478740480	11333632
8200425361	479576064	11333632
8300471939	483373056	11341824
8400424735	483012608	11350016
8500393317	482254848	11350016
8600425200	491778048	11350016
8700460237	503648256	11386880
8800446552	505544704	11386880
8900442334	506212352	11386880
9000394583	511303680	11395072
9100427005	515309568	11399168
9200539731	516276224	11403264
9300400459	515375104	11403264
9400481756	488239104	11407360
9500426248	488644608	11407360
9600420488	490872832	11407360
9700434042	493518848	11407360
9800427634	496459776	11407360
9900492475	498728960	11407360
10000434528	500719616	11407360
10100433983	501370880	11415552
10200429250	501731328	11415552
10300437730	503087104	11415552
10400428417	504840192	11415552
10500443929	508174336	11419648
10600536233	503316480	11427840
10700538856	489017344	11427840
10800440686	492793856	11431936
10900417122	498167808	11440128
11000453507	510119936	11456512
11100426761	512004096	11456512
11200432240	522620928	11476992
11300433078	523173888	11485184
11400430025	524517376	11497472
11500461506	524443648	11497472
11600429400	525492224	11497472
11700421702	527446016	11497472
11800421884	529371136	11497472
11900439418	532955136	11497472
12000438565	533295104	11497472
12100414770	529534976	11501568
12200437745	506875904	11501568
12300438590	508923904	11501568
12400417426	509849600	11501568
12500439644	511422464	11501568
12600442566	517283840	11501568
12700438286	518807552	11501568
12800439927	520052736	11501568
12900418783	521281536	11501568
13000468726	522854400	11501568
13100430387	522465280	11497472
13200428688	523964416	11497472
13300411168	524804096	11497472
13400440542	526229504	11497472
13500448350	527675392	11501568
13600437593	529965056	11501568
13700491488	524947456	11501568
13800422368	525602816	11501568
13900444169	527044608	11501568
14000428362	527912960	11505664
14100394756	528330752	11505664
14200489265	509382656	11505664
14300432915	513904640	11530240
14400438527	515784704	11530240
14500433453	517398528	11538432
14600427198	518971392	11542528
14700427141	522510336	11558912
14800437528	525451264	11558912
14900433539	526893056	11558912
15000512617	530300928	11558912
15100424032	531529728	11558912
15200490111	533626880	11558912
15300440793	535068672	11558912
15400437374	536379392	11567104
15500430124	537485312	11567104
15600492288	539602944	11571200
15700491692	540405760	11571200
15800535967	542617600	11554816
15900539529	542769152	11563008
16000436178	544210944	11563008
16100461381	545579008	11563008
16200431481	519749632	11567104
16300424523	520486912	11567104
16400422316	522072064	11571200
16500437834	523145216	11571200
16600434041	523542528	11571200
16700427311	532307968	11571200
16800491654	541761536	11571200
16900420619	542367744	11571200
17000417509	543842304	11571200
17100440403	544727040	11571200
17200450729	546181120	11571200
17300433400	547340288	11571200
17400468449	549511168	11571200
17500477134	553312256	11575296
17600440142	553476096	11575296
17700503119	528347136	11575296
17800482801	531021824	11575296
17900453671	532111360	11575296
18000454702	532918272	11575296
18100473618	533757952	11575296
18200485838	536076288	11575296
