time	rss	kernel
0	708608	180224
100459776	29872128	4222976
200484264	43802624	4194304
300461894	50761728	4763648
400480498	70184960	5062656
500477880	88604672	5877760
600481846	128688128	7348224
700460271	151842816	8900608
800495767	160976896	9003008
900474694	169406464	9093120
1000487189	185753600	9326592
1100481069	198049792	9457664
1200472834	215289856	9801728
1300488970	217378816	9859072
1400475470	217534464	9859072
1500457562	224653312	9887744
1600456531	238882816	10080256
1700478175	254214144	10211328
1800482169	251166720	10293248
1900536963	251035648	10293248
2000629938	251039744	10293248
2100608263	251305984	10326016
2200511525	251252736	10326016
2300457566	253227008	10362880
2400611583	259969024	10371072
2500482893	260661248	10371072
2600466379	261312512	10371072
2700456161	260169728	10371072
2800509579	260374528	10371072
2900521552	260804608	10375168
3000606065	260804608	10375168
3100507393	260689920	10375168
3200501608	261373952	10379264
3300499901	261509120	10379264
3400504723	263688192	10485760
3500545052	263933952	10485760
3600623589	263999488	10485760
3700460107	265895936	10510336
3800458425	284352512	10543104
3900539864	304369664	10584064
4000459431	315793408	10604544
4100464119	339591168	10657792
4200456607	347639808	10678272
4300458665	359206912	10711040
4400482255	371519488	10735616
4500501030	386482176	10752000
4600458737	390602752	10760192
4700415322	395644928	10772480
4800505800	398729216	10772480
4900520816	402771968	10792960
5000479197	404312064	10792960
5100480269	406093824	10801152
5200515641	412340224	10821632
5300478010	421302272	10833920
5400478708	428146688	10846208
5500521307	438763520	10870784
5600474700	452382720	10907648
5700480207	456208384	10911744
5800460623	461017088	10932224
5900482744	477405184	10993664
6000509929	478588928	10993664
6100463594	486572032	11010048
6200461978	491421696	11030528
6300480533	492994560	11034624
6400495544	498483200	11042816
6500479757	510803968	11071488
6600460995	483999744	11067392
6700516701	485195776	11067392
6800478698	486662144	11075584
6900529069	489283584	11079680
7000486310	490725376	11079680
7100462800	492290048	11247616
7200445242	494628864	11087872
7300505746	499494912	11096064
7400529375	501608448	11104256
7500524215	502673408	11104256
7600461430	504451072	11128832
7700460743	506417152	11132928
7800457572	507916288	11137024
7900476314	491425792	11169792
8000480166	477679616	11169792
8100474894	478584832	11169792
8200478587	480813056	11173888
8300460912	481042432	11173888
8400458848	481099776	11177984
8500456921	485539840	11177984
8600455177	491606016	11214848
8700459483	499957760	11214848
8800457528	501354496	11214848
8900478729	486064128	11223040
9000459094	486645760	11223040
9100456382	491855872	11235328
9200463416	493903872	11235328
9300484476	497704960	11239424
9400482047	499539968	11239424
9500479694	502292480	11239424
9600482336	505376768	11239424
9700483987	513241088	11255808
9800483750	529518592	11284480
9900486871	530952192	11284480
10000458036	531726336	11284480
10100496759	533086208	11284480
10200482384	534294528	11284480
10300493101	537128960	11284480
10400490631	541888512	11288576
10500463658	550146048	11304960
10600477965	546017280	11304960
10700488355	570527744	11350016
10800465085	572928000	11354112
10900484396	576872448	11362304
11000478892	577224704	11362304
11100498229	556281856	11370496
11200463155	555421696	11370496
11300481163	556548096	11370496
11400478332	558436352	11370496
11500478497	560533504	11370496
11600476875	563212288	11370496
11700479155	565657600	11370496
11800481773	568283136	11370496
11900479449	568938496	11370496
12000481470	572846080	11370496
12100460002	574685184	11370496
12200494035	575127552	11370496
12300481420	576348160	11370496
12400460797	577482752	11370496
12500463254	581894144	11374592
12600459780	583725056	11374592
12700478662	582344704	11374592
12800462633	582492160	11374592
12900446287	582909952	11374592
13000458227	583229440	11374592
13100471768	583282688	11374592
13200466319	584708096	11374592
13300480511	581726208	11370496
13400514786	582426624	11370496
13500475323	583081984	11370496
13600479287	584499200	11370496
13700481759	587120640	11374592
13800477798	587550720	11374592
13900478284	588390400	11374592
14000478726	588390400	11374592
14100509798	596987904	11395072
14200475036	597688320	11411456
14300494867	598515712	11411456
14400502874	599269376	11411456
14500466014	601104384	11423744
14600460890	601366528	11427840
14700463532	601686016	11427840
14800483786	601817088	11427840
14900479505	602759168	11427840
15000492101	603021312	11427840
15100484003	603193344	11436032
15200487216	603279360	11436032
15300521516	602959872	11436032
15400480821	603615232	11440128
15500529274	602845184	11440128
15600482432	602075136	11440128
15700456440	594202624	11464704
15800477791	587980800	11448320
15900482142	562991104	11448320
16000466481	563879936	11448320
16100462733	564412416	11448320
16200464621	564805632	11448320
16300482665	566140928	11448320
16400477609	566730752	11448320
16500483120	575119360	11448320
16600463156	578760704	11448320
16700463211	586100736	11448320
16800476419	586694656	11448320
16900510084	588734464	11448320
17000473504	590389248	11448320
17100511344	592310272	11448320
17200502427	592588800	11448320
17300506984	591171584	11448320
17400463259	591323136	11448320
17500483560	591163392	11448320
17600463126	576151552	11448320
17700501203	576368640	11448320
17800490420	576761856	11448320
17900457641	577687552	11448320
18000479652	578269184	11448320
18100478269	580038656	11448320
18200456659	581353472	11448320
18300461244	588693504	11452416
18400480921	595050496	11460608
18500477807	597319680	11460608
18600462432	605839360	11472896
18700459929	607105024	11472896
18800507270	607432704	11472896
18900475678	597442560	11481088
19000479772	597889024	11481088
19100457653	576143360	11481088
19200479570	579526656	11481088
19300480275	581079040	11481088
19400455659	585719808	11481088
19500478644	586190848	11481088
19600487064	586866688	11481088
19700482290	590651392	11481088
19800479497	591704064	11481088
19900459571	592879616	11481088
20000482583	596819968	11472896
20100481884	597909504	11472896
20200481287	598753280	11472896
20300494787	600043520	11472896
20400497018	601092096	11472896
20500464611	602796032	11472896
20600464540	604442624	11472896
20700464761	605884416	11472896
20800465993	606277632	11472896
20900462936	601624576	11485184
21000460474	572006400	11517952
21100509425	572997632	11517952
21200459485	574013440	11517952
21300481845	575455232	11517952
21400502828	576372736	11517952
21500457532	577351680	11517952
21600457913	579784704	11522048
21700479555	581877760	11522048
21800477096	577679360	11522048
21900479812	572866560	11522048
22000482468	573915136	11522048
22100504619	575418368	11522048
22200499578	576991232	11522048
22300458738	580923392	11522048
22400459956	582234112	11522048
22500464319	584462336	11530240
22600480058	585846784	11530240
22700529134	587681792	11530240
22800526947	588992512	11530240
22900518963	590434304	11530240
23000461251	591282176	11530240
23100479329	593772544	11538432
23200496026	594575360	11538432
23300483951	595247104	11538432
23400460880	592179200	11538432
23500456515	574832640	11534336
23600478950	575488000	11534336
23700476531	576978944	11534336
23800491170	577802240	11534336
23900506602	578723840	11534336
24000479891	581480448	11538432
24100484052	581767168	11538432
24200464681	589762560	11538432
24300482573	608276480	11612160
24400479218	610611200	11612160
24500462979	612151296	11612160
24600486837	611794944	11612160
24700456690	612188160	11612160
24800476006	612806656	11612160
24900480131	612749312	11612160
25000459512	612880384	11612160
25100485201	614584320	11612160
25200479364	616607744	11612160
25300458777	633942016	11636736
25400455693	634609664	11640832
25500457710	635359232	11640832
25600459004	636358656	11644928
25700461420	638193664	11644928
25800474937	638353408	11644928
25900463112	640970752	11649024
26000457708	638828544	11649024
26100480550	639361024	11649024
26200460554	639787008	11649024
26300458220	640253952	11649024
26400480656	640561152	11649024
26501005366	640761856	11657216
26600515257	640622592	11657216
26700472902	640782336	11657216
26800478152	641126400	11657216
26900458429	641134592	11657216
27000478394	641433600	11657216
27100458460	645021696	11665408
27200478849	645513216	11665408
27300467294	647852032	11669504
27400462480	651309056	11673600
27500462658	655065088	11685888
27600460138	656928768	11685888
27700465583	658632704	11689984
27800464903	659886080	11689984
27900463753	669605888	11710464
28000461749	670347264	11710464
28100462834	671215616	11710464
28200462668	673046528	11714560
28300482697	674168832	11714560
28400462197	675610624	11718656
28500464975	677052416	11718656
28600465744	677953536	11722752
28700466101	679657472	11722752
28800485319	682020864	11726848
28900492475	684408832	11730944
29000465397	685850624	11730944
29100486035	686768128	11735040
29200469385	687423488	11735040
29300477713	689242112	11735040
29400459525	689815552	11735040
29500481605	681947136	11743232
29600492623	681701376	11743232
29700473221	682561536	11743232
29800462799	683347968	11743232
29900494696	684265472	11743232
30000480845	684920832	11743232
30100479434	685182976	11743232
30200477822	685031424	11743232
30300478692	685170688	11743232
30400462893	685637632	11743232
30500482567	685899776	11743232
30600534733	686424064	11743232
30700469740	686505984	11743232
30800459535	687165440	11743232
30900475251	689147904	11751424
31000528978	690982912	11751424
31100459792	690356224	11751424
31200421061	690606080	11751424
31300539213	691556352	11751424
31400472041	691912704	11751424
31500506180	692330496	11751424
31600462316	692985856	11751424
31700464982	693379072	11751424
31800480303	694878208	11833344
31900462564	697360384	11825152
32000521351	697491456	11825152
32100494443	697475072	11825152
32200460421	697999360	11825152
32300474822	697339904	11825152
32400466153	697958400	11825152
32500488103	696426496	11837440
32600456610	669872128	11804672
32700476421	671256576	11804672
32800480565	673878016	11804672
32900465931	676761600	11804672
33000482822	679284736	11804672
33100458301	680869888	11804672
33200482591	682188800	11804672
