time	rss	kernel
0	638976	159744
100770215	55349248	4505600
200821089	58814464	4608000
300799113	69742592	4775936
400808270	85078016	5726208
500832774	108089344	5951488
600815511	257855488	7503872
700801996	224092160	8069120
800813510	278228992	10383360
900833142	503910400	11247616
1000807177	309800960	10657792
1100809928	322412544	10723328
1200800010	331243520	10805248
1300806064	346693632	11096064
1400774598	363298816	11235328
1500778505	377856000	11493376
1600920155	378195968	11546624
1700773551	378863616	11608064
1800776942	386678784	11694080
1900811126	403705856	11943936
2000808278	416358400	12197888
2100792408	421806080	12345344
2200769558	418283520	12374016
2300771113	430309376	12431360
2400979900	430440448	12431360
2500951369	430653440	12496896
2600923504	430403584	12496896
2700767927	430510080	12496896
2800923919	430886912	12496896
2900770498	430657536	12500992
3000771018	431181824	12517376
3100770236	431431680	12521472
3200765927	431955968	12521472
3300911098	431935488	12525568
3400769651	432115712	12529664
3500771157	433180672	12632064
3600917943	432971776	12632064
3700919505	432971776	12632064
3800838450	432971776	12632064
3901270741	433418240	12648448
4000960398	433606656	12648448
4100871655	449499136	12771328
4200792761	458346496	12849152
4300784219	484130816	12943360
4400772975	493682688	13008896
4500776639	514199552	13082624
4600812926	522530816	13123584
4700808160	536244224	13234176
4800853491	550567936	13283328
4900802753	560271360	13320192
5000773256	564539392	13328384
5100825805	569745408	13336576
5200797225	574992384	13344768
5300816959	579919872	13352960
5400834093	577499136	13357056
5500837697	582660096	13361152
5600850267	590544896	13398016
5700818750	601124864	13447168
5800777740	605773824	13475840
5900780484	616890368	13512704
6000796726	626909184	13570048
6100804882	625635328	13582336
6200797441	629624832	13590528
6300770823	653897728	13692928
6400823410	648908800	13701120
6500837354	654790656	13725696
6600819882	658497536	13729792
6700796373	658849792	13737984
6800801754	667865088	13754368
6900832809	680419328	13787136
7000792462	645681152	13783040
7100803581	631291904	13864960
7200835256	642818048	13873152
7300830951	643026944	13881344
7400837105	650842112	13881344
7500845739	658034688	13881344
7600821544	669863936	13897728
7700810973	675540992	13905920
7800839207	680013824	13914112
7900843592	681291776	13914112
8000794501	684863488	13942784
8100791668	658214912	14106624
8200806687	648253440	13963264
8300794165	575868928	14008320
8400821934	563568640	14036992
8500793145	573194240	14127104
8600819345	562741248	14135296
8700822677	562257920	14204928
8800802366	560148480	14221312
8900836989	569450496	14221312
9000790900	582385664	14299136
9100790113	588541952	14307328
9200818062	580759552	14368768
9300836154	584060928	14434304
9400820309	592334848	14491648
