time	rss	kernel
0	643072	180224
100573675	42852352	4358144
200596372	56725504	4304896
300722951	69447680	4468736
400589844	84725760	5283840
500601531	107986944	5709824
600607693	249954304	7024640
700558714	232570880	7933952
800583094	317448192	9760768
900575098	298164224	9744384
1000556739	311947264	9953280
1100577937	320688128	10186752
1200578846	331669504	10436608
1300574428	347209728	10551296
1400582864	363106304	10846208
1500614433	376143872	11137024
1600550804	376729600	11100160
1700613729	377409536	11137024
1800599802	386306048	11157504
1900549305	403570688	11411456
2000557704	419270656	11665408
2100546894	414339072	11743232
2200589623	424062976	11870208
2300691842	429862912	11898880
2400716482	429957120	11898880
2500702206	430018560	11898880
2600682024	429944832	11902976
2700700045	430206976	11902976
2800701037	430239744	11902976
2900698813	430743552	11911168
3000607493	430903296	11911168
3100708104	432476160	11931648
3200691316	431824896	11943936
3300595646	434147328	12029952
3400710415	432898048	12070912
3500720123	432898048	12070912
3600723707	432898048	12070912
3701069228	432771072	12070912
3800591010	433033216	12070912
3901033871	433152000	12070912
4000553638	433709056	12140544
4100584780	449708032	12222464
4200552125	459632640	12312576
4300564841	483762176	12390400
4400573907	494567424	12447744
4500575146	513617920	12521472
4600546413	522121216	12566528
4700555886	536678400	12648448
4800585278	551698432	12685312
4900636222	559738880	12697600
5000582295	564203520	12709888
5100579547	568238080	12713984
5200577851	574840832	12726272
5300559423	579125248	12750848
5400562858	576843776	12750848
5500564993	581652480	12759040
5600599213	589393920	12779520
5700588884	601038848	12853248
5800550969	603594752	12861440
5900556637	615485440	12910592
6000582868	627494912	12935168
6100595500	626139136	12939264
6200582969	628879360	12959744
6300552007	652095488	13090816
6400591951	646017024	13094912
6500588742	652427264	13115392
6600590580	656019456	13119488
6700585985	656039936	13131776
6800587937	665501696	13148160
6900601611	669757440	13148160
7000592413	648515584	13189120
7100589647	628789248	13189120
7200578368	638693376	13197312
7300615203	639791104	13197312
7400585928	647479296	13205504
7500590635	654925824	13205504
7600595315	666841088	13246464
7700586749	672763904	13246464
7800605458	678076416	13250560
7900626246	679694336	13250560
8000598762	683085824	13275136
8100597092	656891904	13438976
8200598345	659595264	13438976
8300551186	654106624	13447168
8400732602	564080640	13705216
8500550164	540196864	13848576
8600603388	531165184	13930496
8700595879	528916480	13930496
8800588633	538746880	13930496
8900592659	534781952	13930496
9000616302	544419840	13930496
9100593818	555540480	13967360
9200583834	573513728	13971456
9300580556	574484480	13971456
9400578307	559714304	13971456
9500590119	559603712	14049280
9600555642	572538880	14065664
9700598739	568528896	14098432
9800591863	585986048	14098432
9900657847	600928256	14098432
10000589157	618336256	14098432
10100619027	640479232	14139392
10200599732	651489280	14168064
10300614452	654430208	14172160
10400579598	666099712	14200832
10500549188	660983808	14237696
10600560772	667951104	14245888
10700582301	670818304	14254080
10800596508	667414528	14254080
10900602807	673034240	14274560
11000605074	686350336	14315520
11100563476	672854016	14323712
11200559734	658243584	14520320
11300575101	638787584	14528512
11400552497	658927616	14585856
11500583464	639569920	14598144
11600584702	614240256	14618624
11700590508	609607680	14692352
11800551137	602144768	14946304
11900545500	604225536	15036416
12000594601	604700672	15093760
12100597910	577961984	15110144
12200559073	574423040	15609856
12300597808	585564160	15806464
12400576767	597045248	15806464
12500585384	600039424	15806464
12600595285	612057088	15831040
12700577433	616423424	15831040
12800552293	620445696	15831040
12900551981	620232704	15831040
13000595796	611094528	15986688
13100571734	608677888	15986688
13200550612	605917184	15986688
13300607096	607559680	15986688
13400595377	611708928	15986688
13500590314	610590720	15986688
13600601114	606007296	15982592
13700609826	607305728	15998976
13800568773	607637504	15998976
13900602199	578863104	16334848
14000600779	578154496	16359424
14100590945	584441856	16367616
14200580338	593563648	16375808
14300582017	598843392	16375808
14400591522	592756736	16384000
14500576541	593375232	16392192
14600711584	592216064	16400384
14700594857	597782528	16478208
14800591281	594104320	16502784
14900592629	591241216	16510976
15000589850	591593472	16510976
15100593527	599384064	16519168
15200586305	603226112	16519168
15300598572	605048832	16519168
15400589988	603697152	16519168
15500579302	611819520	16527360
15600625891	613150720	16527360
15700587160	618323968	16527360
15800605286	626135040	16527360
15900600628	626753536	16519168
16000602357	623951872	16576512
16100626983	628002816	16576512
16200602223	628199424	16584704
16300563732	620187648	16588800
16400615051	620539904	16596992
16500555025	629157888	16596992
16600588612	627482624	16596992
16700598184	640299008	16601088
16800551069	647524352	16605184
16900604001	652349440	16605184
17000598376	658690048	16609280
17100594791	651071488	16617472
17200592622	647303168	16625664
17300560702	589549568	16740352
17400599942	598704128	16748544
17500580232	597245952	16748544
17600576627	601690112	16756736
17700554165	607174656	16756736
17800589142	612782080	16756736
17900551541	632422400	16756736
18000597265	649752576	16756736
18100589914	666185728	16756736
18200581981	681721856	16756736
18300626990	700051456	16760832
18400581165	699637760	16760832
18500594514	708485120	16760832
18600588811	708280320	16760832
18700596465	709156864	16760832
18800591644	708542464	16760832
18900575460	710983680	16781312
19000563678	723824640	16818176
19100574555	730550272	16830464
19200585128	716066816	16830464
19300624049	736440320	16850944
19400546155	722485248	16850944
19500703569	716685312	16891904
19600586930	709664768	16900096
19700588082	712716288	16900096
19800545942	715517952	16904192
19900571683	728494080	16916480
20000548926	693325824	16932864
20100561860	689475584	16957440
20200590925	694820864	16949248
20300564827	713814016	16949248
20400554922	717774848	16949248
20500577311	718954496	16973824
20600563238	721907712	16977920
20700587122	734437376	16982016
20800617263	733503488	16982016
20900565318	725581824	17047552
21000578708	710066176	17104896
21100548581	698363904	17203200
21200593867	707641344	17215488
21300600527	702869504	17215488
21400586348	706125824	17272832
21500625234	704679936	17272832
21600591224	718323712	17281024
21700635900	609333248	18157568
21800583679	627732480	18186240
21900587259	621613056	18391040
22000585702	628998144	18415616
22100592318	639012864	18423808
22200588698	654536704	18550784
22300557097	648331264	18575360
22400622428	654585856	18575360
22500592824	650575872	18575360
22600548141	662765568	18632704
22700588136	637616128	18870272
22800601531	626810880	18870272
22900593932	629420032	18878464
23000604947	636047360	18878464
23100588241	642068480	18878464
23200583027	636682240	18898944
23300603620	625532928	19070976
23400590616	622931968	19070976
23500590271	623837184	19070976
23600619534	634236928	19070976
23700613391	634527744	19070976
23800604288	644018176	19070976
23900561498	646791168	19070976
24000597766	652587008	19120128
24100551070	657747968	19124224
24200624364	659542016	19132416
24300627244	659587072	19132416
24400587732	661938176	19132416
24500584476	652750848	19140608
24600560132	661794816	19140608
24700547399	650489856	19136512
24800548021	656756736	19136512
24900589806	666533888	19144704
25000591963	665665536	19144704
25100593028	662102016	19144704
25200623404	670470144	19144704
25300589197	681287680	19144704
25400600502	701153280	19173376
25500723253	696750080	19173376
25600615453	693522432	19177472
25700552287	707002368	19181568
25800600104	705175552	19185664
25900599317	691560448	19189760
26000607505	668254208	19206144
26100615462	691519488	19222528
26200625429	713109504	19243008
26300572857	722321408	19259392
26400626157	734978048	19259392
26500582964	744685568	19259392
26600551072	750546944	19275776
26700586374	762265600	19292160
26800607010	764174336	19292160
26900596148	763957248	19296256
27000629086	763183104	19300352
27100595792	762134528	19316736
27200586312	712982528	19468288
27300596771	706596864	19599360
27400583021	710684672	19599360
27500593943	695304192	19599360
27600584807	712003584	19607552
27700545836	694534144	19607552
27800689299	674680832	19615744
27900546983	672886784	19615744
28000596413	673640448	19640320
28100575945	680005632	19656704
28200588822	679878656	19681280
28300593003	690073600	19681280
28400598144	674201600	19869696
28500586192	675368960	20238336
28600555232	643194880	20754432
28700602619	646787072	20754432
28800598837	652587008	20762624
28901220075	651608064	20762624
29000589556	630382592	20893696
29100574002	627470336	20893696
29200588504	631074816	20893696
29300550616	605196288	20893696
29400572615	605188096	20893696
29500597455	605052928	20893696
29600584577	606863360	20893696
29700596847	612552704	20893696
29800611737	612032512	20893696
29900575300	614383616	20893696
30000584061	614510592	20893696
30100578710	610004992	20893696
30200576371	615075840	20893696
30300585295	612196352	20893696
30400590635	620937216	20893696
30500586944	630091776	20893696
30600585487	622530560	20893696
30700558409	627593216	20893696
30800564497	626855936	20926464
