time	rss	kernel
0	614400	147456
100474673	51949568	4198400
200475616	58064896	4218880
300509908	69894144	4390912
400473117	84979712	5222400
500507735	108081152	5701632
600518887	265297920	7163904
700501718	239337472	8253440
800484797	327856128	10121216
900519298	299098112	10252288
1000513719	314359808	10412032
1100499957	321134592	10481664
1200637074	331751424	10698752
1300468821	346615808	10874880
1400468385	365006848	11059200
1500492158	373633024	11186176
1600468622	373846016	11247616
1700467511	374583296	11309056
1800499124	382459904	11374592
1900513187	399073280	11714560
2000468799	414658560	11890688
2100487530	409513984	12009472
2200473797	415272960	12099584
2300469501	427106304	12226560
2400624401	427556864	12251136
2500629092	427511808	12251136
2600468469	427487232	12251136
2700466979	427552768	12251136
2800464867	427593728	12251136
2900467483	428302336	12255232
3000467909	428810240	12263424
3100622305	430039040	12263424
3200465329	430170112	12263424
3300466096	432218112	12374016
3400632001	432447488	12398592
3500631612	432226304	12398592
3600608185	432226304	12398592
3700958659	432119808	12398592
3800653249	430678016	12398592
3900958638	430665728	12398592
4000472706	432304128	12431360
4100496813	447176704	12574720
4200488470	458604544	12677120
4300516042	481931264	12750848
4400488897	493355008	12800000
4500470411	511578112	12861440
4600500618	521228288	12910592
4700532185	531132416	12967936
4800523066	550400000	13008896
4900526051	557006848	13029376
5000519656	561807360	13041664
5100479569	566558720	13074432
5200510953	569221120	13078528
5300520675	578605056	13107200
5400539048	574582784	13111296
5500531764	579457024	13111296
5600523770	586502144	13160448
5700478531	598929408	13197312
5800481434	600965120	13205504
5900480464	613085184	13250560
6000502940	623976448	13287424
6100481427	621264896	13307904
6200501963	629411840	13320192
6300475487	628883456	13348864
6400530734	644599808	13414400
6500510640	644689920	13418496
6600511198	652550144	13447168
6700528604	654884864	13447168
6800501844	662974464	13455360
6900505170	669237248	13463552
7000517745	657879040	13479936
7100519969	626446336	13570048
7200513711	633028608	13389824
7300513835	643092480	13389824
7400510440	645562368	13389824
7500547148	655343616	13389824
7600527985	660660224	13389824
7700523086	668164096	13406208
7800517006	674836480	13406208
7900541814	676675584	13430784
8000538912	682004480	13434880
8100504738	678895616	13463552
8200509729	666906624	13598720
8300514932	651272192	13606912
8400494666	624877568	13684736
8500475245	594370560	13697024
8600476176	528424960	13852672
8700504420	544182272	13869056
8800476202	543191040	13869056
8900536814	545386496	13885440
9000511320	545923072	13885440
9100509162	553177088	13885440
9200532187	566362112	13950976
9300535317	578584576	13955072
9400474627	578453504	13955072
9500506272	553107456	14008320
9600508837	565653504	14032896
9700484579	567230464	14032896
9800516322	580808704	14032896
9900515509	598482944	14032896
10000539930	613244928	14032896
10100534271	632811520	14049280
10200539222	649703424	14069760
10300525096	662196224	14102528
10400524846	679407616	14135296
10500537541	680943616	14151680
10600550142	665608192	14184448
10700500538	672350208	14192640
