time	rss	kernel
0	671744	196608
100441164	52916224	4497408
200462593	58929152	4534272
300553860	69292032	4698112
400421396	84176896	5472256
500435544	108552192	5824512
600424040	271273984	7225344
700416092	238166016	8404992
800456984	328638464	10276864
900474724	293736448	10104832
1000418602	310063104	10289152
1100455544	318414848	10416128
1200429323	329322496	10633216
1300446275	345276416	10813440
1400449415	360509440	10997760
1500531331	372441088	11145216
1600530159	372547584	11202560
1700520972	373256192	11264000
1800489286	381259776	11333632
1900415211	396824576	11489280
2000426450	414740480	11698176
2100518907	416800768	11841536
2200574249	413523968	11837440
2300601551	413306880	11837440
2400525005	413179904	11837440
2500523821	425603072	11976704
2600578642	425484288	11976704
2700526426	425820160	11976704
2800424558	425816064	11976704
2900521955	426201088	11980800
3000586414	426213376	11980800
3100520103	426483712	11988992
3200574694	426438656	11988992
3300551843	426553344	11988992
3400573397	426553344	11988992
3500578770	426934272	12001280
3600572740	426737664	12001280
3700525361	426999808	12017664
3800573393	427335680	12017664
3900430962	428113920	12025856
4000417595	428126208	12025856
4100455288	437571584	12144640
4200464899	447492096	12279808
4300433275	473440256	12431360
4400451329	484552704	12447744
4500454918	504713216	12541952
4600414400	512847872	12570624
4700430394	523436032	12664832
4800417540	538591232	12726272
4900444624	544907264	12734464
5000412132	554725376	12746752
5100485808	558252032	12771328
5200438247	566689792	12783616
5300421219	570482688	12787712
5400425868	568066048	12787712
5500424424	573075456	12791808
5600411153	581451776	12824576
5700539605	591220736	12877824
5800438557	595742720	12886016
5900451295	608227328	12955648
6000450395	618135552	12992512
6100413939	616927232	13004800
6200427397	622575616	13033472
6300424576	644976640	13135872
6400418970	639455232	13139968
6500423819	645910528	13160448
6600434124	649510912	13164544
6700410929	649203712	13180928
6800422768	658505728	13193216
6900419170	667095040	13225984
7000429343	641409024	13242368
7100439204	621682688	13324288
7200434486	633712640	13340672
7300425862	633249792	13340672
7400499310	641818624	13340672
7500514817	649547776	13340672
7600421282	660152320	13357056
7700447207	666828800	13357056
7800443471	669978624	13361152
7900427594	672935936	13361152
8000436654	678154240	13373440
8100451202	660488192	13533184
8200434832	664002560	13537280
8300444324	659402752	13549568
8400419030	586940416	13594624
8500427698	535552000	13856768
8600525253	524312576	13979648
8700432638	533016576	13979648
8800425375	537612288	13979648
8900409114	530006016	13979648
9000424050	538722304	13979648
9100417011	550596608	14016512
9200414802	569683968	14016512
9300407540	563892224	14016512
9400433517	547553280	14086144
9500405541	553275392	14090240
9600431653	553177088	14127104
9700417333	561799168	14127104
9800481758	579833856	14127104
9900420552	593719296	14127104
10000428546	617562112	14127104
10100468109	639569920	14143488
10200427225	644534272	14159872
10300427284	649728000	14168064
10400415556	659832832	14196736
10500407697	655892480	14229504
10600420387	663244800	14229504
10700428656	662577152	14229504
10800433264	663207936	14229504
10900410821	668532736	14241792
11000419461	681639936	14303232
11100501437	674865152	14303232
11200491329	675807232	14331904
11300454934	633974784	14360576
11400427327	628936704	14573568
11500428439	610189312	14581760
11600414604	607924224	14774272
11700532965	543297536	15446016
11800428325	548433920	15572992
11900431289	553897984	15581184
12000442012	546791424	15613952
12100453042	558485504	15622144
12200427867	544006144	15626240
12300434325	548450304	15761408
12400425579	550535168	15765504
12500433030	562335744	15765504
12600410107	569888768	15765504
12700429108	567971840	15872000
12800478271	543404032	15986688
12900436340	545251328	15986688
13000433519	552255488	15986688
13100462115	547344384	15986688
13200418410	551477248	15986688
13300448281	551088128	15978496
13400427860	547680256	15998976
13500435182	554037248	15998976
13600418927	551010304	15998976
13700434978	547729408	15998976
13800432760	546590720	16007168
13900427065	551718912	16015360
