time	rss	kernel
0	684032	196608
100564607	56315904	4497408
200572170	58605568	4440064
300697158	69775360	4612096
400597506	85176320	5394432
500608359	109846528	5754880
600600173	272785408	7114752
700559091	240197632	8347648
800585695	335372288	10407936
900546472	296329216	10596352
1000593453	313241600	10575872
1100593359	319627264	10731520
1200599571	331362304	11001856
1300576869	348082176	11161600
1400558578	364216320	11272192
1500694923	372555776	11341824
1600686810	372789248	11374592
1700750686	372867072	11374592
1800586566	386170880	11448320
1900575595	396283904	11759616
2000603746	418361344	12013568
2100614287	405532672	12058624
2200700445	413798400	12144640
2300722299	413892608	12148736
2400674678	416526336	12238848
2500809979	418402304	12292096
2600696101	419233792	12300288
2700709808	419131392	12300288
2800686883	419069952	12300288
2900570498	419160064	12304384
3000669140	419311616	12337152
3100693873	420614144	12345344
3200752031	420843520	12349440
3300689712	421089280	12349440
3400570338	421527552	12349440
3500699941	421294080	12349440
3600689334	421425152	12349440
3700693376	422473728	12369920
3800689552	422621184	12369920
3900578725	423157760	12390400
4000535235	425324544	12513280
4100569207	443514880	12611584
4200572710	456220672	12709888
4300596051	479375360	12804096
4400601626	492294144	12857344
4500591964	509759488	12935168
4600572690	520175616	12976128
4700602370	530395136	13058048
4800617299	550461440	13111296
4900611531	554479616	13148160
5000597540	561016832	13160448
5100604552	565706752	13180928
5200594861	572628992	13213696
5300579602	571125760	13238272
5400604050	572841984	13242368
5500634856	575938560	13246464
5600581983	586285056	13275136
5700596047	592310272	13299712
5800554988	601858048	13328384
5900572251	613916672	13377536
6000581620	617889792	13410304
6100591098	619569152	13438976
6200544509	622915584	13443072
6300595411	648613888	13561856
6400561647	641343488	13578240
6500593120	650706944	13594624
6600598276	655986688	13619200
6700538552	654258176	13631488
6800599888	664084480	13643776
6900591929	675557376	13672448
7000588761	622301184	13778944
7100613290	624828416	13787136
7200589927	637833216	13787136
7300547411	639299584	13787136
7400611945	647770112	13787136
7500587143	655060992	13787136
7600612434	663351296	13803520
7700578426	671944704	13807616
7800572732	676339712	13815808
7900612756	676786176	13815808
8000596093	676098048	13824000
8100602723	654049280	13852672
8200582403	644395008	13860864
8300538490	634925056	13860864
8400609251	599240704	13860864
8500568241	539635712	14209024
8600595016	547184640	14266368
8700592344	539742208	14327808
8800579848	541990912	14229504
8900604140	544534528	14229504
9000562018	550932480	14266368
9100571298	565669888	14266368
9200578735	572219392	14266368
9300567892	558964736	14270464
9400560290	550486016	14270464
9500579950	557015040	14286848
9600600820	564273152	14290944
9700578467	581824512	14290944
9800581894	596779008	14290944
9900606230	614174720	14290944
10000605400	636878848	14307328
10100601759	648941568	14340096
10200605761	669421568	14385152
10300599842	675336192	14413824
10400560096	663871488	14454784
10500583751	666517504	14487552
10600591396	663683072	14487552
10700587667	659546112	14512128
10800586389	665157632	14520320
10900599963	674627584	14565376
11000556750	668647424	14569472
11100604708	668418048	14569472
11200576378	678658048	14569472
11300590268	672890880	14585856
11400536703	644558848	14790656
11500577773	637784064	14929920
11600629566	639557632	14929920
11700606455	632774656	15290368
11800557063	631541760	15388672
11900571059	637538304	15396864
12000569041	647688192	15405056
12100560614	604352512	16130048
12200582573	598007808	16130048
12300615171	603512832	16134144
12400534857	621551616	16134144
12500557983	625479680	16138240
12600544827	627802112	16142336
12700595231	628834304	16142336
12800582143	627503104	16146432
12900565581	626978816	16146432
13000543114	620511232	16146432
13100568812	609808384	16252928
13200546124	586760192	16252928
13300565676	580198400	16252928
13400571545	574939136	16248832
13500549145	576032768	16248832
13600541457	577204224	16248832
