time	rss	kernel
0	675840	200704
100533568	48754688	4771840
200553669	59113472	4653056
300538960	70397952	4820992
400554936	85868544	5578752
500543632	109240320	5898240
600541665	279994368	7327744
700528571	249782272	8179712
800522761	313802752	9904128
900547647	509861888	10153984
1000552949	312836096	10354688
1100675630	323555328	10530816
1200504277	331993088	10743808
1300545118	349483008	10919936
1400510417	366088192	11034624
1500536257	378904576	11202560
1600677079	379138048	11214848
1700665948	380239872	11337728
1800523601	387043328	11526144
1900564180	400568320	11694080
2000526778	418394112	11882496
2100609417	425336832	12124160
2200677002	417046528	12115968
2300655739	417148928	12115968
2400556493	419766272	12152832
2500668740	430108672	12263424
2600657432	430026752	12263424
2700654016	430350336	12263424
2800693679	430497792	12263424
2900656788	430800896	12279808
3000647022	430714880	12279808
3100654483	430604288	12279808
3200655395	431058944	12288000
3300649575	430940160	12288000
3400645996	431202304	12292096
3500660308	432013312	12296192
3600548858	431783936	12296192
3700649897	431726592	12296192
3800653807	433160192	12296192
3900660514	433557504	12296192
4000506731	432607232	12296192
4100519873	448212992	12423168
4200508512	457756672	12587008
4300514371	482836480	12587008
4400541101	493203456	12800000
4500542269	512360448	12681216
4600526065	520306688	12726272
4700545507	532889600	12849152
4800558698	547790848	12886016
4900541887	558055424	12890112
5000536223	563646464	13000704
5100560242	569589760	13045760
5200533950	570318848	13049856
5300552346	578527232	13058048
5400591532	576323584	13062144
5500563332	580902912	13070336
5600559609	589086720	13221888
5700507840	599851008	13180928
5800548137	602017792	13156352
5900576924	614387712	13201408
6000534644	627273728	13275136
6100549741	623775744	13275136
6200554441	631476224	13287424
6300548400	631197696	13299712
6400514434	648581120	13393920
6500509641	648908800	13406208
6600509215	656674816	13414400
6700511741	656904192	13430784
6800510672	664207360	13430784
6900528003	671027200	13459456
7000535843	659570688	13496320
7100509157	631070720	13496320
7200510493	635117568	13512704
7300511205	642908160	13512704
7400514413	647397376	13512704
7500515788	657530880	13512704
7600511063	663957504	13512704
7700529049	670830592	13512704
7800508927	675164160	13524992
7900511234	680710144	13533184
8000511076	683905024	13770752
8100532619	667738112	13713408
8200518104	652275712	13750272
8300516565	653144064	13770752
8400655547	581611520	13869056
8500532173	545714176	14094336
8600563158	535851008	14159872
8700530498	549036032	14168064
8800540568	537452544	14225408
8900509823	545533952	14225408
9000507976	548433920	14233600
9100535112	552628224	14299136
9200555949	552644608	14282752
9300533377	559837184	14331904
9400534440	560140288	14331904
9500511692	567382016	14340096
9600557389	573804544	14340096
9700509479	575946752	14348288
9800554188	581197824	14381056
9900545600	592875520	14381056
10000504711	611766272	14381056
10100545296	626688000	14381056
10200572574	646561792	14401536
10300550015	667439104	14450688
10400538681	676442112	14458880
10500539787	678428672	14508032
10600568510	679723008	14508032
10700533083	680628224	14512128
10800565822	679985152	14532608
10900592387	685101056	14745600
11000544320	688590848	14569472
11100511728	675684352	14807040
11200566211	684027904	14790656
11300560014	675573760	14790656
11400526484	669466624	14921728
11500567036	670691328	14909440
11600543532	601239552	15532032
11700664390	601829376	15540224
11800540554	593657856	15712256
11900554642	597716992	15712256
12000566293	601862144	15712256
12100561748	609050624	15712256
12200507944	612524032	15712256
12300508859	621711360	15712256
12400515208	594841600	15720448
12500561591	607358976	15728640
12600575720	589586432	15826944
12700547911	594501632	15728640
12800542770	594644992	15728640
12900547885	603942912	15728640
13000571012	603045888	15884288
13100548881	601980928	15761408
13200553640	603480064	15761408
13300568995	607776768	15761408
13400571552	608342016	15761408
13500543711	611057664	15761408
13600547573	611663872	15761408
13700567668	614359040	15794176
13800554593	601825280	16195584
13900557287	595206144	16277504
14000573340	603107328	16277504
14100556621	612646912	16285696
14200564067	619700224	16285696
14300527250	618655744	16293888
14400568066	627507200	16293888
14500569557	625852416	16302080
14600560047	646221824	16363520
14700577472	550244352	16707584
14800509803	545091584	16707584
14900572272	548548608	16707584
15000580883	555511808	16707584
15100541679	562393088	16707584
15200556364	558428160	16707584
15300533893	568770560	16707584
15400549486	572407808	16707584
15500554239	577236992	16904192
15600542796	585945088	16707584
15700562641	588345344	16707584
15800570081	598384640	16707584
15900531156	601874432	16691200
16000562258	609804288	16691200
16100575775	617279488	16691200
16200545680	620294144	16691200
16300536186	624689152	16691200
16400549631	625766400	16826368
16500543825	621281280	16691200
16600507537	621436928	16691200
16700566071	617648128	16887808
16800545271	634249216	16695296
16900504987	629997568	16695296
17000510206	635908096	16891904
17100538546	641826816	16695296
17200542505	642940928	16695296
17300527560	655544320	16707584
17400534283	616546304	16920576
17500509979	579362816	16818176
17600549386	576827392	16859136
17700526546	585756672	16859136
17800540878	587800576	16826368
17900569991	609374208	16826368
18000544483	628768768	16826368
18100564641	643911680	16826368
18200512982	664997888	16863232
18300596239	682491904	16855040
18400534275	691625984	16871424
18500516266	695828480	16732160
18600564309	701333504	16740352
18700549542	701136896	16740352
18800566084	703447040	16740352
18900531301	713134080	16756736
19000503522	714747904	16801792
19100527267	706043904	16826368
19200542738	714895360	16826368
19300541827	705515520	16826368
19400554812	697798656	16928768
19500508603	687849472	17002496
19600513385	686215168	17018880
19700691226	673587200	17092608
19800506818	664649728	17108992
19900551935	639660032	17137664
20000519119	641470464	17104896
20100557291	650948608	17104896
20200533383	653590528	17113088
20300552258	662867968	17129472
20400547088	672636928	17129472
20500513582	681701376	17162240
20600511384	682803200	17137664
20700511732	685191168	17145856
20800577438	687341568	17145856
20900563246	696360960	17145856
21000547467	693497856	17178624
21100535291	694550528	17154048
21200508973	694140928	17158144
21300543213	698322944	17203200
21400543735	694222848	17227776
21500531607	697335808	17227776
21600536554	695582720	17424384
21700515879	702259200	17231872
21800539500	696041472	17240064
21900536692	704221184	17240064
22000528331	712564736	17240064
22100505623	718852096	17256448
22200530638	716652544	17264640
22300512176	713940992	17268736
22400529488	732753920	17330176
22500509969	720986112	17362944
22600576995	726241280	17362944
22700566888	725147648	17362944
22800560580	732643328	17367040
22900571169	739987456	17387520
23000532103	745320448	17387520
23100556268	745234432	17387520
23200552859	750866432	17391616
23300565181	753242112	17395712
23400575841	753737728	17395712
23500575521	763666432	17412096
23600529298	772608000	17420288
23700533328	780005376	17440768
23800532346	784580608	17469440
23900513209	785981440	17477632
24000506651	789794816	17498112
24100544036	773140480	17514496
24200557886	781471744	17514496
24300508629	727068672	17707008
24400507222	720519168	17510400
24500552432	735363072	17510400
24600536717	732123136	17510400
24700536489	740134912	17510400
24800505130	741232640	17510400
24900547990	746377216	17514496
25000554451	757215232	17526784
25100540509	765792256	17551360
25200562509	765173760	17752064
25300525628	764137472	17559552
25400533423	772915200	17559552
25500510992	765284352	17584128
25600514451	784211968	17584128
25700511838	800894976	17616896
25800511845	822349824	17711104
25900552647	838955008	17793024
26000507615	862380032	17952768
26100510871	871981056	17969152
26200511374	875597824	18018304
26300542140	874274816	18165760
26400532015	871149568	18206720
26500568184	870309888	18214912
26600540571	879513600	18219008
26700507088	869875712	18534400
26800511772	794648576	19587072
26900545916	793767936	19804160
27000528612	806404096	19812352
27100588213	818032640	19849216
27200565153	813572096	19857408
27300518639	829120512	19857408
27400565332	820748288	19890176
27500568322	825618432	19918848
27600523015	827437056	19927040
27700539875	793346048	20213760
27800537094	797806592	20217856
27900543405	801792000	20217856
28000544891	811839488	20226048
28100528683	809144320	20246528
28200546774	825237504	20254720
28300505207	819757056	20258816
28400542893	839036928	20267008
28500538002	842526720	20303872
28600535546	848236544	20271104
28700509553	848166912	20275200
28800546451	857530368	20279296
28900535125	864940032	20377600
29000518585	861978624	20295680
29100549079	863207424	20295680
29200533092	849268736	20312064
29300509387	822104064	20582400
29400516746	817311744	20582400
29500512553	819605504	20590592
29600529279	819777536	20598784
29700517256	821600256	20754432
29800513690	815640576	20754432
29900511679	822771712	20754432
30000507834	828194816	20754432
30100509096	828272640	20754432
30200545740	828387328	20754432
30300544295	826908672	20754432
30400527826	835956736	20754432
30500573407	808267776	20799488
30600539415	785862656	22073344
30700585149	775847936	22466560
30800576415	779882496	22556672
30900609314	782655488	22556672
31000543025	788160512	22564864
31100524949	792715264	22573056
31200569957	791474176	22573056
31300538248	789934080	22581248
31400534615	794918912	22581248
31500527154	807075840	22581248
31600595079	805658624	22581248
31700534765	813367296	22581248
31800559979	819826688	22581248
31900562447	830562304	22683648
32000567472	838062080	22683648
32100568096	840876032	22683648
32200570583	845688832	22687744
32300557078	850382848	22687744
32400555191	828350464	22745088
32500548224	805826560	23097344
32600530316	794132480	23130112
32700534928	784068608	23138304
32800534237	693501952	23384064
32900537982	634679296	23404544
33000570642	643747840	23388160
33100572648	642523136	23388160
33200538671	647561216	23388160
33300507955	648642560	23388160
33400557038	662708224	23392256
33500557290	666771456	23400448
33600504782	663887872	23408640
33700505953	644063232	23457792
33800525088	649502720	23457792
33900564468	649113600	23482368
34000574915	663592960	23490560
34100504982	679702528	23490560
34200574952	700874752	23490560
34300557482	722874368	23490560
34400594717	724365312	23506944
34500528880	746192896	23506944
34600562323	746426368	23609344
34700509297	755183616	23515136
34800585146	751390720	23515136
34900511719	748216320	23523328
35000555840	750542848	23531520
35100509938	759074816	23547904
35200544577	761999360	23556096
35300566935	782888960	23556096
35400537520	772206592	23556096
35500582791	789745664	23568384
35600535550	751489024	23576576
35700549600	742596608	23638016
35800523550	712290304	23605248
35900565121	715149312	23605248
36000566394	720072704	23605248
36100536556	721735680	23736320
36200511263	731488256	23605248
36300517355	734121984	23605248
36400543911	746938368	23654400
36500528485	748298240	23654400
36600533022	766533632	23654400
36700534533	766263296	23654400
36800533691	771649536	23662592
36900528483	780402688	23695360
37000506078	778350592	23662592
37100542481	780808192	23662592
37200546160	778813440	23670784
37300569240	776048640	23687168
37400513145	776122368	23687168
37500547115	780451840	23687168
37600564483	779014144	23703552
37700540437	781975552	23711744
37800509407	779669504	23719936
37900603720	783454208	23920640
38000557965	786296832	23732224
38100560354	783138816	23732224
38200542447	792715264	23732224
38300533416	801185792	23732224
38400545133	793714688	23740416
38500532700	795725824	23740416
38600514958	793149440	23740416
38700532330	801013760	23801856
38800526007	795881472	23851008
38900514629	801251328	23883776
39000509847	807288832	23891968
39100510206	812802048	23891968
39200535370	817418240	23891968
39300531507	814104576	23891968
39400529785	819605504	23891968
39500569984	831168512	23891968
39600508870	835088384	23900160
39700548619	840585216	23953408
39800544087	846778368	23953408
39900548396	855310336	23953408
40000555961	861851648	23986176
40100544011	865357824	24002560
40200566240	867213312	24002560
40300522995	872009728	24002560
40400513810	879284224	24076288
40500546219	876752896	24215552
40600542350	882200576	24268800
40700541478	882913280	24330240
40800540454	884690944	24371200
40900568030	889184256	24387584
41000570919	896638976	24391680
41100508744	888569856	24408064
41200510052	899919872	24416256
41300508596	839335936	25325568
41400506457	846610432	25337856
41500508861	842756096	25722880
41600566817	849276928	25915392
41700530532	851042304	25784320
41800535801	854855680	26009600
41900506411	864731136	25821184
42000508913	867188736	25829376
42100505179	845594624	25829376
42200564006	851390464	25919488
42300567087	869072896	25931776
42400570199	890019840	25931776
42500582633	908099584	25948160
42600558937	925097984	25985024
42700565167	944140288	26034176
42800523746	947150848	26054656
42900546291	935161856	26173440
43000506043	932864000	26185728
43100553761	922386432	26189824
43200571474	924233728	26296320
43300531087	926728192	26234880
43400576016	918462464	26214400
43500536819	938102784	26222592
43600541577	863252480	26234880
43700538643	838590464	26451968
43800549348	852127744	26451968
43900510596	831148032	26451968
44000556031	818180096	26574848
44100561303	739045376	26583040
44200560576	741122048	26583040
44300554197	743743488	26583040
44400544733	737562624	26705920
44500512048	747429888	26591232
44600554790	752488448	26632192
44700526220	765743104	26632192
44800544207	772521984	26648576
44900559065	743137280	26648576
45000542734	699740160	27205632
45100532336	703836160	27418624
45200534078	709918720	27258880
45300570948	718483456	27258880
45400549002	721297408	27258880
45500563414	703074304	27295744
45600556090	710053888	27295744
45700523439	716488704	27295744
45800529204	708481024	27525120
45900580831	704720896	27410432
46000565987	706301952	27410432
46100506537	693850112	27672576
46200571254	693661696	27672576
46300587539	689131520	27672576
46400572619	691765248	27672576
46500528970	694353920	27672576
46600564038	682110976	27852800
46700541537	678428672	27852800
46800581320	684969984	27852800
46900529299	690753536	27852800
47000544088	660328448	27856896
47100536146	650776576	27860992
47200508170	648294400	27860992
47300530284	654430208	27918336
47400539537	651378688	27926528
47500567445	641163264	27938816
47600526356	642232320	27938816
47700553004	648622080	27938816
47800535843	657092608	27938816
47900512729	664502272	27938816
48000527613	664088576	27938816
48100572440	666714112	27938816
48200546319	678014976	27938816
48300577826	675749888	27938816
48400569527	685023232	27938816
48500553875	688508928	27938816
48600532925	697290752	27938816
48700524339	701726720	27938816
48800565499	703762432	27938816
48900557603	708771840	27938816
49000512765	691671040	27938816
49100514601	642449408	27938816
49200529833	640659456	27938816
49300505364	638672896	27942912
49400534840	651317248	27942912
49500546272	642387968	27942912
49600534920	654094336	27942912
49700503343	647692288	27942912
49800534353	654688256	27942912
49900508477	656138240	27942912
50000515069	674533376	27942912
50100538614	675557376	27942912
50200534686	672952320	27942912
50300588563	672432128	27942912
50400580931	676798464	27947008
50500555459	691335168	27947008
50600568640	708673536	27947008
50700568015	726208512	27947008
50800547788	746340352	27947008
50900558357	759361536	27947008
51000537879	772419584	27947008
51100559944	768692224	27947008
51200530716	770850816	27947008
51300540124	756289536	27947008
51400552499	755781632	27947008
51500527052	753324032	27947008
51600543558	753729536	27930624
51700542330	765308928	27930624
51800536157	771969024	27930624
51900533536	753631232	27930624
52000564382	771063808	27938816
52100509407	752095232	27938816
52200693251	739241984	28192768
52300540677	710938624	28504064
52400553334	714657792	28504064
52500532442	712790016	28594176
52600561942	716177408	28602368
52700554059	724316160	28602368
52800545489	742662144	28610560
52900555240	749543424	28610560
53000542859	759738368	28618752
53100564978	717996032	28930048
53200542611	723968000	28930048
53300556540	732598272	28930048
53400558286	741728256	28930048
53500537266	747745280	28934144
53600541185	753291264	28934144
53700579209	758562816	28934144
53800577912	761421824	28950528
53900563298	764678144	28950528
54000561095	744419328	28958720
54100557702	745689088	28958720
54200576873	752435200	28975104
54300574589	749117440	28975104
54400558038	752824320	28983296
54500554435	751828992	28991488
54600577969	742969344	29089792
54700540485	747540480	29089792
54800566927	746905600	29089792
54900560186	754839552	29089792
55000545520	754397184	29089792
55100563855	755318784	29097984
55200545847	756932608	29102080
55300560300	749539328	29126656
55400561584	760909824	29134848
55500541701	724656128	29478912
55600567616	726298624	29478912
55700570016	727400448	29487104
55800547158	734883840	29487104
55900564863	740773888	29495296
56000568623	740339712	29478912
56100574692	738324480	29478912
56200530305	741265408	29478912
56300564929	744423424	29478912
56400577080	749486080	29478912
56500568445	757927936	29478912
56600555919	760745984	29478912
56700547469	766656512	29495296
56800544693	768335872	29503488
56900553879	770269184	29503488
57000513594	774262784	29503488
57100616455	768978944	29716480
