time	rss	kernel
0	671744	196608
100489155	63455232	4116480
200515472	54312960	4382720
300514420	69025792	4513792
400516535	80826368	5234688
500498696	104587264	5656576
600536952	199962624	6942720
700496603	225087488	7766016
800543042	286724096	10121216
900516213	524652544	11042816
1000609281	318967808	10420224
1100498327	327860224	10481664
1200493993	337154048	10772480
1300493040	355176448	10964992
1400499435	368300032	11096064
1500478520	382689280	11235328
1600482093	383119360	11276288
1700488886	382996480	11276288
1800495199	396107776	11390976
1900518825	405438464	11653120
2000496162	425000960	11845632
2100491502	416137216	11874304
2200529655	426881024	11993088
2300569862	431898624	12115968
2400476044	433094656	12189696
2500484565	433102848	12189696
2600666384	433504256	12193792
2700657706	433975296	12193792
2800477362	434049024	12197888
2900476334	426049536	12247040
3000492287	426770432	12251136
3100480783	427167744	12255232
3200544456	427220992	12259328
3300530976	427229184	12259328
3400651030	427401216	12259328
3500644096	427401216	12259328
3600639910	427532288	12259328
3700490388	427540480	12259328
3800496062	427802624	12259328
3900562515	428326912	12263424
4000494729	431259648	12304384
4100494063	448962560	12414976
4200514365	463339520	12488704
4300513146	483602432	12554240
4400518684	498933760	12648448
4500500969	514486272	12718080
4600543666	525037568	12767232
4700498965	534351872	12832768
4800499345	554438656	12849152
4900491174	558833664	12865536
5000493826	564445184	12873728
5100540569	567226368	12881920
5200498152	575229952	12910592
5300500690	575246336	12931072
5400507095	577822720	12935168
5500498916	579485696	12939264
5600498048	589504512	12980224
5700535225	595636224	12992512
5800516660	604508160	13004800
5900521760	616853504	13045760
6000515479	617451520	13086720
6100515110	628191232	13094912
6200498459	629256192	13099008
6300516115	643784704	13217792
6400517766	645140480	13225984
6500521661	655159296	13234176
6600495816	658386944	13328384
6700494261	660815872	13348864
6800530081	669003776	13357056
6900570515	681410560	13393920
7000518482	626053120	13455360
7100542649	632651776	13471744
7200520726	645124096	13471744
7300566823	645816320	13471744
7400572376	655245312	13471744
7500522663	663244800	13471744
7600497623	666529792	13520896
7700560898	673460224	13524992
7800495982	677150720	13533184
7900568023	678821888	13533184
8000517335	678498304	13561856
8100541601	663318528	13672448
8200496947	643174400	13680640
8300494076	592924672	13684736
8400495697	573034496	13770752
8500496332	575950848	13942784
8600496500	561987584	14024704
8700495524	558612480	14086144
8800494173	559984640	14086144
8900500013	567857152	14086144
9000503584	580177920	14114816
9100494535	590630912	14123008
9200496994	594976768	14127104
9300527248	591634432	14168064
9400505387	598093824	14192640
9500530410	604430336	14192640
9600497339	624693248	14192640
9700519120	615354368	14196736
9800518047	603660288	14196736
9900520265	611450880	14307328
10000517389	629432320	14323712
10100516574	644272128	14372864
10200514408	652722176	14389248
10300511841	650649600	14405632
10400577644	636887040	14405632
10500495660	618840064	14405632
10600545474	609636352	14405632
10700504685	611569664	14409728
10800568252	612798464	14409728
10900478099	612728832	14409728
11000496019	612306944	14409728
11100494108	619819008	14409728
11200494923	624984064	14409728
11300516903	640712704	14409728
11400529090	633647104	14409728
11500546741	647843840	14409728
11600484683	630312960	14413824
11700493398	625139712	14413824
11800476946	622546944	14426112
11900482301	622215168	14434304
12000496828	626057216	14434304
12100552968	632655872	14434304
12200497588	634146816	14434304
12300516222	644182016	14434304
12400517366	652525568	14434304
12500500731	664821760	14516224
12600528774	664375296	14548992
12700512453	673447936	14585856
12800521855	673939456	14585856
12900558204	677744640	14594048
13000524637	682074112	14594048
13100498230	687783936	14594048
13200557238	689745920	14626816
13300497919	686424064	14635008
13400498463	685867008	14639104
13500516691	685891584	14639104
13600494406	690511872	14647296
13700496728	688332800	14647296
13800514396	690671616	14655488
13900542357	685805568	14680064
14000494280	689221632	14684160
14100497647	689704960	14700544
14200518960	698249216	14708736
14300517899	705593344	14716928
14400515141	712753152	14721024
14500494102	709967872	14745600
14600513774	708104192	14745600
14700520500	725028864	14811136
14800501908	713785344	14860288
14900519255	703217664	14868480
15000496964	703696896	14868480
15100522533	710164480	14872576
15200498228	719233024	14884864
15300516572	713953280	14884864
15400516283	716554240	14884864
15500522749	720572416	14884864
15600516079	732356608	14888960
15700497824	732348416	14888960
15800494342	741343232	14888960
15900516282	747950080	14905344
16000526872	756121600	14905344
16100524428	763408384	14921728
16200542082	766226432	14925824
16300574185	766599168	14925824
16400502202	773017600	14942208
16500502454	773128192	14995456
16600518871	778637312	15020032
16700531898	775585792	15024128
16800528584	776019968	15114240
16900521179	784596992	15233024
17000522620	788324352	15265792
17100522042	792043520	15269888
17200510677	789229568	15278080
17300499749	797138944	15310848
17400497867	817917952	15388672
17500486674	818352128	15396864
17600493241	817266688	15400960
17700493529	824369152	15421440
17800513249	797380608	16486400
17900513412	772124672	16502784
18000515759	753827840	17010688
18100496563	769282048	17047552
