time	rss	kernel
0	634880	159744
100504520	56770560	4521984
200528831	56217600	4513792
300496152	69926912	4677632
400478407	84156416	5320704
500487683	106881024	5689344
600513038	242327552	7065600
700498511	225443840	7999488
800502230	316715008	10104832
900492886	295174144	10305536
1000498671	312233984	10559488
1100480006	321765376	10641408
1200480791	333996032	10907648
1300482382	347443200	11079680
1400564470	358121472	11149312
1500537540	371150848	11313152
1600626152	371556352	11317248
1700630181	371769344	11317248
1800499430	379772928	11440128
1900479444	395296768	11743232
2000501092	410554368	11993088
2100476370	401932288	12021760
2200637001	406556672	12029952
2300629720	406286336	12029952
2400617592	405766144	12029952
2500732717	405884928	12046336
2600621876	405839872	12046336
2700581126	419930112	12177408
2800680157	419524608	12210176
2900660122	419536896	12214272
3000639579	424161280	12378112
3100637446	424357888	12378112
3200623628	424304640	12378112
3300627463	424136704	12378112
3400626704	424144896	12378112
3500629795	424521728	12378112
3600624715	425275392	12394496
3700627898	425238528	12394496
3800570687	416161792	12414976
3900626528	416047104	12414976
4000517400	419008512	12431360
4100524577	436862976	12562432
4200534420	449187840	12644352
4300557419	471703552	12718080
4400501787	482701312	12779520
4500504544	501571584	12857344
4600520015	510238720	12902400
4700524828	519983104	12963840
4800500602	536326144	13029376
4900562547	547827712	13074432
5000550570	549896192	13078528
5100524020	556793856	13094912
5200537998	559063040	13099008
5300535477	567259136	13123584
5400543037	564764672	13127680
5500539881	570036224	13148160
5600475862	576909312	13189120
5700528987	587579392	13238272
5800523231	589004800	13246464
5900515479	601632768	13291520
6000517426	613425152	13336576
6100516925	611024896	13340672
6200627959	619954176	13361152
6300473097	621330432	13496320
6400521599	637280256	13623296
6500477202	637730816	13631488
6600536526	645509120	13668352
6700544499	644796416	13672448
6800568090	653934592	13676544
6900519753	661303296	13697024
7000541292	649838592	13713408
7100537737	619393024	13811712
7200517435	622108672	13819904
7300545022	634548224	13828096
7400502409	637706240	13828096
7500548911	647127040	13828096
7600539472	653037568	13828096
7700524501	657186816	13869056
7800538124	664907776	13881344
7900558590	665923584	13885440
8000522914	670896128	13910016
8100477907	669949952	13918208
8200483831	657645568	14024704
8300512303	644354048	14024704
8400525413	606928896	14053376
8500505339	535224320	14360576
8600507492	541298688	14376960
8700519346	526237696	14376960
8800484025	536838144	14401536
8900512424	536338432	14401536
9000509682	544186368	14401536
9100527657	558845952	14422016
9200512677	569360384	14422016
9300504516	570048512	14430208
9400475300	552120320	14430208
9500473399	554123264	14495744
9600506168	560861184	14528512
9700518069	575995904	14528512
9800505839	591347712	14528512
9900542533	610574336	14536704
10000520909	632107008	14557184
10100524682	644276224	14589952
10200523071	662401024	14622720
10300533864	673382400	14659584
10400534088	674402304	14692352
10500519276	665538560	14704640
10600501937	662994944	14712832
10700518325	662839296	14712832
10800514228	661020672	14614528
10900521536	663035904	14667776
11000480433	641576960	14798848
11100479056	636747776	14798848
11200550238	651444224	14798848
11300532927	642895872	14798848
11400494161	635305984	14802944
11500497160	632274944	14897152
11600637196	604303360	14925824
11700525951	607526912	14925824
11800524352	613175296	14925824
11900477381	615870464	14925824
12000512622	629129216	14925824
12100508987	632549376	14925824
12200496098	651370496	14925824
12300503659	655388672	14925824
12400537254	666783744	14974976
12500531655	667762688	14974976
12600512571	676081664	15011840
12700530666	680468480	15011840
12800532927	689348608	15020032
12900498021	688324608	15024128
13000517973	686768128	15024128
13100520251	688836608	15028224
13200524455	693788672	15028224
13300550420	695443456	15028224
13400487900	696709120	15028224
13500485162	692363264	15040512
13600522262	692994048	15077376
13700496556	696156160	15077376
13800513196	702066688	15081472
13900539116	710475776	15089664
14000513625	720912384	15130624
14100512188	716898304	15130624
14200519651	720478208	15138816
14300476044	723972096	15155200
14400490016	728662016	15282176
14500479088	726544384	15282176
14600482725	732110848	15286272
14700486043	738570240	15294464
14800483896	746340352	15306752
