time	rss	kernel
0	634880	155648
100573666	55668736	4546560
200586726	56963072	4579328
300529767	69648384	4734976
400528433	84750336	5619712
500573355	107462656	5902336
600579607	253259776	7294976
700546352	233160704	8077312
800542999	322039808	10014720
900538214	300871680	9912320
1000540993	314687488	10088448
1100532999	325013504	10272768
1200589953	335953920	10489856
1300613637	350806016	10768384
1400650711	366096384	10878976
1500685818	378806272	11079680
1600677633	378683392	11079680
1700742555	378761216	11083776
1800570610	393871360	11198464
1900529003	403734528	11452416
2000709903	421126144	11661312
2100703525	411037696	11755520
2200685043	411025408	11755520
2300684276	411750400	11759616
2400684144	425127936	11874304
2500676545	427905024	11939840
2600685922	428642304	11968512
2700650257	428818432	11972608
2800748275	428646400	11972608
2900685605	429678592	12009472
3000684539	422293504	12025856
3100678207	422072320	12025856
3200679995	421904384	12025856
3300688576	422207488	12025856
3400677701	422445056	12034048
3500676162	422670336	12038144
3600671461	422670336	12038144
3700704280	422670336	12038144
3800569463	423063552	12038144
3901037653	423075840	12038144
4000533561	430419968	12099584
4100616548	446783488	12230656
4200561540	464646144	12275712
4300679255	480051200	12337152
4400567566	499060736	12402688
4500544029	510955520	12505088
4600567705	520654848	12541952
4700608864	530694144	12578816
4800595685	549322752	12607488
4900548797	557187072	12636160
5000563724	559734784	12644352
5100589066	564183040	12648448
5200568576	572481536	12763136
5300581828	570978304	12767232
5400689047	574078976	12767232
5500608589	575721472	12771328
5600574882	586981376	12791808
5700558314	593371136	12816384
5800579455	602312704	12820480
5900532386	613437440	12877824
6000578396	615378944	12914688
6100581152	624959488	12922880
6200573967	624443392	12926976
6300558529	637894656	13041664
6400590545	640602112	13041664
6500563129	647991296	13062144
6600557490	646262784	13086720
6700560893	653643776	13090816
6800579914	665473024	13139968
6900613641	668667904	13176832
7000577611	620314624	13209600
7100588133	627646464	13209600
7200574375	639516672	13225984
7300576093	639787008	13225984
7400587407	648818688	13225984
7500592735	655880192	13225984
7600593357	664772608	13242368
7700554347	669011968	13303808
7800574486	672919552	13307904
7900579108	674062336	13307904
8000549189	678690816	13316096
8100585597	669904896	13324288
8200546753	668532736	13336576
8300529222	636723200	13340672
8400688021	560648192	13455360
8500557671	574115840	13578240
8600579278	560283648	13623296
8700591029	557015040	13680640
8800561660	557682688	13680640
8900580166	565694464	13680640
9000594145	577470464	13705216
9100586722	587218944	13721600
9200549616	586485760	13725696
9300573841	585945088	13819904
9400543673	592916480	13860864
9500535298	599818240	13901824
9600562366	619085824	13901824
9700534568	614584320	13901824
9800533332	597643264	13905920
9900535104	609083392	13979648
10000534058	624816128	13979648
10100536081	643473408	14020608
10200556519	648814592	14036992
10300677423	636383232	14069760
10400575614	631488512	14069760
10500583522	602615808	14061568
10600546888	603717632	14065664
10700598305	603668480	14065664
10800584463	607129600	14065664
10900578327	619163648	14073856
11000560875	620535808	14073856
11100532793	668049408	14106624
11200585063	672980992	14110720
11300560463	645349376	14110720
11400560614	631595008	14110720
11500691464	628301824	14143488
11600525753	626221056	14155776
11700687550	625864704	14155776
11800572283	630628352	14155776
11900583970	636276736	14155776
12000576180	637624320	14155776
12100573262	649035776	14155776
12200580383	637485056	14245888
12300591521	655671296	14258176
12400566508	658866176	14262272
12500588507	675999744	14315520
12600586682	673738752	14315520
12700556343	682254336	14315520
12800527473	678023168	14315520
12900589813	685645824	14315520
13000554994	690425856	14331904
13100548220	686182400	14348288
13200572465	688525312	14356480
13300552391	687546368	14348288
13400595994	688308224	14364672
13500598762	683950080	14364672
13600594002	685551616	14364672
13700586310	684425216	14364672
13800562132	689262592	14430208
13900593519	684236800	14430208
14000631067	691970048	14434304
14100588907	697511936	14454784
14200588338	698490880	14479360
14300589522	700882944	14479360
14400569266	699944960	14479360
14500576280	711438336	14565376
14600573727	703655936	14565376
14700599031	708915200	14565376
14800585967	715513856	14565376
14900589592	719634432	14573568
15000563401	729460736	14577664
15100588334	728543232	14577664
15200590370	727711744	14577664
15300586095	733077504	14577664
15400594049	737964032	14594048
15500606023	744615936	14594048
15600583117	753414144	14598144
15700555006	760406016	14622720
15800588585	767213568	14643200
15900572631	774545408	14667776
16000574773	773443584	14675968
16100530040	781033472	14680064
16200580350	771563520	14741504
16300585914	775032832	14770176
16400620693	775233536	14827520
16500555632	769044480	14856192
16600578116	738213888	15028224
16700531090	736567296	15052800
16800589064	740610048	15056896
16900585773	734945280	15056896
17000582857	734969856	15089664
17100573046	740945920	15106048
17200567437	749043712	15130624
17300580695	744837120	15147008
17400586771	753426432	15187968
17500565605	753983488	15196160
17600582301	766590976	15245312
17700569735	668049408	16539648
17800594067	679026688	16617472
17900591520	693616640	16617472
18000571707	714698752	16625664
18100595087	731418624	16633856
18200590569	744030208	16637952
18300558117	767205376	16642048
18400599225	773095424	16666624
18500552049	782528512	16715776
18600553266	785989632	16736256
18700530596	789827584	16740352
18800585155	791801856	16740352
18900573653	777912320	16748544
19000594322	778641408	16756736
19100585217	783122432	16760832
19200572772	789807104	16887808
19300568185	787406848	16896000
19400595720	801488896	16904192
19500598506	796512256	16908288
19600581558	794230784	16953344
19700524624	783495168	16957440
