time	rss	kernel
0	712704	233472
100511063	53067776	4497408
200538843	56233984	4456448
300528705	69951488	4677632
400494547	84713472	5591040
500497253	108068864	5922816
600536220	246497280	7299072
700545559	230113280	8110080
800549933	317890560	10194944
900517191	297480192	10506240
1000492476	313253888	10690560
1100556715	321089536	10887168
1200688311	330956800	11112448
1300551326	347602944	11272192
1400489989	365346816	11444224
1500636645	374902784	11501568
1600650059	374603776	11587584
1700571637	376295424	11608064
1800533554	387440640	11722752
1900538316	401530880	11902976
2000520458	416047104	12169216
2100510554	412340224	12210176
2200665320	411762688	12210176
2300529287	414724096	12316672
2400673159	424607744	12402688
2500652919	424628224	12435456
2600648201	424701952	12435456
2700636509	424984576	12435456
2800650240	424890368	12435456
2900648870	424992768	12435456
3000647392	425402368	12455936
3100644398	425377792	12455936
3200641637	425545728	12455936
3300650102	426385408	12480512
3400641745	426102784	12480512
3500491944	426348544	12480512
3600646448	426381312	12480512
3700636977	426512384	12480512
3800636409	426655744	12480512
3900668540	427003904	12480512
4000490354	435748864	12525568
4100491762	447160320	12632064
4200535791	464928768	12697600
4300511426	479617024	12742656
4400533092	500252672	12816384
4500514421	510664704	12877824
4600525766	520007680	12963840
4700518365	531234816	13025280
4800540885	549363712	13070336
4900541418	553586688	13099008
5000532597	559575040	13103104
5100537202	563388416	13107200
5200557214	572219392	13250560
5300526974	570761216	13258752
5400523980	573116416	13258752
5500534530	574984192	13271040
5600562776	585273344	13287424
5700543378	590868480	13324288
5800528075	599875584	13336576
5900526663	611373056	13385728
6000522353	614100992	13443072
6100494163	623362048	13447168
6200522133	623345664	13451264
6300494411	638689280	13578240
6400557334	640114688	13578240
6500555081	649486336	13594624
6600560159	653873152	13598720
6700528769	654008320	13606912
6800547098	662810624	13615104
6900552470	675348480	13639680
7000559968	620371968	13660160
7100552419	625287168	13668352
7200504626	637222912	13668352
7300515856	637153280	13668352
7400538255	648003584	13668352
7500536005	653811712	13668352
7600549014	662511616	13684736
7700515241	670212096	13701120
7800558873	673325056	13705216
7900559860	675901440	13709312
8000521088	674828288	13758464
8100497676	663347200	13811712
8200543327	654770176	13852672
8300489887	622485504	14053376
8400530107	573816832	14057472
8500516295	531726336	14229504
8600496870	542224384	14262272
8700545620	542920704	14270464
8800535332	545062912	14278656
8900522615	539426816	14286848
9000538342	539873280	14295040
9100519302	556445696	14340096
9200552435	567209984	14340096
9300512598	567992320	14340096
9400493901	575336448	14360576
9500554162	580268032	14393344
9600514503	576917504	14405632
9700553854	576036864	14405632
9800512565	594178048	14405632
9900535772	608862208	14405632
10000555363	628199424	14405632
10100564908	637165568	14422016
10200561271	633131008	14454784
10300513912	645091328	14458880
10400498329	643170304	14479360
10500503105	647720960	14479360
10600539727	651141120	14479360
10700537554	650379264	14479360
