time	rss	kernel
0	647168	159744
100653988	57851904	4292608
200631794	58806272	4259840
300654324	70037504	4419584
400671840	85975040	5206016
500688188	109789184	5545984
600672621	276107264	6754304
700677128	241401856	7876608
800643725	332304384	9695232
900662005	297172992	9924608
1000635319	318656512	9998336
1100635416	328499200	10203136
1200642415	345583616	10575872
1300668922	357072896	10657792
1400662971	371867648	10797056
1500774175	380686336	10928128
1600781507	381116416	11001856
1700687986	381685760	11030528
1800657034	389128192	11132928
1900667702	404197376	11386880
2000780309	416423936	11509760
2100856802	421089280	11530240
2200627147	416460800	11550720
2300694061	419368960	11685888
2400795401	420024320	11698176
2500648768	420614144	11726848
2600778897	420978688	11730944
2700793952	433123328	11849728
2800800691	433278976	11849728
2900778784	433614848	11870208
3000828077	433979392	11878400
3100788231	433860608	11878400
3200780077	433885184	11878400
3300779719	434130944	11878400
3400776585	434524160	11878400
3500773187	435572736	11898880
3600778871	435662848	11898880
3700791156	435154944	11902976
3800790340	437579776	11972608
3900795711	437346304	12017664
4000673612	436760576	12034048
4100676750	452210688	12185600
4200655456	462524416	12275712
4300665907	486649856	12320768
4400675525	497156096	12357632
4500633833	516640768	12476416
4600669147	525598720	12509184
4700704541	534298624	12554240
4800695373	552251392	12640256
4900696915	555630592	12664832
5000657120	563712000	12673024
5100707196	569081856	12685312
5200665205	573419520	12689408
5300729665	576024576	12709888
5400711069	578367488	12713984
5500692495	580640768	12718080
5600696532	589856768	12754944
5700636264	597245952	12812288
5800670925	605839360	12824576
5900633746	613900288	12861440
6000632395	618508288	12877824
6100651657	617697280	12881920
6200631326	625614848	12894208
6300672182	640643072	13017088
6400637313	643887104	13045760
6500632447	655462400	13062144
6600636120	657145856	13082624
6700635237	660172800	13082624
6800656321	664956928	13094912
6900657881	670154752	13103104
7000685584	643162112	13144064
7100629446	632733696	13225984
7200633344	640188416	13234176
7300642226	647168000	13234176
7400637303	650465280	13234176
7500639172	658751488	13234176
7600667808	670670848	13250560
7700683936	677793792	13271040
7800634367	683470848	13279232
7900679106	684761088	13287424
8000653426	689651712	13340672
8100667721	689635328	13373440
8200632635	668188672	13484032
8300698133	610725888	13484032
8400655371	582565888	13561856
8500657275	579256320	13631488
8600638569	563429376	13688832
8700678832	571809792	13725696
8800669677	566902784	13725696
8900685147	576126976	13725696
9000651679	589570048	13758464
9100633546	600776704	13787136
9200633586	587509760	14024704
9300663786	587259904	14041088
9400633390	591736832	14049280
9500662077	604610560	14057472
9600665182	621305856	14073856
9700718393	616656896	14077952
9800656445	627662848	14077952
9900635663	606388224	14151680
10000637756	629366784	14151680
10100637533	648720384	14188544
10200631990	655728640	14262272
10300629918	648347648	14319616
10400670972	618586112	14315520
10500654469	620400640	14315520
10600653358	619610112	14315520
10700693880	619028480	14323712
10800684224	627470336	14340096
10900657158	643764224	14340096
11000682001	669978624	14368768
11100680172	682749952	14385152
11200638720	655257600	14385152
11300688372	653635584	14385152
11400790397	638885888	14393344
11500692602	636637184	14409728
11600829336	636477440	14422016
11700793313	635781120	14422016
11800684793	641167360	14422016
11900692700	647712768	14422016
12000700789	652943360	14438400
12100694156	662405120	14446592
12200671781	675717120	14446592
12300633452	684347392	14446592
12400673639	700157952	14462976
12500690231	705708032	14479360
12600675632	702795776	14548992
12700676722	707043328	14557184
12800680512	702287872	14561280
12900704666	711036928	14565376
13000699317	707604480	14589952
13100690230	713453568	14589952
13200663112	713670656	14589952
13300653876	716763136	14643200
13400692811	712011776	14643200
13500673920	712437760	14643200
13600694402	704077824	14684160
13700655105	691396608	14692352
13800656475	693239808	14692352
13900633231	697417728	14692352
14000670325	704180224	14700544
14100674591	705875968	14729216
14200706124	710324224	14729216
14300638616	718786560	14733312
14400640455	713531392	14897152
14500674558	730095616	14802944
14600727227	722284544	14802944
14700731875	731947008	14807040
14800693100	735043584	14807040
14900635229	741859328	14807040
15000671690	752402432	14827520
15100673530	755183616	14831616
15200662905	758259712	14831616
15300649985	756617216	14848000
15400637720	760279040	14856192
15500673207	765648896	14856192
15600670161	774565888	14864384
15700658540	778420224	14864384
15800660107	785195008	14905344
15900688682	788504576	14893056
16000673778	792842240	14917632
16100660985	796594176	14921728
16200650490	790872064	15114240
16300676302	797245440	15048704
16400633615	796979200	15060992
16500650749	791674880	15360000
16600636361	805683200	15278080
16700682029	800677888	15294464
16800646046	809648128	15319040
16900677563	807317504	15323136
17000694338	810647552	15331328
17100662585	827006976	15429632
17200626832	836669440	15482880
17300674519	834666496	15499264
17400623787	844029952	15523840
17500626532	843829248	15613952
17600675433	854859776	15634432
17700686031	874033152	15691776
17800686123	896778240	15777792
17900685277	915132416	15851520
18000681029	929169408	15917056
18100684017	947793920	15998976
18200661147	918913024	17215488
18300678226	912424960	17219584
18400658717	884506624	17653760
18500666147	884072448	17833984
18600687887	896282624	17924096
18700655990	895713280	17870848
18800689468	897519616	17891328
18900627108	901185536	17928192
19000663533	887488512	18022400
19100650182	887189504	18042880
19200668605	896086016	18132992
19300671639	870694912	18161664
19400688743	862646272	18173952
19500672409	858841088	18206720
19600627035	859410432	18292736
19700660618	764092416	18522112
19800673399	703127552	18583552
19900657757	706707456	18591744
20000664206	706691072	18792448
20100627748	715358208	18591744
20200633788	718512128	18591744
20300666558	731279360	18591744
20400649867	739872768	18591744
20500661875	738033664	18808832
20600670066	672571392	19714048
20700691429	687693824	19746816
20800697841	697171968	19767296
20900664135	675684352	19775488
21000667132	675880960	19857408
21100657590	681766912	19873792
21200685586	684036096	20086784
21300640654	633757696	19890176
21400670350	619794432	20201472
21500648518	612323328	20283392
21600674454	614109184	20316160
21700671387	612904960	20316160
21800638774	619675648	20316160
21900639400	617684992	20316160
22000633694	621199360	20316160
22100635966	618803200	20357120
22200636171	613355520	20578304
22300658585	615944192	20586496
22400636353	622899200	20594688
22500637790	633262080	20606976
22600656941	632659968	20611072
22700669409	633372672	20619264
22800650779	629178368	20676608
22900635054	634503168	20692992
23000670739	623345664	20742144
