time	rss	kernel
0	643072	180224
100515904	56688640	4116480
200561463	58310656	4079616
300509656	69431296	4239360
400493067	84471808	5058560
500482668	107679744	5398528
600556330	269934592	6832128
700546456	242020352	7979008
800463591	319782912	10059776
900516546	297644032	10260480
1000488624	311496704	10420224
1100471928	322396160	10514432
1200479185	332808192	10645504
1300502701	347422720	10887168
1400509012	363532288	11112448
1500455797	376528896	11436032
1600578254	377106432	11329536
1700580652	377774080	11423744
1800495916	391520256	11505664
1900531028	406327296	11636736
2000464093	427655168	11956224
2100583576	420319232	12009472
2200578066	420212736	12009472
2300585935	420200448	12009472
2400670969	420106240	12009472
2500649787	420425728	12013568
2600485751	420397056	12013568
2700576731	420446208	12013568
2800653491	420397056	12013568
2900504097	426102784	12185600
3000608600	433614848	12214272
3100580418	433868800	12218368
3200604867	433774592	12218368
3300579512	434159616	12226560
3400637839	434167808	12226560
3500776324	434167808	12226560
3600994006	434561024	12226560
3700527979	434626560	12226560
3800739226	435048448	12226560
3900712730	436387840	12247040
4000512712	438861824	12509184
4100469443	454385664	12398592
4200505836	469807104	12533760
4300478445	487944192	12636160
4400475469	503250944	12656640
4500494070	517210112	12722176
4600484013	528187392	12787712
4700479156	537559040	12845056
4800478825	556466176	12886016
4900469202	561025024	12902400
5000529004	570101760	13025280
5100476559	572780544	13025280
5200485798	579932160	13041664
5300476044	578564096	13058048
5400533159	580300800	13062144
5500514300	582897664	13082624
5600497383	592719872	13164544
5700535133	598867968	13201408
5800474889	608387072	13201408
5900512714	620298240	13246464
6000535266	627572736	13283328
6100481606	627163136	13303808
6200479665	627752960	13312000
6300501308	653676544	13635584
6400469620	645136384	13443072
6500480287	657338368	13455360
6600464233	661286912	13463552
6700463608	660729856	13467648
6800473422	670814208	13471744
6900478038	676954112	13475840
7000468709	631242752	13565952
7100473535	629997568	13578240
7200479845	642351104	13578240
7300480493	643612672	13393920
7400474473	650784768	13393920
7500472420	659107840	13393920
7600489549	670621696	13410304
7700507814	675852288	13414400
7800475777	680972288	13434880
7900473068	683012096	13434880
8000518294	683663360	13475840
8100558906	665956352	13537280
8200497285	659873792	13561856
8300537897	668360704	13561856
8400582722	636268544	13578240
8500466997	562909184	13889536
8600478458	539787264	13881344
8700490540	549773312	13877248
8800471448	552534016	13901824
8900475727	547340288	13914112
9000469741	554172416	13914112
9100532796	561176576	13922304
9200521548	574251008	13930496
9300512681	582283264	13930496
9400502453	554528768	13991936
9500506008	559599616	14069760
9600500522	563388416	14041088
9700462166	576212992	14008320
9800491499	591654912	14008320
9900475832	606031872	14008320
10000470935	626036736	14008320
10100476670	648355840	14008320
10200492260	658771968	14008320
10300478422	664104960	14020608
10400530075	669556736	14127104
10500470218	675639296	14061568
10600500265	674988032	14098432
10700514969	676126720	14163968
10800474724	674832384	14098432
10900489166	677642240	14102528
11000471807	667820032	14102528
11100475877	655646720	14299136
11200468467	661172224	14299136
11300470016	643588096	14299136
11400536370	661348352	14340096
11500533079	643944448	14413824
11600592142	624664576	14360576
11700480586	624701440	14360576
11800556879	624353280	14401536
11900528237	629465088	14458880
12000500518	632446976	14491648
12100498224	640757760	14499840
12200464370	624599040	15106048
12300474567	585154560	15400960
12400541113	593252352	15425536
12500480295	604786688	15437824
12600473601	620625920	15437824
12700490660	618344448	15437824
12800496142	622927872	15437824
12900472850	629850112	15437824
13000473457	635539456	15450112
13100467027	623726592	15597568
13200474976	618479616	15671296
13300494570	616505344	15679488
13400492904	616755200	15679488
13500482526	614895616	15695872
13600476896	616304640	15695872
13700498891	608980992	15695872
13800472276	599691264	15753216
13900526012	573353984	15970304
14000581638	571314176	16035840
14100479140	566308864	16044032
14200465674	575688704	16044032
14300469786	584777728	16052224
14400480645	579149824	16052224
14500467381	586919936	16052224
14600493062	581914624	16101376
14700508588	585236480	16494592
14800479011	576475136	16625664
14900500040	576532480	16756736
15000486605	582574080	16646144
15100492409	587575296	16650240
15200470007	595021824	16658432
15300471254	602759168	16658432
15400477117	604835840	16658432
15500498563	604708864	16666624
15600474401	615321600	16683008
15700531614	616214528	16683008
15800475765	625045504	16683008
15900476449	632463360	16666624
16000477565	642277376	16670720
16100528951	649359360	16678912
16200472306	653455360	16678912
16300544172	654331904	16678912
16400515940	660172800	16683008
16500480565	646664192	16683008
16600490570	647856128	16683008
16700505745	637722624	16683008
16800479334	592478208	16781312
16900497117	604925952	16781312
17000468937	607862784	16781312
17100466454	600129536	16789504
17200546227	602304512	16789504
17300477334	605839360	16793600
17400464044	617111552	16809984
17500537793	612536320	16809984
17600503712	618455040	16809984
17700494410	623308800	16814080
17800476558	632471552	16818176
17900495345	650932224	16818176
18000476889	664952832	16822272
18100475301	680542208	16867328
18200571074	704356352	16908288
18300479419	710205440	16912384
18400498008	726097920	16957440
18500515797	728526848	17166336
18600499360	721244160	16973824
18700520644	719585280	16973824
18800537057	724152320	16982016
18900504553	728420352	17010688
19000492883	740306944	17010688
19100464002	739295232	17014784
19200516976	756289536	17027072
19300511957	752316416	17031168
19400520668	757854208	17055744
19500525720	683331584	17154048
19600572019	682856448	17186816
19700476788	685973504	17186816
19800468462	691130368	17186816
19900551700	687464448	17207296
20000471145	698404864	17207296
20100540312	685305856	17387520
20200506319	681291776	17391616
20300532248	649916416	18227200
20400512883	656699392	18235392
20500513228	639340544	18251776
20600494360	600215552	18259968
20700539663	588615680	18407424
20800492819	589103104	18472960
20900476412	593207296	18472960
21000478017	596041728	18472960
21100494492	594083840	18472960
21200518482	591872000	18485248
21300496653	594341888	18493440
21400497787	599609344	18493440
21500499487	604037120	18493440
21600475012	605945856	18493440
21700551194	607129600	18493440
21800548898	613027840	18505728
21900478066	614785024	18522112
22000534538	616083456	18530304
22100467524	624979968	18530304
22200503883	635383808	18530304
22300472716	625926144	18530304
22400462190	626008064	18530304
22500529248	623996928	18530304
22600466273	614744064	18591744
22700490054	620515328	18731008
22800477645	605515776	18731008
22900508119	608120832	18731008
23000465930	614604800	18731008
23100461740	622247936	18731008
23200505679	624508928	18731008
23300509603	625111040	18731008
23400531484	629436416	18731008
23500564046	634478592	18731008
23600479849	641507328	18731008
23700480622	651821056	18731008
23800468988	657608704	18731008
23900467491	664932352	18731008
24000525129	668340224	18731008
24100476658	673865728	18731008
24200497437	679448576	18731008
24300502037	662585344	18731008
24400499130	629465088	18747392
24500498526	617197568	18944000
24600492731	618516480	18743296
24700480910	632975360	18743296
24800459299	636801024	18743296
24900477272	631668736	18747392
25000533697	637763584	18747392
25100492668	640118784	18747392
25200510742	646025216	18784256
25300501372	657756160	18980864
25400480993	655167488	18784256
25500541180	654110720	18784256
25600537824	655847424	18792448
25700513258	666624000	18800640
25800508513	682881024	18800640
25900477558	703545344	18812928
26000468596	726462464	18841600
26100483588	743424000	18857984
26200490235	762462208	18874368
26300503401	764071936	18874368
26400571489	769146880	18882560
26500494457	766070784	18882560
26600480258	769818624	18882560
26700493782	766087168	18903040
26800545592	753659904	18919424
26900502466	759443456	18927616
27000534878	765325312	18935808
27100515330	756269056	18935808
27200518492	756051968	18935808
27300522577	750776320	18935808
27400470554	754479104	18935808
27500536445	720715776	19755008
27600480426	687890432	19779584
27700494047	676855808	20643840
27800460428	673771520	20774912
27900495121	677044224	20783104
28000514529	681533440	20783104
28100561946	693653504	20799488
28200503170	697921536	20799488
28300478909	716472320	20799488
28400492879	724058112	20799488
28500513310	700448768	20799488
28600521180	707915776	20996096
28700520490	706011136	20865024
28800574390	710221824	20881408
28900554893	708530176	20881408
29000502768	697712640	21102592
29100498969	662409216	21102592
29200498075	659865600	21168128
29300498949	661016576	21168128
29400576856	666578944	21168128
29500474567	669360128	21176320
29600477351	666402816	21176320
29700469208	670007296	21184512
29800496206	674504704	21184512
