time	rss	kernel
0	708608	180224
100531813	52068352	4362240
200571454	58281984	4354048
300511193	70336512	4538368
400585059	85770240	5292032
500561049	109498368	5513216
600545307	281436160	7270400
700540958	249380864	8167424
800526131	333537280	10186752
900513370	301047808	10313728
1000510287	316334080	10559488
1100625682	326483968	10813440
1200574410	341155840	11030528
1300526020	355409920	11194368
1400526222	374386688	11423744
1500575547	379002880	11452416
1600677909	379420672	11522048
1700571536	380084224	11616256
1800555018	397201408	11739136
1900535975	412954624	11939840
2000588430	430485504	12279808
2100545397	422154240	12304384
2200584047	421978112	12312576
2300689057	422166528	12312576
2400578040	434565120	12468224
2500663226	434757632	12484608
2600658037	434651136	12484608
2700657863	434802688	12488704
2800659350	434917376	12488704
2900661832	435056640	12492800
3000660266	435425280	12500992
3100651200	435716096	12500992
3200655020	436015104	12500992
3300660481	436445184	12505088
3400658375	436506624	12509184
3500663040	436510720	12509184
3600666169	437035008	12509184
3700659835	436985856	12509184
3800554275	437092352	12509184
3900572917	439103488	12578816
4000625549	449216512	12718080
4100591978	454807552	12828672
4200600512	475029504	12898304
4300508742	486989824	12935168
4400508695	510267392	13041664
4500577259	519155712	13066240
4600562325	529494016	13139968
4700536483	539086848	13168640
4800528840	557137920	13201408
4900565323	562905088	13230080
5000552416	568045568	13262848
5100555824	570458112	13266944
5200576308	579444736	13287424
5300584923	576667648	13287424
5400511589	582184960	13291520
5500582582	581619712	13303808
5600576339	600461312	13389824
5700542743	600485888	13393920
5800594225	610975744	13422592
5900533372	618352640	13447168
6000573795	621289472	13500416
6100562387	631730176	13524992
6200566720	631107584	13524992
6300589832	645275648	13631488
6400561304	647999488	13639680
6500565177	655716352	13647872
6600555461	654946304	13656064
6700547234	664670208	13660160
6800574717	670629888	13684736
6900583514	677724160	13725696
7000582116	626991104	13811712
7100577574	632557568	13819904
7200550014	641953792	13819904
7300574862	648151040	13819904
7400556442	658595840	13819904
7500546812	663064576	13819904
7600582345	667348992	13877248
7700547195	673587200	13893632
7800569219	676962304	13893632
7900536720	682217472	13897728
8000511918	685355008	13901824
8100556037	670662656	14020608
8200538660	665423872	14024704
8300509323	629325824	13824000
8400565200	554934272	13967360
8500528272	535498752	14143488
8600555874	548048896	14147584
8700570322	543244288	14147584
8800531695	547590144	14180352
8900537003	550498304	14180352
9000561586	556924928	14180352
9100512000	569704448	14213120
9200536094	576839680	14245888
9300548520	572305408	14254080
9400559891	557895680	14319616
9500508449	568152064	14319616
9600598635	570687488	14327808
9700547722	587186176	14344192
9800566689	605995008	14344192
9900542179	620404736	14344192
10000551037	639254528	14360576
10100550743	657149952	14381056
10200555180	669941760	14413824
10300560238	685559808	14446592
