time	rss	kernel
0	606208	143360
100526789	55431168	4489216
200547489	58867712	4509696
300547496	70176768	4677632
400552100	85184512	5517312
500558193	108593152	5857280
600573726	257806336	7249920
700550917	236367872	8310784
800546524	330964992	10301440
900559290	298086400	10526720
1000542062	313794560	10641408
1100525850	324132864	10764288
1200592141	336625664	10981376
1300546661	352436224	11137024
1400547311	365424640	11264000
1500526747	375603200	11358208
1600677232	376074240	11436032
1700529751	377880576	11513856
1800548703	384159744	11526144
1900527991	399175680	11718656
2000529366	418316288	11935744
2100527329	423235584	11997184
2200550357	415789056	12083200
2300550956	427618304	12201984
2400674703	428462080	12230656
2500525007	428269568	12230656
2600679405	428470272	12234752
2700522849	428601344	12234752
2800671384	429125632	12251136
2900522911	429449216	12255232
3000520445	429535232	12255232
3100517497	430026752	12255232
3200520369	429764608	12259328
3300561685	431017984	12316672
3400704373	431468544	12402688
3500676830	431407104	12402688
3600674200	431280128	12402688
3700746457	431280128	12402688
3801050864	431280128	12402688
3901022412	431886336	12406784
4000556348	439648256	12468224
4100531144	452579328	12574720
4200598389	471715840	12652544
4300528914	484704256	12689408
4400581942	507453440	12791808
4500528212	516018176	12832768
4600556292	527618048	12914688
4700580361	536559616	12959744
4800570369	555053056	12996608
4900522574	559230976	13025280
5000524587	564842496	13041664
5100560084	568725504	13062144
5200552839	578109440	13099008
5300566198	574582784	13103104
5400559377	579018752	13107200
5500561915	579284992	13111296
5600560274	597057536	13176832
5700527651	596918272	13180928
5800552809	606416896	13209600
5900546238	618303488	13238272
6000530757	618078208	13287424
6100533203	626089984	13291520
6200533683	627564544	13295616
6300560448	642813952	13455360
6400580560	645525504	13463552
6500545798	652300288	13488128
6600553347	653344768	13500416
6700586460	659652608	13512704
6800549099	668454912	13516800
6900547507	642740224	13553664
7000561032	628486144	13635584
7100585902	632127488	13651968
7200588083	643371008	13651968
7300589061	645533696	13660160
7400589189	655323136	13660160
7500580529	661188608	13660160
7600583860	671739904	13676544
7700591991	677355520	13680640
7800579187	681242624	13688832
7900526320	683782144	13692928
8000571813	683081728	13783040
