time	rss	kernel
0	774144	180224
100587034	51077120	4386816
200618740	58093568	4349952
300866044	69722112	4530176
400612282	84058112	5218304
500579326	108691456	5664768
600613855	272834560	7127040
700584107	237006848	8269824
800644791	317726720	10006528
900625871	294871040	10199040
1000613780	315191296	10354688
1100749978	323932160	10510336
1200612221	333443072	10629120
1300631112	350285824	11001856
1400616242	367988736	11165696
1500720048	380489728	11337728
1600726518	380284928	11337728
1700731442	380542976	11337728
1800570952	395493376	11399168
1900638464	406777856	11608064
2000721539	418496512	11837440
2100728176	414240768	11907072
2200727979	424050688	12001280
2300725901	424181760	12001280
2400726516	418492416	12001280
2500720143	418635776	12001280
2600720109	418676736	12001280
2700719739	418881536	12029952
2800687677	419565568	12091392
2900720276	419336192	12120064
3000731910	429993984	12316672
3100728142	430198784	12353536
3200776579	430481408	12353536
3300722569	430858240	12361728
3400720736	430780416	12361728
3500614703	431546368	12369920
3600742595	432365568	12378112
3700718143	432558080	12378112
3800714368	432824320	12378112
3900722856	429944832	12382208
4000596646	437751808	12492800
4100616139	454828032	12611584
4200609050	474959872	12767232
4300619583	488833024	12824576
4400637856	510636032	12926976
4500593441	520773632	12959744
4600575882	529707008	13025280
4700603296	540905472	13066240
4800641492	558755840	13107200
4900600210	561790976	13119488
5000606022	568438784	13127680
5100638821	572403712	13135872
5200571746	579096576	13164544
5300593033	578654208	13172736
5400613698	582991872	13176832
5500617752	583614464	13185024
5600604412	598757376	13258752
5700609574	599928832	13262848
5800633770	608727040	13291520
5900603577	620756992	13357056
6000573554	627171328	13406208
6100579302	632475648	13410304
6200614038	634064896	13410304
6300602583	656269312	13508608
6400645773	648761344	13512704
6500635645	657870848	13541376
6600614302	663412736	13578240
6700611912	664100864	13586432
6800619108	671444992	13586432
6900633464	681779200	13590528
7000633124	628191232	13606912
7100615446	633331712	13606912
7200610078	645857280	13627392
7300616473	646762496	13631488
7400615907	656044032	13631488
7500644004	663146496	13631488
7600627731	670928896	13688832
7700649219	678862848	13697024
7800639717	683008000	13705216
7900632176	683958272	13705216
8000608242	685223936	13717504
8100627838	668860416	13828096
8200575681	648978432	13832192
8300591916	621428736	13848576
8400608777	574427136	13914112
8500627618	588525568	13914112
8600598083	571863040	13922304
8700629997	566169600	13987840
8800641758	573796352	13987840
8900571465	581083136	13987840
9000647667	592277504	13991936
9100610154	587554816	14368768
9200618805	588775424	14471168
9300603857	587415552	14372864
9400612168	599642112	14376960
9500749905	598794240	14385152
9600625970	592183296	14426112
9700611933	606982144	14438400
9800571213	621944832	14438400
9900630925	600977408	14589952
10000601899	624705536	14589952
10100615576	643465216	14610432
10200630409	654450688	14630912
10300624259	658644992	14647296
10400605457	656072704	14663680
10500598943	647004160	14671872
10600617236	629284864	14671872
10700593932	631390208	14696448
10800630782	647647232	14712832
10900621373	632299520	14712832
11000620640	637153280	14716928
11100576859	642912256	14725120
11200589396	637935616	14725120
11300567995	639217664	14741504
11400723007	625397760	14757888
11500613404	625532928	14757888
11600577488	632262656	14757888
11700593270	635015168	14757888
11800579459	648626176	14757888
11900570359	646266880	14757888
12000571188	660316160	14757888
12100593691	665108480	14761984
12200572056	680488960	14811136
12300574968	682098688	14848000
12400592495	685957120	14856192
12500577921	683872256	14856192
12600576359	698171392	14864384
12700571681	697815040	14864384
12800573544	699244544	14864384
12900577905	701673472	14868480
13000622773	703328256	14868480
13100621540	707371008	14880768
13200618683	703463424	14880768
13300635448	697757696	14888960
13400639451	692023296	14954496
13500627811	690499584	14995456
13600640240	685117440	14995456
13700641561	689704960	14995456
13800607581	699822080	15011840
13900591783	698671104	15024128
14000601581	704659456	15024128
14100607829	701939712	15024128
14200633133	719446016	15081472
14300637392	704610304	15122432
14400629974	703586304	15122432
14500611537	703107072	15122432
14600589296	710627328	15126528
14700606153	718852096	15130624
14800606933	719810560	15130624
14900620325	717037568	15130624
15000577012	723185664	15130624
15100645409	730902528	15134720
15200658888	737566720	15134720
15300620280	744050688	15159296
15400630259	753139712	15175680
15500592585	759013376	15196160
15600634167	763613184	15204352
15700639564	768114688	15233024
15800641775	773480448	15241216
15900606716	768991232	15224832
16000601482	767840256	15314944
16100605090	771334144	15364096
16200616991	744968192	15364096
16300621831	732176384	15486976
16400631625	730038272	15519744
16500619305	733687808	15519744
16600568018	736120832	15527936
16700610215	732561408	15527936
16800621003	738631680	15540224
16900616578	749002752	15581184
17000606260	748326912	15581184
17100626975	756441088	15593472
17200607340	673955840	16920576
17300614608	665067520	17317888
17400613603	669220864	17399808
17500631331	675442688	17403904
17600617539	691892224	17408000
17700657772	705499136	17428480
17800673103	723857408	17436672
17900610109	746905600	17469440
18000606049	760557568	17518592
18100633677	780390400	17530880
18200642067	788127744	17559552
18300626127	791277568	17563648
18400586970	764182528	17629184
18500603434	769945600	17649664
18600601703	776683520	17649664
18700605372	770076672	17674240
18800614832	768487424	17690624
18900623105	770953216	17690624
19000651948	781484032	17694720
19100621259	781213696	17694720
19200625753	773517312	17698816
19300603067	799203328	17727488
19400607282	784506880	17727488
19500722459	770428928	17735680
19600651606	698040320	17981440
19700597016	703660032	17989632
19800610607	703868928	17993728
19900604613	707145728	18001920
20000639524	714293248	18001920
20100637048	720068608	18018304
20200607143	728772608	18018304
20300625909	728260608	18214912
20400631640	668516352	18714624
20500637042	668590080	19001344
20600645908	669757440	19116032
20700631387	658046976	19116032
20800627329	639467520	19247104
20900616098	636063744	19419136
21000612605	600846336	19419136
21100625897	608350208	19419136
21200622495	600637440	19456000
21300631745	587087872	19726336
21400619122	588349440	19726336
21500611744	582782976	19726336
21600648004	583573504	19726336
21700623614	585293824	19726336
21800609134	585576448	19726336
21900572791	581472256	19832832
22000715201	587886592	19881984
22100605582	585457664	19881984
22200616700	593285120	19881984
22300569416	603078656	19881984
22400608440	596934656	19890176
22500608909	602570752	19890176
22600615125	597389312	19890176
22700610937	594771968	19951616
22800610219	588619776	19951616
22900610151	591126528	19951616
23000601964	597782528	19951616
23100612892	604573696	19959808
23200605646	602054656	19959808
23300609129	606203904	19959808
23400631705	610766848	19959808
23500617187	624271360	19988480
23600614976	630706176	20058112
23700619794	637067264	20058112
23800661358	645758976	20058112
23900621804	655200256	20058112
24000576434	664195072	20066304
24100624646	668528640	20066304
24200617143	669708288	20066304
24300622394	674258944	20074496
24400606692	659435520	20082688
24500625047	630161408	20115456
24600622346	630210560	20115456
24700631529	621510656	20115456
