time	rss	kernel
0	671744	196608
100482033	55795712	4182016
200479222	58695680	4120576
300529304	69300224	4268032
400473995	84021248	5001216
500480248	109035520	5455872
600514381	274284544	6725632
700448958	247234560	7958528
800446441	336306176	9871360
900470657	305610752	10051584
1000487321	322465792	10223616
1100484205	327962624	10399744
1200508043	343228416	10752000
1300517408	357326848	10829824
1400506690	371818496	10944512
1500452898	380764160	11141120
1600491030	381530112	11231232
1700612924	382226432	11276288
1800447656	390320128	11366400
1900474824	405987328	11640832
2000447000	428810240	11976704
2100587984	421040128	12054528
2200589617	421335040	12115968
2300584620	421859328	12120064
2400588138	421896192	12152832
2500587916	421933056	12152832
2600638112	421888000	12152832
2700615806	421912576	12152832
2800614755	421916672	12152832
2900479894	429932544	12324864
3000629940	435220480	12390400
3100621810	434835456	12390400
3200522770	434966528	12390400
3300487651	435138560	12398592
3400584238	435593216	12398592
3500616165	435470336	12398592
3600615957	435478528	12398592
3700582337	435478528	12398592
3800435214	435843072	12398592
3900584693	435814400	12398592
4000435736	437403648	12427264
4100481839	453054464	12558336
4200477263	464130048	12648448
4300471271	487071744	12730368
4400470379	499408896	12779520
4500469723	517341184	12840960
4600475786	527167488	12902400
4700482359	537022464	12972032
4800493077	556974080	12988416
4900471313	561639424	13004800
5000484652	567656448	13017088
5100479438	571092992	13033472
5200442362	577740800	13045760
5300509768	577814528	13066240
5400477932	581435392	13152256
5500480113	583172096	13180928
5600500114	592404480	13262848
5700469142	599101440	13312000
5800481742	606945280	13336576
5900474318	615321600	13369344
6000468388	626786304	13402112
6100477125	625799168	13410304
6200472272	628305920	13422592
6300438301	651141120	13537280
6400483395	645636096	13545472
6500472146	657264640	13557760
6600529694	659910656	13578240
6700478361	659165184	13586432
6800470854	669093888	13590528
6900467425	674488320	13590528
7000479331	661917696	13623296
7100536284	634085376	13713408
7200443987	643567616	13721600
7300487723	648839168	13721600
7400538146	654090240	13721600
7500537417	661262336	13721600
7600513773	672026624	13762560
7700465837	674562048	13762560
7800471856	680591360	13762560
7900519521	681230336	13762560
8000437715	685207552	13778944
8100543310	671109120	13864960
8200470029	669593600	13885440
8300460425	663040000	13910016
8400641934	615219200	14147584
8500582377	591446016	14221312
8600484780	537526272	14327808
8700442888	545751040	14336000
8800435310	533434368	14372864
8900475403	545939456	14397440
9000472634	547180544	14397440
9100470176	553717760	14397440
9200475338	563580928	14450688
9300442009	575610880	14450688
9400438046	562896896	14458880
9500438770	561094656	14512128
9600463919	564670464	14512128
9700481933	569884672	14520320
9800529565	576073728	14520320
9900545161	596688896	14520320
10000492582	610979840	14520320
10100499945	632123392	14520320
10200527267	651468800	14520320
10300492346	657547264	14524416
10400482232	666161152	14548992
10500465034	668008448	14548992
10600475682	671813632	14561280
10700473742	670711808	14577664
10800482783	672018432	14585856
10900467929	672710656	14589952
11000465225	679956480	14647296
11100520085	685248512	14663680
11200479792	695230464	14671872
11300474296	685649920	14671872
11400482922	681349120	14708736
11500434849	654315520	14868480
11600505913	654024704	14868480
11700531386	645038080	14999552
11800472889	645287936	15048704
11900491205	650207232	15106048
12000480341	602779648	15126528
12100472378	600113152	15683584
12200435447	602836992	15740928
12300461061	610439168	15790080
12400471624	612638720	15790080
12500435013	630214656	15790080
12600445510	630947840	15798272
12700480057	632266752	15814656
12800551377	634195968	15826944
12900488213	621170688	15908864
13000494158	619163648	15958016
13100479885	587767808	16031744
13200482145	589938688	16048128
13300481750	594735104	16048128
13400482722	588767232	16068608
13500538045	588898304	16068608
13600481787	590262272	16068608
13700482123	595587072	16068608
13800537468	595951616	16142336
13900486392	603291648	16150528
14000457395	612884480	16150528
14100474730	623575040	16154624
14200477884	604000256	16424960
14300486828	596054016	16531456
14400468539	599732224	16539648
14500439073	601677824	16560128
14600510382	606593024	16707584
14700474790	591204352	16789504
14800486015	590848000	16797696
14900486466	593018880	16805888
15000478278	601198592	16805888
15100474858	608333824	16805888
15200492921	610533376	16814080
15300474970	610963456	16814080
15400549701	608989184	16822272
15500484405	601665536	16920576
15600484476	607404032	16920576
15700497223	614375424	16920576
15800485600	607825920	16916480
15900538275	612577280	16900096
16000543482	615399424	16900096
16100469999	619999232	16908288
16200434643	623296512	16908288
16300481771	622796800	16920576
16400484507	630026240	16928768
16500478182	628072448	16945152
16600495210	631242752	16949248
16700494727	637800448	16949248
16800473458	640696320	16949248
16900473140	650088448	16949248
17000477086	649875456	16949248
17100465532	653414400	16957440
17200489531	597385216	16998400
17300486265	608284672	17039360
17400483636	609148928	17039360
17500469168	614174720	17039360
17600469316	618237952	17039360
17700473131	634380288	17039360
17800473604	653176832	17039360
17900515675	671223808	17039360
18000543950	678686720	17039360
18100481697	692572160	17059840
18200516533	681385984	17137664
18300466769	693805056	17158144
18400478093	693354496	17207296
18500485195	669478912	17215488
18600479423	669392896	17215488
18700479278	666918912	17215488
18800490339	666222592	17215488
18900471682	671039488	17231872
19000451506	678117376	17231872
19100533495	690847744	17231872
19200509995	680067072	17231872
19300486108	693911552	17231872
19400501892	672636928	17231872
19500459901	673329152	17231872
19600465245	673517568	17231872
19700461809	676417536	17227776
19800472413	678522880	17227776
19900461854	683294720	17227776
20000435034	681455616	17235968
20100496568	694120448	17297408
20200465397	691159040	17305600
20300472038	707031040	17346560
20400436462	708956160	17346560
20500484381	708980736	17346560
20600499686	712294400	17362944
20700521125	724701184	17367040
20800491775	725266432	17371136
20900549007	724758528	17371136
21000525475	726933504	17371136
21100498450	731840512	17383424
21200501770	727273472	17440768
21300538648	725831680	17448960
21400520241	726568960	17448960
21500506825	732418048	17473536
21600483736	734310400	17514496
21700473126	728924160	17539072
21800466147	735027200	17543168
21900474015	741392384	17547264
22000444764	740691968	17559552
22100482055	742313984	17559552
22200476028	741113856	17559552
22300490938	747614208	17625088
22400505363	744685568	17625088
22500481799	756772864	17629184
22600480931	759418880	17633280
22700436990	765751296	17645568
22800437057	772726784	17674240
22900505450	773619712	17678336
23000529387	773947392	17678336
23100522834	778149888	17707008
23200477045	787623936	17838080
23300482815	789929984	17838080
23400502798	798437376	17854464
23500442960	802193408	17870848
23600490601	809742336	17870848
23700439556	811364352	17899520
23800458544	815472640	17907712
23900437952	818659328	17948672
24000434652	809181184	17985536
24100480333	815656960	17989632
24200435426	820228096	17989632
24300478180	761602048	18022400
24400457498	750080000	18022400
24500471754	760664064	18022400
24600468769	766877696	18026496
24700468074	770625536	18026496
24800443348	772935680	18026496
24900472220	782061568	18030592
25000496958	785534976	18030592
25100495171	785231872	18034688
25200582555	778539008	18071552
25300470282	788328448	18083840
25400492361	784179200	18190336
25500520333	800452608	18190336
25600483996	820301824	18190336
25700519968	839303168	18259968
25800470757	857243648	18329600
25900567384	877887488	18423808
26000492080	886026240	18452480
26100472348	887177216	18489344
26200473607	864440320	19132416
26300484679	859918336	19255296
26400484187	859459584	19296256
26500485666	862031872	19304448
26600524924	865374208	19308544
26700485296	887623680	19402752
26800476963	887955456	19419136
26900486015	903794688	19443712
27000479504	894554112	19447808
27100490475	913444864	19456000
27200475982	902782976	19460096
27300474372	921284608	19464192
27400531842	906526720	19484672
