time	rss	kernel
0	737280	262144
100469246	48996352	4149248
200473611	55681024	4128768
300484929	68972544	4341760
400478332	83456000	5095424
500474015	106926080	5382144
600475831	250667008	6684672
700493261	235749376	7704576
801244578	311091200	10035200
900474201	461488128	10121216
1000479623	315064320	10326016
1100472940	325746688	10571776
1200508395	337104896	10928128
1300473250	354955264	11075584
1400512276	367374336	11177984
1500491601	376750080	11354112
1600508042	376647680	11362304
1700513274	377548800	11476992
1800472539	385761280	11571200
1900511440	405110784	11767808
2000520326	422338560	12017664
2100467677	415334400	12124160
2200509373	419004416	12128256
2300507332	419713024	12132352
2400426051	420765696	12144640
2500471084	421969920	12173312
2600656380	432848896	12300288
2700498100	432705536	12300288
2800425594	433008640	12304384
2900548376	433295360	12308480
3000528026	433311744	12312576
3100465408	433590272	12312576
3200601655	433590272	12312576
3300619843	434126848	12312576
3400549233	434049024	12312576
3500547727	433754112	12316672
3600550377	434532352	12320768
3700468282	435355648	12341248
3800478518	435953664	12472320
3900521363	436051968	12472320
4000474226	438800384	12505088
4100468363	453648384	12578816
4200510800	466964480	12640256
4300510442	487657472	12718080
4400510767	501272576	12795904
4500494670	516898816	12840960
4600493025	527478784	12914688
4700492639	537690112	12984320
4800499608	556904448	13041664
4900502848	560562176	13078528
5000501340	566747136	13119488
5100551987	571326464	13127680
5200493339	576479232	13139968
5300474264	575365120	13144064
5400495846	577302528	13144064
5500541916	579813376	13160448
5600495846	590020608	13197312
5700491688	595087360	13230080
5800472951	603529216	13258752
5900473665	615428096	13303808
6000492316	628412416	13332480
6100489207	624652288	13336576
6200473608	624242688	13352960
6300511471	631959552	13369344
6400493617	647004160	13479936
6500498500	653520896	13488128
6600474563	656445440	13504512
6700477207	656285696	13512704
6800522859	670023680	13529088
6900478018	674340864	13533184
7000519362	630575104	13651968
7100474607	629424128	13660160
7200511080	640450560	13668352
7300473807	642437120	13668352
7400499618	650932224	13668352
7500542044	659767296	13668352
7600520929	667303936	13668352
7700469432	673804288	13668352
7800499352	679079936	13672448
7900524326	678318080	13672448
8000510225	678940672	13701120
8100478178	661327872	13701120
8200472370	635187200	13791232
8300471141	616435712	13807616
8400470707	574742528	13832192
8500473273	585101312	13889536
8600495353	575299584	13955072
8700472580	572526592	14028800
8800516163	570748928	14028800
8900468714	578854912	14036992
9000514850	591147008	14036992
9100473485	587788288	14229504
9200546272	587051008	14221312
9300473344	588177408	14274560
9400538512	592039936	14274560
9500470561	605769728	14307328
9600496088	608219136	14323712
9700494017	613490688	14323712
9800471275	627273728	14336000
9900493721	607477760	14434304
10000517969	627978240	14434304
10100536586	643366912	14458880
10200468302	652075008	14483456
10300470497	648683520	14483456
10400511075	654012416	14614528
10500472777	653877248	14647296
10600494655	654884864	14659584
10700492875	648482816	14852096
10800473432	655474688	14905344
10900516348	662388736	14913536
11000518223	655491072	14934016
11100498447	675921920	14950400
11200492743	665722880	14962688
11300468755	642945024	14974976
11400489586	623939584	14974976
11500495233	621273088	15147008
11600512716	624848896	15253504
11700471686	630067200	15253504
11800524487	646381568	15253504
11900490213	609824768	15921152
12000491484	616112128	16175104
12100492376	620400640	16183296
12200487461	635133952	16183296
12300519097	645115904	16195584
12400489756	635412480	16195584
12500470811	632918016	16236544
12600516892	625786880	16437248
12700519542	595464192	16437248
12800470099	603041792	16437248
12900492286	599949312	16445440
13000491078	603881472	16453632
13100519080	604856320	16453632
13200471831	607924224	16453632
13300491335	606969856	16474112
