time	rss	kernel
0	1703936	0
11136545	3862528	0
21076095	3862528	0
31066928	3796992	0
41046494	3788800	0
51067432	3788800	0
61064869	3788800	0
71083891	3788800	0
81064893	3788800	0
91060781	3788800	0
101063067	3788800	0
111069844	3788800	0
121075734	3788800	0
131066219	3788800	0
141046956	3670016	0
151046964	3670016	0
161069682	3670016	0
171076611	3670016	0
181053003	3670016	0
190987340	3670016	0
201073261	3670016	0
211073643	3670016	0
221078266	3670016	0
231071961	3670016	0
240990440	3670016	0
251061880	3670016	0
261083836	3670016	0
271072097	3670016	0
281062029	3670016	0
291104332	3670016	0
301060299	3670016	0
311062397	3604480	0
321047667	3604480	0
331037849	3604480	0
341053132	3604480	0
351073352	3604480	0
361051626	3604480	0
371037760	3604480	0
381070907	3604480	0
391075775	3604480	0
401049684	3604480	0
411082443	3604480	0
421058732	3604480	0
431075550	3604480	0
441022820	3604480	0
451064920	3604480	0
461067553	3604480	0
471061824	3395584	0
481051610	3395584	0
491075402	3395584	0
501073440	3395584	0
511077898	3395584	0
521074860	3395584	0
530998619	3395584	0
541052854	3395584	0
551050947	3395584	0
561052798	3395584	0
571075540	3395584	0
581008110	3395584	0
591052397	3395584	0
601075692	3395584	0
611074202	3395584	0
621076585	3395584	0
631067979	3395584	0
641062043	3395584	0
651037537	3395584	0
661058759	3395584	0
671076792	3395584	0
681098311	3395584	0
691074183	3395584	0
701073380	3395584	0
711076112	3395584	0
721074343	3395584	0
731076291	3395584	0
741037549	3395584	0
751073428	3395584	0
761074942	3395584	0
771084585	3395584	0
781050862	3395584	0
791036470	3653632	0
801066751	3538944	0
811066026	3538944	0
821067458	3538944	0
831057667	3538944	0
841039872	3538944	0
851063649	3538944	0
861065773	3538944	0
871065494	3538944	0
881066713	3538944	0
891063157	3780608	0
901066854	3780608	0
911065429	3780608	0
921046973	3780608	0
931046986	3780608	0
941069344	3780608	0
951045924	3780608	0
961070227	3780608	0
971047647	3674112	0
981041571	3674112	0
990987759	3674112	0
1001041567	3637248	0
1011067271	3637248	0
1021066822	3756032	0
1031065301	3756032	0
1041069973	3756032	0
1051063952	3756032	0
1061065445	3756032	0
1071061741	3756032	0
1081062490	3756032	0
1090999997	3756032	0
1101038629	3756032	0
1111065200	3751936	0
1121043016	3751936	0
1131070728	3751936	0
1141065446	3751936	0
1151065882	3751936	0
1161075385	3866624	0
1171076249	3866624	0
1181074489	3866624	0
1191037434	3866624	0
1201065556	3997696	0
1210983759	3997696	0
1221065370	3997696	0
1231063562	3997696	0
1241042385	3997696	0
1251063072	3997696	0
1261004510	3997696	0
1271063207	3997696	0
1281067919	3997696	0
1291064492	3997696	0
1301068360	4075520	0
1311067318	4075520	0
1321067609	4075520	0
1331070505	4075520	0
1341041799	4075520	0
1351066496	4075520	0
1361076615	4075520	0
1371067868	4075520	0
1381067529	4075520	0
1391069107	4075520	0
1401045055	4075520	0
1411068893	4075520	0
1421043945	4075520	0
1431065940	4075520	0
1441068190	4005888	0
1451068854	4005888	0
1461051467	4005888	0
1471037745	4120576	0
1481067178	4120576	0
1491037373	4120576	0
1501078377	4120576	0
1511077717	4120576	0
1520987900	4120576	0
1531054133	4120576	0
1541068472	4120576	0
1551042743	4120576	0
1561040287	4120576	0
1571046317	4227072	0
1581048707	4227072	0
1591071860	4227072	0
1601048393	4227072	0
1611057699	4227072	0
1621063176	4153344	0
1631020167	4153344	0
1641013537	4153344	0
1650996569	4284416	0
1661037779	4284416	0
1670998442	4284416	0
1681076995	4284416	0
1691041234	4284416	0
1701066100	4284416	0
1711066965	4284416	0
1721048894	4284416	0
1731044352	4284416	0
1741067026	4284416	0
1751043867	4284416	0
1761063261	4284416	0
1771077259	4239360	0
1781077661	4239360	0
1791073210	4239360	0
1801078300	4239360	0
1811038230	4239360	0
1821052135	4239360	0
1831067978	4239360	0
1841075715	4239360	0
1851004540	4239360	0
1861076446	4239360	0
1871039574	4239360	0
1881075980	4239360	0
1891041198	4239360	0
1901043507	4239360	0
1911073209	4485120	0
1921043990	4485120	0
1931078527	4485120	0
1941066311	4485120	0
1951066739	4485120	0
1961067200	4485120	0
1971068298	4485120	0
1981068141	4485120	0
1991066911	4485120	0
2001068146	4485120	0
2011062229	4485120	0
2021069314	4485120	0
2031040869	4599808	0
2041068425	4599808	0
2050988127	4730880	0
2061052392	4730880	0
2071068538	4730880	0
2081045543	4730880	0
2091067132	4730880	0
2101055775	4730880	0
2111069185	4730880	0
2120999048	4730880	0
2131065001	4730880	0
2141069073	4730880	0
2151063585	4730880	0
2161065689	4730880	0
2171063908	4730880	0
2181067460	4730880	0
2191042172	4730880	0
2201076868	4730880	0
2211065395	4730880	0
2221062876	4730880	0
2231063264	4730880	0
2240984494	4730880	0
2251070811	4730880	0
2261052174	4730880	0
2271067397	4730880	0
2281067357	4730880	0
2291040093	4730880	0
2300982287	4730880	0
2311065474	4730880	0
2321064331	4710400	0
2331069910	4710400	0
2341067712	4710400	0
2351066675	4710400	0
2361071672	4841472	0
2371008627	4841472	0
2381069552	4841472	0
2391046649	4841472	0
2401069416	4841472	0
2411070009	4841472	0
2421055478	4841472	0
2431065912	4952064	0
2441042399	4952064	0
2451069060	4952064	0
2461067037	4952064	0
2471048060	4952064	0
2481070794	4952064	0
2491063591	4952064	0
2501041866	4952064	0
2511070042	4952064	0
2521063327	4952064	0
2530984678	4952064	0
2541046259	4952064	0
2551044110	4952064	0
2561046941	4952064	0
2571069962	4952064	0
2581069814	4907008	0
2591066172	4907008	0
2601042932	4907008	0
2611067112	4907008	0
2621043949	4907008	0
2631044234	4907008	0
2641065983	4907008	0
2650995695	4907008	0
2661053846	4907008	0
2671048863	4907008	0
2681043937	4780032	0
2691042791	4780032	0
2701046151	4780032	0
2711070351	4780032	0
2721046554	4780032	0
2731064460	4771840	0
2741079481	4771840	0
2751038494	4771840	0
2761062231	4771840	0
2771042432	4771840	0
2781065716	4771840	0
2790985955	4771840	0
2801061383	4771840	0
2811069439	4771840	0
2821045391	4771840	0
2831044502	4771840	0
2841046356	4771840	0
2851044519	4771840	0
2861045509	4771840	0
2871046802	4771840	0
2881044706	4771840	0
2891067797	4771840	0
2901067878	4771840	0
2911070177	4771840	0
2921040893	4771840	0
2931069141	4771840	0
2941071094	4755456	0
2951066916	4755456	0
2961040311	4755456	0
2971068815	4755456	0
2981040615	4755456	0
2991068379	4755456	0
3001045034	4755456	0
3011070770	4755456	0
3021068488	4755456	0
3031071191	4755456	0
3041046405	4755456	0
3051071659	4755456	0
3061069513	4755456	0
3071072659	4886528	0
3081056667	4878336	0
3090980708	4878336	0
3101066424	4878336	0
3111024023	4878336	0
3121041504	4878336	0
3131040093	4878336	0
3141030623	4878336	0
3151064228	4878336	0
3161060072	5140480	0
3171066254	5095424	0
3181064335	5095424	0
3191067862	5058560	0
3201071502	5058560	0
3211045276	5058560	0
3221068976	5058560	0
