time	rss	kernel
0	1605632	0
11090164	3416064	0
21062926	3416064	0
31045978	3416064	0
40981793	3407872	0
51050387	3342336	0
61032475	3215360	0
71013367	3096576	0
81055621	3096576	0
91025510	3096576	0
101023525	3096576	0
111004338	3096576	0
121022693	3096576	0
131045976	3096576	0
141041389	3096576	0
150973691	3096576	0
161064282	3096576	0
171059246	3096576	0
181055933	3096576	0
191016793	3096576	0
201055583	3096576	0
211023636	3096576	0
221058156	3096576	0
231055920	3096576	0
241044643	3096576	0
251061729	3096576	0
261017914	3096576	0
271055069	3096576	0
281021382	3096576	0
291049141	3096576	0
301047197	3096576	0
311046819	3096576	0
321052778	3096576	0
331045505	3096576	0
341056014	3096576	0
351020457	3096576	0
361043931	3096576	0
371018353	3096576	0
381062042	3096576	0
391042849	3096576	0
401046776	3096576	0
411047828	3096576	0
421049207	3096576	0
431050273	3096576	0
441023158	3096576	0
451052168	3096576	0
461026776	3096576	0
471037143	3096576	0
481038981	3096576	0
491043315	3022848	0
501042303	3022848	0
511024543	3022848	0
520967118	3022848	0
531043983	3022848	0
541044884	3022848	0
551044533	3022848	0
561042026	3022848	0
571047960	3022848	0
581043901	3022848	0
591021115	3022848	0
601020869	3022848	0
611044953	3022848	0
621047135	3022848	0
631026348	3022848	0
641044266	3022848	0
651045737	3022848	0
660956773	3022848	0
671020223	3022848	0
681047430	3022848	0
691018402	3022848	0
701045256	3022848	0
711042767	3022848	0
721020454	3022848	0
731047032	3022848	0
741044671	3022848	0
751043202	3022848	0
761046755	3022848	0
771042826	3022848	0
781042945	3022848	0
791020618	3022848	0
801034310	3022848	0
810970943	3022848	0
821044565	3022848	0
830981037	3022848	0
841045857	3022848	0
851051108	3022848	0
861044305	3022848	0
871055913	3022848	0
881049364	3022848	0
891047181	3022848	0
901023060	3022848	0
911046475	3022848	0
921026347	3022848	0
931047910	3022848	0
941023823	3022848	0
951047781	3022848	0
961025812	3022848	0
971025874	3022848	0
981018953	3022848	0
991043329	3022848	0
1001043347	3022848	0
1011042541	3145728	0
1021042092	3145728	0
1031048226	3145728	0
1041041543	3145728	0
1051044846	3145728	0
1061046379	3145728	0
1071047050	3145728	0
1081044655	3145728	0
1091025115	3145728	0
1101022906	3145728	0
1111024224	3145728	0
1121025891	3145728	0
1131023318	3145728	0
1141036097	3145728	0
1151047422	3145728	0
1161043600	3145728	0
1171048630	3145728	0
1181045959	3145728	0
1191049399	3145728	0
1201021702	3145728	0
1211042295	3276800	0
1221044065	3276800	0
1230965964	3276800	0
1241043607	3276800	0
1251019954	3276800	0
1261048316	3276800	0
1271026250	3407872	0
1281025183	3407872	0
1291026139	3407872	0
1301044078	3407872	0
1311049437	3407872	0
1321043562	3407872	0
1331043064	3407872	0
1341043885	3407872	0
1351044626	3407872	0
1361018653	3407872	0
1371050936	3407872	0
1381048018	3407872	0
1390975948	3350528	0
1401020025	3350528	0
1411042357	3350528	0
1421047756	3350528	0
1431027087	3350528	0
1441045061	3350528	0
1451025634	3350528	0
1461044499	3350528	0
1471048210	3350528	0
1481017945	3350528	0
1491020822	3350528	0
1501051488	3350528	0
1511013327	3350528	0
1521017969	3350528	0
1531057983	3350528	0
1541017545	3350528	0
1551066646	3350528	0
1561049881	3350528	0
1571054491	3350528	0
1581023935	3350528	0
1591020122	3350528	0
1601044824	3350528	0
1611021404	3350528	0
1621045182	3350528	0
1631044037	3350528	0
1640978438	3342336	0
1651069020	3268608	0
1661063567	3268608	0
1671056474	3268608	0
1681045258	3268608	0
1691017822	3268608	0
1701053687	3268608	0
1711055159	3268608	0
1721057479	3268608	0
1731019992	3268608	0
1741052348	3268608	0
1751053727	3268608	0
1761044997	3268608	0
1771025261	3268608	0
1781024518	3268608	0
1791044967	3268608	0
1801046321	3239936	0
1811040384	3239936	0
1821029380	3239936	0
1831046294	3239936	0
1841018713	3239936	0
1851000355	3239936	0
1861053623	3239936	0
1871053382	3239936	0
1881055954	3239936	0
1890963300	3239936	0
1901031680	3239936	0
1911047553	3239936	0
1921055191	3239936	0
1931055727	3239936	0
1941032802	3239936	0
1951025814	3239936	0
1961048614	3239936	0
1970972689	3239936	0
1981020049	3239936	0
1991018797	3239936	0
2001053724	3239936	0
2011016800	3239936	0
2021056550	3239936	0
2031052964	3239936	0
2041018890	3239936	0
2051052939	3239936	0
2061052098	3239936	0
2071017521	3215360	0
2081022421	3215360	0
2091022942	3215360	0
2101044994	3215360	0
2111023332	3215360	0
2121054296	3215360	0
2130985946	3215360	0
2141040798	3215360	0
2151045312	3215360	0
2161047295	3215360	0
2171056831	3215360	0
2181045392	3215360	0
2191019053	3215360	0
2200960331	3215360	0
2211043292	3215360	0
2221047189	3215360	0
2231052219	3215360	0
2240996687	3215360	0
2251044587	3215360	0
2261025813	3215360	0
2271047375	3215360	0
2281044287	3215360	0
2291047556	3215360	0
2301042292	3186688	0
2311044456	3186688	0
2321042793	3186688	0
2331041374	3186688	0
2341020104	3186688	0
2350969315	3186688	0
2361040875	3186688	0
2371048399	3186688	0
2381045146	3186688	0
2391049365	3186688	0
2401025218	3186688	0
2411049556	3186688	0
2421024312	3186688	0
2431048881	3186688	0
2441042556	3317760	0
2450966937	3317760	0
2461021420	3317760	0
2470991404	3317760	0
2481044611	3317760	0
2491047280	3317760	0
2500984060	3317760	0
2511020005	3448832	0
2521048506	3448832	0
2531020333	3448832	0
2541046229	3448832	0
2551049267	3579904	0
2561045581	3579904	0
2571049919	3579904	0
2581025291	3563520	0
2591037237	3563520	0
2601019657	3563520	0
2611043137	3563520	0
2621021276	3563520	0
2631017978	3563520	0
2641022349	3563520	0
2651045613	3563520	0
2661049709	3563520	0
2671047421	3563520	0
2681047890	3563520	0
2691017777	3563520	0
2701044297	3563520	0
2711051576	3563520	0
2721047512	3563520	0
2731050918	3563520	0
2741020041	3563520	0
2751045160	3563520	0
2761053204	3563520	0
2770996671	3563520	0
2781045827	3563520	0
2791041786	3563520	0
2801045082	3563520	0
2811044981	3563520	0
2821022106	3563520	0
2830989891	3563520	0
2841044947	3563520	0
2851044590	3563520	0
2861044115	3563520	0
2871027368	3563520	0
2881049301	3563520	0
2891036536	3477504	0
2901021512	3477504	0
2910963017	3477504	0
2921042748	3477504	0
2931046312	3477504	0
2940957997	3477504	0
2951043510	3477504	0
2961017931	3477504	0
