time	rss	kernel
0	1568768	0
11024780	5812224	0
20906503	8712192	0
31040864	11145216	0
40952831	12386304	0
50972188	14245888	0
60986588	13705216	0
70952481	15097856	0
80923791	13783040	0
91059048	14008320	0
100889833	13754368	0
110924464	14004224	0
120984734	15458304	0
130902559	14643200	0
140949529	14426112	0
151031373	14032896	0
160944643	13258752	0
170976228	13176832	0
180953740	14467072	0
190921774	14295040	0
200925517	14565376	0
210957944	16199680	0
220989356	12550144	0
230983812	12550144	0
240930826	12550144	0
250977141	12541952	0
260980318	12541952	0
270985730	12464128	0
280945839	12464128	0
290945769	12464128	0
300957820	12337152	0
310947493	12337152	0
320979871	12337152	0
330914565	17973248	0
340949237	34357248	0
350990067	50610176	0
360869239	64897024	0
370947160	78921728	0
380988780	94388224	0
390982710	110247936	0
400976391	126369792	0
410982434	140787712	0
420943670	144134144	0
430984777	154251264	0
440955626	163524608	0
450940439	166014976	0
460946304	166002688	0
470965244	166002688	0
480954251	166526976	0
490980446	172810240	0
501064247	186441728	0
511042934	186441728	0
520870113	186441728	0
530854108	186441728	0
541040019	186441728	0
550913494	186572800	0
561069264	186572800	0
570913063	186572800	0
581002744	186572800	0
590976147	186572800	0
600990084	186572800	0
610988222	186445824	0
621042394	186347520	0
630960621	186347520	0
640944668	187637760	0
650978168	187637760	0
660951982	187637760	0
670947657	187637760	0
680945695	187637760	0
690930325	188030976	0
700953189	198639616	0
710943152	200081408	0
720972962	200081408	0
730916060	200081408	0
740954880	200081408	0
750971891	200081408	0
760986851	200081408	0
770959089	200081408	0
780978660	200081408	0
790956261	200048640	0
800942945	200048640	0
810988066	200048640	0
820964184	199983104	0
830915191	199983104	0
840994260	199983104	0
850944818	199983104	0
860928994	199983104	0
870916480	199983104	0
880972722	199983104	0
890972693	199983104	0
900975314	199983104	0
911018632	199983104	0
920867315	199983104	0
930976750	199983104	0
940914710	199983104	0
950920721	199983104	0
960973639	199983104	0
970972003	199983104	0
980957165	199983104	0
990943038	199983104	0
1000988042	199983104	0
1010953145	199983104	0
1021027938	199983104	0
1030979982	199983104	0
