time	rss	kernel
0	1130496	147456
11147716	5537792	294912
21194590	5529600	311296
31165627	5529600	311296
41153356	6041600	311296
51158334	8527872	471040
61156355	9052160	524288
71220070	9314304	598016
81160849	9314304	598016
91164994	9314304	598016
101164914	9314304	598016
111160760	9314304	598016
121232034	9314304	598016
131156161	9187328	598016
141159836	9187328	598016
151163593	9187328	598016
161165745	9187328	598016
171163766	9318400	610304
181160061	9318400	610304
191161631	9318400	610304
201165801	9318400	610304
211165322	9318400	610304
221163371	9318400	610304
231160597	9318400	610304
241164141	9318400	610304
251162550	9318400	610304
261164530	9318400	610304
271160339	9195520	610304
281166805	9195520	610304
291164455	9195520	610304
301165950	9195520	610304
311159713	9019392	610304
321169173	9019392	610304
331165008	9019392	610304
341165217	9019392	610304
351165174	9019392	610304
361162853	9019392	610304
371227797	9019392	610304
381146343	9019392	610304
391154244	9019392	610304
401172351	17932288	659456
411171009	20553728	679936
421155721	23044096	684032
431158758	25534464	688128
441168641	28155904	708608
451164987	30646272	720896
461164866	33136640	720896
471166371	35758080	741376
481150157	38248448	745472
491151079	40738816	765952
501156019	43229184	770048
511154008	45719552	778240
521152045	48209920	782336
531152641	50700288	802816
541168217	53190656	806912
551151995	55681024	827392
561164942	58171392	831488
571165418	60399616	835584
581153900	62889984	843776
591152230	65249280	864256
601164541	67608576	868352
611155048	70098944	872448
621151971	72458240	892928
631154644	74948608	897024
641169861	77307904	901120
651154943	79798272	925696
661153972	82157568	929792
671150584	84647936	933888
681150943	87007232	954368
691151839	89366528	958464
701153475	91856896	962560
711150676	94085120	983040
721154104	96575488	987136
731152095	98934784	995328
741153591	101294080	1015808
751151935	103784448	1019904
761163399	106143744	1024000
771153504	108634112	1044480
781154151	110993408	1048576
791152303	113352704	1052672
801163579	115843072	1073152
811152696	118071296	1077248
821152657	120561664	1085440
831155343	122920960	1105920
841165441	125280256	1110016
851152583	127639552	1114112
861157683	129867776	1134592
871154177	132227072	1138688
881154660	134586368	1142784
891160678	136814592	1163264
901156643	139173888	1167360
911153762	141402112	1171456
921156148	143761408	1175552
931151383	146120704	1196032
941162690	148348928	1204224
951152902	150708224	1208320
961153172	153067520	1228800
971152029	155426816	1232896
981152678	157786112	1236992
991152140	160145408	1257472
1001151662	162504704	1261568
1011171665	164864000	1265664
1021169215	167092224	1286144
1031154913	169320448	1294336
1041154647	171679744	1298432
1051153900	173907968	1318912
1061153256	176267264	1327104
1071157108	178495488	1331200
1081153580	180723712	1335296
1091153814	183083008	1355776
1101154345	185311232	1359872
1111152525	187539456	1363968
1121153067	189898752	1384448
1131152005	192126976	1388544
1141151726	194486272	1392640
1151151357	196845568	1413120
1161151881	199073792	1417216
1171151368	201302016	1421312
1181163585	203661312	1441792
1191150380	205889536	1445888
1201154026	208117760	1449984
1211152426	210477056	1474560
1221164004	212705280	1478656
1231152234	214933504	1482752
1241153421	217161728	1486848
1251163369	219389952	1507328
1261150108	221749248	1511424
1271150535	223977472	1515520
1281152864	226205696	1536000
1291154010	228433920	1540096
1301164872	230662144	1544192
1311151258	233021440	1564672
1321151928	235249664	1568768
1331168182	237477888	1572864
1341155280	239706112	1576960
1351151183	241934336	1597440
1361152213	244162560	1601536
