time	rss	kernel
0	1097728	106496
11166444	1310720	233472
21176926	5505024	307200
31122405	5758976	425984
41123614	10633216	634880
51174066	10633216	634880
61166902	10633216	634880
71107422	12075008	843776
81122503	12075008	843776
91120472	12075008	843776
101124008	12075008	843776
111123467	12075008	843776
121125696	12075008	843776
131124262	12075008	843776
141123694	12075008	843776
151119064	12070912	843776
161124639	12070912	843776
171123995	12070912	843776
181125651	12070912	843776
191119249	12070912	843776
201124012	12070912	843776
211125359	12070912	843776
221124947	12070912	843776
231119057	12070912	843776
241124044	12070912	843776
251121372	12070912	843776
261124189	12070912	843776
271125947	12034048	843776
281127217	12034048	843776
291122768	12034048	843776
301121159	12034048	843776
311124183	11804672	843776
321121162	11804672	843776
331118265	11804672	843776
341116034	11657216	843776
351135794	11595776	843776
361122330	11526144	843776
371124598	11526144	843776
381116894	15065088	864256
391116836	20963328	868352
401117094	24371200	876544
411115391	27385856	884736
421120106	30400512	892928
431115503	33284096	897024
441120265	36167680	897024
451116967	39051264	909312
461122313	41934848	913408
471117644	44949504	917504
481117898	47833088	925696
491115715	50847744	925696
501120461	53731328	933888
511116644	56614912	942080
521117609	59498496	946176
531116379	62513152	954368
541121933	65396736	958464
551114972	68280320	958464
561117874	71163904	970752
571115474	74047488	974848
581107010	76668928	978944
591113242	79421440	983040
601114722	82305024	991232
611116451	85057536	995328
621116503	87941120	999424
631116206	90693632	1007616
641117509	93446144	1011712
651119106	96067584	1015808
661116700	98951168	1019904
671118285	101703680	1032192
681118937	104456192	1036288
691116801	107339776	1040384
701116984	110092288	1044480
711116335	112844800	1052672
721123211	115597312	1052672
731115842	118349824	1056768
741106581	120971264	1060864
751107576	123461632	1069056
761108685	126083072	1073152
771114957	128835584	1077248
781117682	131588096	1081344
791116384	134209536	1089536
801118077	136962048	1093632
811116447	139583488	1097728
821117009	142336000	1101824
831115689	144957440	1110016
841119662	147578880	1114112
851116838	150200320	1118208
861116503	152821760	1122304
871117253	155443200	1126400
881119436	158064640	1134592
891119456	160686080	1138688
901116996	163307520	1142784
911128651	166060032	1146880
921128271	168812544	1155072
931123928	171565056	1159168
941126340	174186496	1167360
951122193	176939008	1171456
961121446	179560448	1179648
971123457	182312960	1183744
981120306	184934400	1187840
991119244	187686912	1191936
1001118666	190439424	1200128
1011126112	193060864	1204224
1021118901	195682304	1208320
1031118428	198172672	1212416
1041109950	200794112	1216512
1051105052	203284480	1220608
