time	rss	kernel
0	1441792	106496
10989878	1658880	299008
21016381	5779456	299008
30961322	7868416	401408
40960875	7860224	393216
50964153	8564736	528384
60963983	8564736	528384
70965495	8564736	528384
80967172	8564736	528384
90969978	8564736	528384
100963861	8564736	528384
110965634	8564736	528384
120966388	8564736	528384
130960124	8564736	528384
140961397	8437760	528384
150965343	8437760	528384
160960776	8437760	528384
170965374	8437760	528384
180966024	8437760	528384
190966635	8437760	528384
200965832	8437760	528384
210964914	8437760	528384
220967550	8437760	528384
230962933	8437760	528384
240963726	8437760	528384
250965639	8437760	528384
260968777	8437760	528384
270964861	8437760	528384
280970123	8437760	528384
290961692	8314880	528384
300964822	8314880	528384
310966046	8314880	528384
321027786	8314880	528384
331029005	8245248	528384
340959192	8245248	528384
350965640	9043968	548864
360962058	16121856	552960
370965181	20578304	557056
380970084	24248320	565248
390965530	27656192	569344
400961015	31195136	577536
410963803	34603008	585728
420964547	38141952	589824
430967235	41549824	598016
440955753	44957696	602112
450958178	48496640	610304
460957560	52035584	618496
470958505	55443456	622592
480964309	58982400	630784
490964787	62521344	638976
500961330	66060288	643072
510962667	69599232	651264
520961769	73007104	659456
530965384	76546048	663552
540961958	79953920	671744
550967514	83492864	679936
560964234	86900736	684032
570966616	90439680	692224
580965607	93847552	700416
590964060	97255424	704512
600948715	100663296	712704
610971481	104071168	720896
620962268	107479040	724992
630992995	111017984	733184
640945466	114294784	737280
650944432	117833728	745472
660944123	121241600	753664
670945562	124649472	757760
680944133	128057344	765952
690945601	131596288	774144
700943135	135004160	778240
710947384	138412032	786432
720964635	141819904	794624
730962825	145227776	798720
740965224	148504576	806912
750961842	151912448	811008
760964466	155320320	819200
770969044	158597120	827392
780967163	161873920	831488
790965191	165150720	839680
800959637	168558592	843776
810961103	171835392	851968
820961035	175112192	856064
830966468	178520064	864256
840965450	181796864	872448
850962469	185073664	876544
860964611	188350464	884736
870964667	191758336	888832
880956062	195035136	897024
890965988	198443008	901120
900960277	201719808	909312
910960524	204996608	917504
920963756	208404480	921600
930960812	211681280	929792
940963917	214958080	933888
950964555	218234880	942080
960963696	221511680	946176
970961940	224788480	954368
980965222	228065280	962560
990965372	231342080	966656
1000962194	234618880	974848
1010965170	237895680	978944
1020962306	241041408	987136
1030961264	244318208	991232
1040962999	247595008	999424
1050964715	250871808	1003520
1060962804	254017536	1011712
