time	rss	kernel
0	933888	200704
8965341	4100096	581632
16864828	7639040	585728
24730169	10784768	589824
32605021	13668352	589824
40486232	16158720	593920
48353291	18378752	589824
56226288	20606976	593920
64106512	22515712	598016
71980479	24481792	602112
79849026	26447872	606208
87722404	28545024	610304
95598274	30511104	614400
103470545	32477184	614400
111344942	34443264	618496
119220991	36540416	622592
127093972	38506496	626688
134968050	40472576	630784
142842853	42569728	634880
150715428	44535808	638976
158590395	46501888	643072
166469849	48467968	647168
174339693	50434048	651264
182211916	52531200	655360
190087093	54497280	659456
197961307	56594432	663552
205834278	58429440	667648
213709621	60395520	671744
221583758	62361600	675840
229474441	64458752	679936
237329719	66424832	684032
245205046	68521984	688128
253094228	70488064	692224
260952535	72585216	696320
268826718	74682368	700416
276701732	76648448	704512
284573758	78745600	704512
292450471	80711680	708608
300323482	82808832	712704
308196421	84774912	716800
316069217	86872064	720896
323949127	88838144	724992
331821179	90935296	729088
339700859	93032448	733184
347573848	94998528	737280
355442575	96964608	741376
363313603	99061760	745472
371188806	101027840	749568
379062483	103124992	753664
386926858	105091072	757760
394838393	107057152	761856
402683735	109023232	765952
410557466	111120384	770048
418425192	112959488	774144
426300103	114925568	778240
434173674	116760576	782336
442053804	118726656	786432
449928037	120692736	790528
457802469	122658816	790528
465675838	124493824	794624
473554447	126459904	798720
481466775	128557056	802816
489295495	130392064	806912
497167382	132358144	811008
505046045	134324224	815104
512928216	136290304	819200
520794516	138256384	823296
528670437	140222464	827392
536544641	142188544	831488
544416875	144154624	835584
552291644	146120704	839680
560164760	148217856	843776
568037116	150052864	847872
575912016	152018944	847872
583844365	153985024	851968
591660239	155820032	856064
599533591	157786112	860160
607408358	159752192	864256
615281802	161718272	868352
623166518	163684352	872448
631031840	165650432	876544
638909727	167616512	880640
646777131	169582592	884736
654652570	171679744	888832
662529657	173645824	892928
670401069	175611904	897024
678273511	177709056	901120
686148953	179675136	905216
694025146	181772288	909312
701899257	183738368	913408
709769437	185704448	913408
717645791	187801600	917504
725518908	189767680	921600
733395066	191864832	925696
741266452	193830912	929792
