time	rss	kernel
0	1056768	212992
9040587	5226496	655360
16922822	12173312	684032
24765514	14270464	704512
32642224	16629760	708608
40511765	19111936	704512
48384780	21340160	724992
56255567	23568384	729088
64139451	25927680	737280
72010765	28286976	757760
79884492	30646272	761856
87760970	33005568	765952
95632938	35364864	786432
103506047	37724160	790528
111376339	39559168	811008
119257550	41918464	815104
127128413	44277760	835584
135002978	46637056	839680
142876372	48996352	843776
150751666	51355648	864256
158621512	53714944	872448
166500172	56074240	876544
174373977	58433536	897024
182247341	60661760	901120
190123526	63152128	905216
197996782	65511424	925696
205870890	67870720	929792
213740624	69967872	942080
221618195	72458240	962560
229476455	74686464	970752
237362729	77045760	974848
245222729	79536128	995328
253114576	81895424	999424
261013406	84254720	1003520
268861677	86614016	1024000
276736988	89104384	1028096
284606593	91463680	1032192
292486641	93822976	1056768
300355298	96182272	1060864
308234993	98672640	1064960
316102750	101031936	1085440
323976786	103129088	1089536
331854225	105488384	1093632
339728474	108109824	1114112
347595596	110338048	1118208
355470442	112697344	1122304
363346112	115056640	1130496
371219864	117415936	1150976
379094087	119775232	1155072
386968832	122003456	1159168
394840919	124362752	1179648
402713006	126599168	1183744
410581734	128958464	1187840
418453228	131317760	1208320
426335325	133545984	1220608
434209695	135512064	1224704
442083229	137740288	1245184
449957680	139968512	1249280
457831380	142196736	1261568
465702058	144293888	1261568
473581963	146522112	1286144
481451503	148750336	1290240
489324343	150847488	1294336
497190646	153075712	1314816
505081651	155303936	1318912
512956809	157532160	1323008
520818846	159629312	1343488
528691531	161857536	1347584
536565707	164085760	1351680
544438149	166051840	1355776
552325746	168280064	1376256
560186779	170377216	1380352
568059898	172605440	1384448
575934254	174964736	1404928
583824382	177061888	1409024
591683406	179159040	1413120
599567087	181387264	1433600
607433301	183484416	1437696
615311105	185712640	1441792
623192262	187809792	1445888
631048145	190038016	1466368
638919537	192266240	1470464
646793880	194363392	1474560
654668192	196460544	1495040
662603399	198688768	1499136
670445877	200785920	1503232
678296423	203014144	1523712
686174017	205111296	1527808
694064172	207339520	1531904
701933286	209829888	1536000
709804712	212058112	1556480
717678331	214417408	1564672
725554211	216776704	1568768
733440959	219136000	1589248
741291378	221495296	1593344
749168956	223854592	1597440
757052499	226082816	1617920
764925765	228442112	1622016
772798639	230801408	1626112
780674256	233160704	1646592
788542780	235520000	1654784
796411846	237879296	1658880
804286885	240107520	1679360
812166218	242466816	1683456
820041248	244826112	1687552
827912186	247185408	1708032
835788666	249544704	1712128
843662841	251904000	1716224
851543746	254263296	1736704
859412926	256491520	1740800
867284443	258850816	1748992
875155988	261210112	1753088
883030140	263569408	1773568
890905486	265928704	1777664
898819306	268419072	1781760
906684415	270778368	1802240
914526918	273137664	1806336
922404177	275496960	1814528
930271068	277856256	1830912
938149646	280215552	1839104
946026974	282574848	1843200
953902257	284934144	1863680
961774144	287293440	1867776
969645494	289521664	1871872
977523245	291749888	1900544
985387333	293978112	1904640
993261974	296337408	1908736
1001211868	298827776	1929216
1009019183	301187072	1937408
1016895322	303546368	1941504
