time	rss	kernel
0	1314816	86016
9149806	4857856	475136
17046606	8527872	479232
24878515	11673600	483328
32748687	14557184	487424
40623854	17170432	483328
48502200	19529728	483328
56372170	21757952	487424
64251057	23986176	491520
72121567	26083328	495616
79998962	28180480	499712
87870913	30277632	503808
95745285	32505856	507904
103603784	34340864	512000
111489190	36438016	516096
119365409	38535168	520192
127237695	40632320	524288
135117390	42729472	528384
142990562	44826624	532480
150865665	46923776	536576
158738835	48889856	540672
166614284	50987008	544768
174485438	53084160	548864
182359333	55181312	552960
190232602	57278464	557056
198106763	59375616	561152
205979805	61472768	565248
213852638	63569920	569344
221728194	65576960	573440
229608670	67674112	577536
237470574	69771264	581632
245347513	71868416	585728
253230393	73678848	589824
261094973	75776000	593920
268956911	77742080	598016
276830217	79708160	602112
284706160	81674240	606208
292587106	83640320	610304
300460118	85606400	614400
308339359	87703552	618496
316205991	89669632	622592
324078750	91635712	626688
331963920	93732864	630784
339846961	95576064	634880
347710427	97542144	634880
355576080	99508224	638976
363470682	101605376	643072
371335495	103571456	647168
379195661	105537536	651264
387114759	107503616	655360
394941547	109469696	659456
402826729	111435776	663552
410699129	113401856	667648
418563088	115367936	671744
426447188	117334016	675840
434311971	119300096	679936
442186618	121397248	684032
450059229	123363328	688128
457933630	125329408	692224
465808600	127295488	696320
473689986	129261568	700416
481559361	131227648	704512
489437177	133193728	704512
497315660	135028736	708608
505189540	137125888	712704
513068053	139091968	716800
520934642	141058048	720896
528809810	143024128	724992
536685823	145121280	729088
544561295	147218432	733184
552432088	149315584	737280
560307917	151412736	741376
568181057	153378816	745472
576055590	155475968	749568
583933098	157573120	753664
591811962	159670272	757760
599679557	161767424	761856
607556458	163733504	765952
615431174	165830656	770048
623304607	167927808	774144
631178287	170024960	778240
639053910	172122112	782336
646928730	174088192	786432
654801199	176185344	790528
662676125	178282496	794624
670545031	180248576	798720
678422281	182345728	802816
686297577	184442880	806912
694167782	186540032	811008
702047299	188375040	815104
709914166	190472192	819200
717783951	192438272	823296
725661931	194404352	827392
733532863	196370432	831488
741403037	198467584	835584
749262588	200433664	835584
757155723	202399744	839680
765033632	204496896	843776
772893547	206462976	847872
780766030	208560128	851968
788640056	210526208	856064
796513702	212492288	860160
804387940	214589440	864256
812266716	216686592	868352
820136244	218652672	872448
828008072	220749824	876544
835881755	222715904	880640
843755708	224813056	884736
851628703	226910208	888832
859504328	228876288	892928
867381012	230973440	897024
875252355	233070592	901120
883125682	235167744	905216
890999578	237133824	909312
898873341	239230976	913408
906747502	241328128	917504
914621215	243425280	921600
922494895	245391360	925696
930372319	247488512	929792
938245678	249585664	933888
946119224	251551744	937984
953990069	253648896	942080
961866147	255877120	946176
969739631	257974272	950272
977613709	260071424	954368
985487624	262168576	958464
993364198	264265728	962560
1001237503	266362880	966656
1009114331	267411456	966656
1016986853	269115392	970752
1024859357	270950400	974848
1032733616	272916480	978944
1040613006	274882560	983040
1048490601	276848640	987136
1056379327	278814720	991232
1064229636	280911872	995328
1072101816	282877952	999424
1079976789	284844032	1003520
1087850829	286941184	1007616
1095723858	289038336	1011712
1103597909	291004416	1015808
1111472054	293101568	1019904
1119346188	295067648	1024000
1127219703	297164800	1024000
1135117986	299261952	1028096
1142984535	301228032	1032192
1150864228	303325184	1036288
1158732868	305291264	1040384
1166640220	307388416	1044480
1174480472	309354496	1048576
1182358674	311451648	1052672
1190232876	313548800	1056768
1198106209	315514880	1060864
1205975777	317612032	1064960
1213854820	319578112	1069056
1221729655	321675264	1073152
1229613591	323641344	1077248
1237467913	325738496	1081344
1245341830	327704576	1085440
1253293718	329801728	1089536
1261102475	331767808	1093632
1268975343	333864960	1097728
1276848317	335831040	1101824
1284721808	337928192	1105920
1292589193	339894272	1110016
1300454204	341860352	1114112
1308342126	343957504	1118208
1316213176	345923584	1122304
1324088425	348020736	1126400
1331960454	349986816	1130496
1339837722	352083968	1134592
1347711937	354050048	1138688
1355582830	356016128	1142784
1363459919	358113280	1142784
1371334077	360079360	1146880
1379206330	362045440	1150976
1387087725	364142592	1155072
1394953095	366108672	1159168
1402836104	368205824	1163264
1410707050	370302976	1167360
1418560435	372137984	1171456
1426451062	374104064	1175552
1434327512	376070144	1179648
1442199473	378167296	1183744
1450070329	380133376	1187840
1457949595	382099456	1191936
1465822357	384065536	1196032
1473697684	386031616	1200128
1481612955	387997696	1204224
1489437357	389963776	1208320
1497312485	391929856	1212416
1505189987	393895936	1216512
1513067948	395862016	1216512
1520941764	397959168	1220608
1528817583	399925248	1224704
1536689297	401891328	1228800
1544553479	403726336	1232896
1552439901	405692416	1236992
1560315765	407789568	1241088
1568182487	409755648	1245184
1576053028	411721728	1249280
1583957630	413687808	1253376
1591801736	415653888	1257472
1599678225	417751040	1261568
1607555455	419717120	1265664
1615428505	421683200	1269760
1623302761	423649280	1273856
1631176898	425746432	1277952
1639052331	427712512	1282048
1646926339	429809664	1286144
1654798517	431644672	1290240
1662676725	433741824	1294336
1670554358	435707904	1294336
1678423081	437805056	1298432
1686299595	439771136	1302528
1694165991	441868288	1306624
1702043483	443834368	1310720
1709902265	445931520	1314816
1717770456	448028672	1318912
1725644047	449994752	1323008
1733520775	452091904	1327104
1741392293	454189056	1331200
1749271946	456286208	1335296
1757141102	458383360	1339392
1765014879	460480512	1343488
1772890929	462446592	1347584
1780770303	464412672	1351680
1788641327	466378752	1355776
1796526254	468475904	1359872
1804398100	470573056	1363968
1812262879	472539136	1368064
1820131643	474636288	1372160
1828009318	476602368	1376256
1835879972	478699520	1380352
1843753561	480796672	1384448
1851627237	482762752	1388544
1859501956	484859904	1392640
1867375269	486957056	1396736
1875249838	489054208	1400832
1883123174	491151360	1404928
1890997491	493248512	1409024
1898872728	495214592	1413120
1906801703	497180672	1417216
1914636904	499146752	1421312
