dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,cache-references,cache-misses,memlib
6252751,294367,555773,181559674,82175570,malloc
6467260,289223,585324,182448366,82875533,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6408108,303004,563029,182244193,82649962,/usr/lib/libmesh.so
6784684,297489,593709,181723486,82464091,malloc
6334427,277999,555624,181954915,81948418,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6362285,285652,529860,181816495,82051541,/usr/lib/libmesh.so
6327257,289806,571831,182005519,82636982,malloc
6469406,290406,552176,182237412,82865209,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6328604,288317,523706,181853268,82351287,/usr/lib/libmesh.so
6537920,284573,523648,181366589,81888947,malloc
6325931,282053,546865,182076038,82447029,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6387377,280160,530758,181550094,82217436,/usr/lib/libmesh.so
6411575,278598,536426,181569289,82123511,malloc
6335429,286811,564960,180442191,82863231,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6329061,272564,550420,191468829,82619363,/usr/lib/libmesh.so
6470978,261839,523555,184367147,82392260,malloc
6517622,298555,566565,182512870,82841388,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6414045,283879,589425,189689116,82925542,/usr/lib/libmesh.so
6351779,278605,527669,182024463,82546284,malloc
6266477,932836,531718,181380540,82259229,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6543247,281416,587135,182618361,82950478,/usr/lib/libmesh.so
6572933,293366,567319,182008340,82739785,malloc
6371701,267047,543344,182347293,82712491,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6457329,264005,555523,181300693,82158269,/usr/lib/libmesh.so
6233709,276827,530483,197039176,82785526,malloc
6468940,309436,554807,181827034,82989503,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6423361,294493,573627,183323753,82969292,/usr/lib/libmesh.so
6803883,284476,589323,182883363,82753975,malloc
6418768,650564,530550,181854966,82507983,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6266797,266446,540420,181836620,82414005,/usr/lib/libmesh.so
6516510,283768,556205,182206085,82683813,malloc
6509984,284502,562635,182194350,82752169,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6486148,291526,593557,182347354,82504715,/usr/lib/libmesh.so
6936113,295291,572316,182234598,82908756,malloc
6376867,288490,573419,182369823,82972979,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6488707,590246,559347,181992327,82825154,/usr/lib/libmesh.so
6689840,522080,556796,186388336,83054659,malloc
6377768,267334,554153,181677249,82540531,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6525896,296674,594767,182183845,82914623,/usr/lib/libmesh.so
6323997,296062,573664,182993128,82598175,malloc
6364433,281393,550553,182053482,82517980,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6477846,273125,534520,181776579,81980025,/usr/lib/libmesh.so
6636480,298706,550694,182892482,82753390,malloc
6375134,277772,528521,182048260,82468696,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6312906,270797,532284,181281132,82037584,/usr/lib/libmesh.so
6315450,266993,558107,181936748,82602519,malloc
6318783,274814,563254,181707817,82144378,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6253736,276734,557185,182376245,82734581,/usr/lib/libmesh.so
6356015,293191,589395,182115784,82918961,malloc
