dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,cache-references,cache-misses,memlib
381402,46651,60157,554391199,201314851,malloc
407334,50527,62032,508239381,265567213,/usr/lib/x86_64-linux-gnu/libjemalloc.so
380357,43865,63335,543731396,245522860,/usr/lib/libmesh.so
374123,48560,62695,490099228,311139093,malloc
387735,37433,63950,540695605,224597329,/usr/lib/x86_64-linux-gnu/libjemalloc.so
387314,54692,62168,502681308,292789688,/usr/lib/libmesh.so
417290,46240,62226,525129624,264762220,malloc
397183,51230,62891,554589895,221768658,/usr/lib/x86_64-linux-gnu/libjemalloc.so
403801,49916,60505,576781020,171685944,/usr/lib/libmesh.so
385639,43618,63640,566412044,153063593,malloc
392801,54704,64057,554493379,258382546,/usr/lib/x86_64-linux-gnu/libjemalloc.so
359998,51079,62510,449400591,345975757,/usr/lib/libmesh.so
374531,32212147,63073,478619180,364617868,malloc
365168,58375,62626,501394561,313960841,/usr/lib/x86_64-linux-gnu/libjemalloc.so
411255,69921,63178,551918825,204726376,/usr/lib/libmesh.so
396510,52479,59760,504983422,277765953,malloc
383494,43573,63107,473112471,353248437,/usr/lib/x86_64-linux-gnu/libjemalloc.so
388738,49850,62190,513426908,273172340,/usr/lib/libmesh.so
391291,57362,65422,536976117,226259257,malloc
382708,54805,63635,547527976,231390190,/usr/lib/x86_64-linux-gnu/libjemalloc.so
404615,60091,64284,494129332,290231984,/usr/lib/libmesh.so
389920,47654,62749,478805883,301664348,malloc
373146,43068,60351,471069400,333923250,/usr/lib/x86_64-linux-gnu/libjemalloc.so
392909,43439,62772,464702735,311146230,/usr/lib/libmesh.so
388385,49151,61147,504161331,290743060,malloc
400932,61338,62964,532203489,265633505,/usr/lib/x86_64-linux-gnu/libjemalloc.so
393211,57525,65721,541489376,212918070,/usr/lib/libmesh.so
409863,49708,58452,493759873,285599617,malloc
396730,53056,64587,507216844,272008782,/usr/lib/x86_64-linux-gnu/libjemalloc.so
373665,48026,62903,464270328,361114079,/usr/lib/libmesh.so
404389,56715,64847,547627546,230949549,malloc
354749,66148,61735,469683200,319379334,/usr/lib/x86_64-linux-gnu/libjemalloc.so
366105,37049,61767,467560123,317308647,/usr/lib/libmesh.so
403479,52544,65497,531056213,253387688,malloc
370857,40585,62263,507224156,282139468,/usr/lib/x86_64-linux-gnu/libjemalloc.so
382070,55965,65314,564540521,205048940,/usr/lib/libmesh.so
364472,49263,66189,504432227,306532727,malloc
382906,44357,62229,525615171,247899773,/usr/lib/x86_64-linux-gnu/libjemalloc.so
415515,57510,61590,521949201,210965100,/usr/lib/libmesh.so
376599,56883,63300,482438264,302048774,malloc
381356,52636,59276,478112525,335141913,/usr/lib/x86_64-linux-gnu/libjemalloc.so
392040,50319,61972,477308534,311335390,/usr/lib/libmesh.so
380528,46977,64837,538741449,192743472,malloc
373885,45270,61441,528645987,292120724,/usr/lib/x86_64-linux-gnu/libjemalloc.so
419965,40949,62566,512234850,299657040,/usr/lib/libmesh.so
414989,46999,59120,504784872,297545840,malloc
366356,54926,64768,542183243,258263026,/usr/lib/x86_64-linux-gnu/libjemalloc.so
382483,38234,59271,527404602,249882920,/usr/lib/libmesh.so
372700,47820,61820,518145320,242260729,malloc
385233,35350,64252,495559521,271880185,/usr/lib/x86_64-linux-gnu/libjemalloc.so
397914,56297,59936,506261455,263706114,/usr/lib/libmesh.so
363601,40129,63821,532718128,254447653,malloc
378726,42887,60357,541737964,250886150,/usr/lib/x86_64-linux-gnu/libjemalloc.so
393834,60078,63438,477847031,299275697,/usr/lib/libmesh.so
373540,53762,61940,465845202,360798786,malloc
424613,44712,66401,597386975,147725358,/usr/lib/x86_64-linux-gnu/libjemalloc.so
362788,60802,67165,542102737,231919871,/usr/lib/libmesh.so
356620,51950,63446,457119439,353697473,malloc
397668,51986,64784,539893954,255073010,/usr/lib/x86_64-linux-gnu/libjemalloc.so
415347,42924,64116,493081608,320509873,/usr/lib/libmesh.so
419904,58404,63936,521758200,269165506,malloc
430013,48004,67812,531342454,298829866,/usr/lib/x86_64-linux-gnu/libjemalloc.so
381449,59905,66310,531736399,226745892,/usr/lib/libmesh.so
375132,57615,67413,553019946,176997257,malloc
383069,45484,63550,467431612,334995226,/usr/lib/x86_64-linux-gnu/libjemalloc.so
398560,42149,62066,494661336,295720976,/usr/lib/libmesh.so
399651,53310,63262,570093860,158147438,malloc
382537,58227,64599,486861384,319107306,/usr/lib/x86_64-linux-gnu/libjemalloc.so
378935,53051,67053,503089831,285058049,/usr/lib/libmesh.so
384806,42604,59915,486049240,324022638,malloc
366209,40623,63016,462634015,312611555,/usr/lib/x86_64-linux-gnu/libjemalloc.so
352323,50861,62570,511139079,307633531,/usr/lib/libmesh.so
381526,45009,62331,460992763,353467745,malloc
388577,64673,64913,497470760,285466417,/usr/lib/x86_64-linux-gnu/libjemalloc.so
381606,49523,61991,498321599,262473992,/usr/lib/libmesh.so
385783,52010,62914,490782715,258011072,malloc
394313,47075,64342,460337906,314556515,/usr/lib/x86_64-linux-gnu/libjemalloc.so
377178,42653,64965,450070598,347191896,/usr/lib/libmesh.so
390730,56798,66566,507798393,267293998,malloc
373463,57218,58179,542189450,280990289,/usr/lib/x86_64-linux-gnu/libjemalloc.so
376401,61050,62125,454577831,347510888,/usr/lib/libmesh.so
386068,52092,60491,495897597,283784847,malloc
406806,55264,67074,505972621,282540461,/usr/lib/x86_64-linux-gnu/libjemalloc.so
437923,111805,65301,513167671,304970611,/usr/lib/libmesh.so
414797,48713,63500,471490057,292558277,malloc
402020,53530,59888,474926175,302249609,/usr/lib/x86_64-linux-gnu/libjemalloc.so
391172,52656,61482,525683077,309073647,/usr/lib/libmesh.so
388950,53340,53896,485106102,319857936,malloc
377821,51289,63120,499222822,300609196,/usr/lib/x86_64-linux-gnu/libjemalloc.so
402374,42865,65166,486029957,317453933,/usr/lib/libmesh.so
386476,52756,64772,514444122,290615964,malloc
375077,56184,64511,469118810,314605328,/usr/lib/x86_64-linux-gnu/libjemalloc.so
380270,50546,63632,477637333,369515100,/usr/lib/libmesh.so
434631,57382,60438,501722189,304964469,malloc
412548,60972,66338,512892708,277873867,/usr/lib/x86_64-linux-gnu/libjemalloc.so
385392,63444,59546,465229110,333923987,/usr/lib/libmesh.so
362381,45841,61876,472502748,363309336,malloc
372956,44380,62041,518164244,254147408,/usr/lib/x86_64-linux-gnu/libjemalloc.so
398628,55031,62922,509150111,292408325,/usr/lib/libmesh.so
378349,54901,62680,478184411,337263724,malloc
381480,57382,62342,505315079,296410220,/usr/lib/x86_64-linux-gnu/libjemalloc.so
373243,61677,63170,463430850,356497184,/usr/lib/libmesh.so
358889,59294,61333,497796932,290323061,malloc
368209,47455,63762,514662128,310824326,/usr/lib/x86_64-linux-gnu/libjemalloc.so
367997,51023,62847,505848611,249455622,/usr/lib/libmesh.so
425766,50209,59345,465155687,361634157,malloc
359185,44099,64352,515083085,270482190,/usr/lib/x86_64-linux-gnu/libjemalloc.so
410571,48265,56763,545603359,277552900,/usr/lib/libmesh.so
396694,49262,67092,531395303,246035577,malloc
378664,47045,61888,540302409,272717325,/usr/lib/x86_64-linux-gnu/libjemalloc.so
384046,60842,66399,490077888,304001024,/usr/lib/libmesh.so
381262,57947,67095,520120692,309255292,malloc
425308,54710,63007,526448535,279891960,/usr/lib/x86_64-linux-gnu/libjemalloc.so
383034,35351053,61455,511425743,281573082,/usr/lib/libmesh.so
382773,53111,63592,520840136,280959864,malloc
364935,50917,62482,534366895,276934038,/usr/lib/x86_64-linux-gnu/libjemalloc.so
363697,38599,58611,492276992,324675277,/usr/lib/libmesh.so
340036,54399,62938,495708104,290137970,malloc
393623,42519,59390,489938744,297185831,/usr/lib/x86_64-linux-gnu/libjemalloc.so
389227,51102,61030,604559142,151316971,/usr/lib/libmesh.so
372230,44881,59254,459264784,346888539,malloc
441789,114731,62756,503778583,312365356,/usr/lib/x86_64-linux-gnu/libjemalloc.so
407358,62447,63806,527841956,260453376,/usr/lib/libmesh.so
377685,58117,62956,485921779,326544640,malloc
