dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,cache-references,cache-misses,memlib
9823266,2720327,2351992,69557076,8119572,malloc
10977897,2682840,2684557,69853068,7704423,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10883253,2897984,2378204,69333856,7303915,/usr/lib/libmesh.so
10909466,2823164,2632817,70825819,7810875,malloc
/usr/lib/x86_64-linux-gnu/libjemalloc.so
/usr/lib/libmesh.so
malloc
11056984,2707011,2421992,70114038,8621102,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11614570,2879293,3113586,70398250,7396874,/usr/lib/libmesh.so
10711031,2603843,2393925,71504415,7617021,malloc
10906296,2685509,2450190,69330971,7468009,/usr/lib/x86_64-linux-gnu/libjemalloc.so
12901426,2715011,2607452,71027030,8451510,/usr/lib/libmesh.so
12678131,2883529,3232192,70527450,7842104,malloc
10235051,2834192,2164255,69127729,8052198,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11555014,2589407,2423914,70591797,8086883,/usr/lib/libmesh.so
12674729,2801455,3271149,72884558,7700717,malloc
10918572,2682628,2422376,70028974,7631992,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10307629,2822427,2376881,70737804,7660191,/usr/lib/libmesh.so
11780692,2597753,2474367,70596988,8408576,malloc
9851347,2852641,2200498,70167697,7949290,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11228141,2771413,2487456,71337335,7535171,/usr/lib/libmesh.so
9821777,2674603,2280876,70139402,7075590,malloc
9973309,2629916,1887558,70644648,7879301,/usr/lib/x86_64-linux-gnu/libjemalloc.so
9528322,2492567,2060917,71392766,7595643,/usr/lib/libmesh.so
10707775,2657767,2663258,69160776,8989832,malloc
11880664,2790874,2434798,71039783,7983857,/usr/lib/x86_64-linux-gnu/libjemalloc.so
9992514,2645417,1981309,70562282,8780009,/usr/lib/libmesh.so
12781884,2784106,3181687,73787131,7913797,malloc
11381242,2817415,2615723,71724959,8238793,/usr/lib/x86_64-linux-gnu/libjemalloc.so
14422855,3041746,3136100,74672779,8773544,/usr/lib/libmesh.so
12479752,2716478,2694870,70703878,8339858,malloc
10911534,2748372,2384136,70571676,7452627,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11555232,2728832,2672615,70163962,7951625,/usr/lib/libmesh.so
10097990,2747596,2223603,70091927,8673335,malloc
9063232,2672684,2032437,70641685,7607790,/usr/lib/x86_64-linux-gnu/libjemalloc.so
12264844,2954212,2874565,71429253,8675918,/usr/lib/libmesh.so
11909938,2737434,2350209,72048604,8225015,malloc
14860126,2960382,3750151,72229608,8826269,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10525996,2507832,2466677,71187743,8002496,/usr/lib/libmesh.so
10444455,2658374,2318450,71713766,8151711,malloc
12848213,2980868,2952732,69268796,7844669,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11953400,2785949,2757250,68885368,8209963,/usr/lib/libmesh.so
11317513,2572864,2193098,69759010,8124528,malloc
11685830,2819163,2719938,71971575,8336104,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10244985,2627487,2233048,70253787,8525173,/usr/lib/libmesh.so
14555921,2877027,3324931,72453771,6612349,malloc
13271302,2585921,2910050,70927411,8319170,/usr/lib/x86_64-linux-gnu/libjemalloc.so
13369486,2475983,2851610,70747175,7677343,/usr/lib/libmesh.so
10806069,3076733,2546662,69802123,7364450,malloc
12393420,2767066,2925526,70202686,8206620,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10071603,2807162,2383965,70555253,8538701,/usr/lib/libmesh.so
12180598,2868592,2549297,71292267,7757129,malloc
11552091,3086410,3203231,69435070,8283704,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15079229,2622183,3090367,73565796,7818146,/usr/lib/libmesh.so
10657495,2608244,2199267,69050037,7136450,malloc
11984755,2596709,2476075,71592330,7718777,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10001711,2637753,2148888,71378823,8252265,/usr/lib/libmesh.so
9649317,2651576,2083674,71482353,7089016,malloc
9386809,2510551,1762509,71020331,7363034,/usr/lib/x86_64-linux-gnu/libjemalloc.so
12760979,2850643,3196829,71385117,7738335,/usr/lib/libmesh.so
14426755,2732628,2810130,72108125,7750616,malloc
13223514,3366762,3228465,72228836,8888841,/usr/lib/x86_64-linux-gnu/libjemalloc.so
9547913,2464623,2004476,70033961,7316935,/usr/lib/libmesh.so
malloc
9782470,2712990,2071524,69658518,8414751,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11073326,2678287,2159051,71076110,7299023,/usr/lib/libmesh.so
9067816,2619466,1935570,71621205,7881471,malloc
13970252,2663113,3422175,71988584,8650110,/usr/lib/x86_64-linux-gnu/libjemalloc.so
12370060,2645452,3078430,71113974,9068507,/usr/lib/libmesh.so
12851431,2618912,3015711,70887649,7826271,malloc
10517709,2389765,2329053,71472640,7281335,/usr/lib/x86_64-linux-gnu/libjemalloc.so
12726878,2576414,2518319,72117364,7429405,/usr/lib/libmesh.so
10510194,2533222,2232775,71066487,7918418,malloc
9534098,2398777,1929756,69780499,7186712,/usr/lib/x86_64-linux-gnu/libjemalloc.so
12417388,2898530,2833575,72100687,7694516,/usr/lib/libmesh.so
12461008,2626148,3121665,71686129,7520936,malloc
10144659,2569463,2237714,70300246,7781996,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11182598,2612041,2463525,71496152,7202386,/usr/lib/libmesh.so
10040014,2902878,2348676,72069096,8017237,malloc
10563344,2530807,2381576,71313296,7696245,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10252574,2705586,2284000,71295999,8782547,/usr/lib/libmesh.so
10196078,2659017,2052012,70797067,8373717,malloc
9435390,2614971,2059503,70086942,6971711,/usr/lib/x86_64-linux-gnu/libjemalloc.so
13282554,2535860,3171137,72158399,7697213,/usr/lib/libmesh.so
10044379,2597228,2188149,69278180,8209075,malloc
10114327,2959499,2380365,72153235,6755032,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11735561,3013858,2366933,70394070,8516393,/usr/lib/libmesh.so
11807735,2898722,2739446,70589567,7995828,malloc
8781702,2596847,1667016,70706204,7823734,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10865607,2645614,2243394,70187983,8364765,/usr/lib/libmesh.so
9841608,2502249,2036518,69568670,7737123,malloc
10108470,2790456,2359786,71658068,7718246,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10638481,2979193,2518326,70510387,8794903,/usr/lib/libmesh.so
12135155,2757483,2323447,73110549,9231206,malloc
12311384,2688927,3360247,71926203,8098895,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11179282,3047992,2611625,72297168,7750239,/usr/lib/libmesh.so
10094072,2612357,1849129,70698059,8101018,malloc
11493780,3103733,2652226,71893728,7389401,/usr/lib/x86_64-linux-gnu/libjemalloc.so
9735462,2687706,2007918,70346881,7905163,/usr/lib/libmesh.so
malloc
11636016,2681682,2973905,70585444,7440366,/usr/lib/x86_64-linux-gnu/libjemalloc.so
13003934,3354115,3268145,72917953,8961159,/usr/lib/libmesh.so
