dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,cache-references,cache-misses,memlib
13464453,736002,1568727,42707197,27663276,malloc
31838255,1139662,2142991,56579174,25152809,/usr/lib/x86_64-linux-gnu/libjemalloc.so
27678460,2383052,1284119,53464203,23689975,/usr/lib/libmesh.so
13634580,873093,1549913,40457574,25557263,malloc
30114545,1431272,2037899,56366097,25132364,/usr/lib/x86_64-linux-gnu/libjemalloc.so
28427190,5621729,1390250,53361291,23812342,/usr/lib/libmesh.so
13711636,290389,1566527,42562839,27646143,malloc
30878334,1284170,2039353,56413354,25181122,/usr/lib/x86_64-linux-gnu/libjemalloc.so
27673810,2135342,1327366,53623256,23909929,/usr/lib/libmesh.so
13847442,669862,1396861,42061615,27296087,malloc
30878710,3173529,2089687,56434605,25252309,/usr/lib/x86_64-linux-gnu/libjemalloc.so
29335921,3037633,1363504,53311328,23716561,/usr/lib/libmesh.so
13402496,320333,1479159,40417861,25494952,malloc
29713409,1682712,2489070,56883100,26364215,/usr/lib/x86_64-linux-gnu/libjemalloc.so
28776503,2096086,1323992,53066622,23807877,/usr/lib/libmesh.so
13635141,270655,1503729,42709597,27585317,malloc
30115414,1379672,2027423,56271176,25175797,/usr/lib/x86_64-linux-gnu/libjemalloc.so
28303295,3687556,1282849,53914128,23952590,/usr/lib/libmesh.so
12584498,2396660,1405004,40069891,26306653,malloc
30223276,1545244,2069030,56503841,25198380,/usr/lib/x86_64-linux-gnu/libjemalloc.so
31165352,1947467,1404000,54111181,23933968,/usr/lib/libmesh.so
13564833,749048,1524346,42560416,27615352,malloc
30491417,1239808,2159206,56735118,25544652,/usr/lib/x86_64-linux-gnu/libjemalloc.so
28607725,2354519,1355388,54134165,23831007,/usr/lib/libmesh.so
13152072,261003,1448102,40100883,26221694,malloc
31032517,1361418,2203758,56636077,25528524,/usr/lib/x86_64-linux-gnu/libjemalloc.so
28250836,4568433,1348891,54216719,23972330,/usr/lib/libmesh.so
13398161,356673,1428500,40192815,26175499,malloc
30347658,1533949,2051877,56198108,25218688,/usr/lib/x86_64-linux-gnu/libjemalloc.so
27789030,3719841,1303736,54042265,23875661,/usr/lib/libmesh.so
13497250,239390,1452839,40260597,25619685,malloc
30422774,1366461,2239059,56766942,25499540,/usr/lib/x86_64-linux-gnu/libjemalloc.so
26424267,3458739,1135860,48995862,22542441,/usr/lib/libmesh.so
14168331,256763,1509871,40575458,25679707,malloc
30315639,1804194,2096397,56595938,25392949,/usr/lib/x86_64-linux-gnu/libjemalloc.so
28467149,3525103,1366981,53929899,23862569,/usr/lib/libmesh.so
13662469,250663,1533327,42522282,27558861,malloc
30170341,1232472,2002358,56415748,25146936,/usr/lib/x86_64-linux-gnu/libjemalloc.so
27555365,6767357,1358443,54122017,23888909,/usr/lib/libmesh.so
13176889,271381,1591898,38226735,24511671,malloc
30049458,1211001,2067583,56349243,25129486,/usr/lib/x86_64-linux-gnu/libjemalloc.so
27698635,2760768,1255415,53447132,23922257,/usr/lib/libmesh.so
12698866,1508482,1422849,40131338,26160902,malloc
30578106,1407352,2131327,56581290,25317908,/usr/lib/x86_64-linux-gnu/libjemalloc.so
27887820,3888686,1270982,53642010,23674334,/usr/lib/libmesh.so
13820186,281597,1614833,40428878,25662356,malloc
29577493,1796406,2394156,56923387,26339347,/usr/lib/x86_64-linux-gnu/libjemalloc.so
27914951,3468739,1266949,53111810,23784245,/usr/lib/libmesh.so
13495523,261674,1448867,40263274,25498792,malloc
29862794,1350525,2110748,56328736,25229219,/usr/lib/x86_64-linux-gnu/libjemalloc.so
27720865,2061966,1305041,52741188,23935522,/usr/lib/libmesh.so
13444046,1832173,1576512,40413234,25761410,malloc
30485237,1185249,2170460,56738886,25603724,/usr/lib/x86_64-linux-gnu/libjemalloc.so
28269811,5762703,1368414,53442265,23914310,/usr/lib/libmesh.so
13398559,547294,1458955,42445333,27491252,malloc
30061157,2041336,2126190,56596881,25603096,/usr/lib/x86_64-linux-gnu/libjemalloc.so
27893261,2064695,1330230,53940245,23816119,/usr/lib/libmesh.so
14077639,802470,1393489,42461063,27430400,malloc
30207868,1468158,2178796,56847801,25577445,/usr/lib/x86_64-linux-gnu/libjemalloc.so
29639602,3467284,1348501,53406335,23851524,/usr/lib/libmesh.so
