real,user,sys,allocator
15.08,160.09,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.00,malloc
15.08,160.07,0.01,/usr/lib/libmesh.so
15.08,160.09,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.07,0.01,malloc
15.08,160.08,0.01,/usr/lib/libmesh.so
15.08,160.09,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.01,malloc
15.08,160.08,0.00,/usr/lib/libmesh.so
15.08,160.07,0.01,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.00,malloc
15.08,160.08,0.01,/usr/lib/libmesh.so
15.08,160.08,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.00,malloc
15.08,160.08,0.01,/usr/lib/libmesh.so
15.08,160.07,0.02,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.01,malloc
15.08,160.07,0.01,/usr/lib/libmesh.so
15.08,160.08,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.00,malloc
15.08,160.08,0.01,/usr/lib/libmesh.so
15.08,160.08,0.01,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.07,0.01,malloc
15.08,160.07,0.01,/usr/lib/libmesh.so
15.08,160.07,0.02,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.07,0.01,malloc
15.08,160.08,0.01,/usr/lib/libmesh.so
15.08,160.06,0.02,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.01,malloc
15.08,160.08,0.01,/usr/lib/libmesh.so
15.08,160.08,0.01,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.07,0.01,malloc
15.08,160.08,0.01,/usr/lib/libmesh.so
15.08,160.08,0.01,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.07,0.02,malloc
15.08,160.07,0.01,/usr/lib/libmesh.so
15.08,160.06,0.02,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.00,malloc
15.08,160.08,0.00,/usr/lib/libmesh.so
15.08,160.07,0.02,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.01,malloc
15.08,160.08,0.01,/usr/lib/libmesh.so
15.08,160.07,0.02,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.06,0.02,malloc
15.08,160.09,0.00,/usr/lib/libmesh.so
15.08,160.07,0.02,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.07,0.01,malloc
15.08,160.08,0.00,/usr/lib/libmesh.so
15.08,160.08,0.01,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.00,malloc
15.08,160.08,0.01,/usr/lib/libmesh.so
15.08,160.07,0.01,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.07,0.01,malloc
15.08,160.07,0.01,/usr/lib/libmesh.so
15.08,160.06,0.02,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.00,malloc
15.08,160.09,0.00,/usr/lib/libmesh.so
15.08,160.08,0.01,/usr/lib/x86_64-linux-gnu/libjemalloc.so
15.08,160.08,0.00,malloc
15.08,160.08,0.01,/usr/lib/libmesh.so
