real,user,sys,allocator
1.84,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.77,0.00,0.00,malloc
2.13,0.00,0.00,/usr/lib/libmesh.so
1.77,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.77,0.00,0.00,malloc
2.16,0.00,0.00,/usr/lib/libmesh.so
1.81,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.75,0.00,0.00,malloc
2.20,0.00,0.00,/usr/lib/libmesh.so
1.77,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.75,0.00,0.00,malloc
2.14,0.00,0.00,/usr/lib/libmesh.so
1.75,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.76,0.00,0.00,malloc
2.24,0.00,0.00,/usr/lib/libmesh.so
1.75,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.77,0.00,0.00,malloc
2.18,0.00,0.00,/usr/lib/libmesh.so
1.76,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.81,0.00,0.00,malloc
2.13,0.00,0.00,/usr/lib/libmesh.so
1.76,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.74,0.00,0.00,malloc
2.16,0.00,0.00,/usr/lib/libmesh.so
1.75,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.74,0.00,0.00,malloc
2.16,0.00,0.00,/usr/lib/libmesh.so
1.75,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.77,0.00,0.00,malloc
2.16,0.00,0.00,/usr/lib/libmesh.so
1.80,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.74,0.00,0.00,malloc
2.14,0.00,0.00,/usr/lib/libmesh.so
1.80,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.76,0.00,0.00,malloc
2.14,0.00,0.00,/usr/lib/libmesh.so
1.75,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.75,0.00,0.00,malloc
2.14,0.00,0.00,/usr/lib/libmesh.so
1.75,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.76,0.00,0.00,malloc
2.15,0.00,0.00,/usr/lib/libmesh.so
1.77,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.76,0.00,0.00,malloc
2.18,0.00,0.00,/usr/lib/libmesh.so
1.76,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.78,0.00,0.00,malloc
2.16,0.00,0.00,/usr/lib/libmesh.so
1.77,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.75,0.00,0.00,malloc
2.16,0.00,0.00,/usr/lib/libmesh.so
1.78,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.78,0.00,0.00,malloc
2.14,0.00,0.00,/usr/lib/libmesh.so
1.74,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.74,0.00,0.00,malloc
2.16,0.00,0.00,/usr/lib/libmesh.so
1.77,0.00,0.00,/usr/lib/x86_64-linux-gnu/libjemalloc.so
1.76,0.00,0.00,malloc
2.17,0.00,0.00,/usr/lib/libmesh.so
