real,user,sys,allocator
53.28,51.50,1.78,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.05,34.94,0.11,malloc
47.93,45.64,2.28,/usr/lib/libmesh.so
52.79,51.08,1.71,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.04,34.97,0.07,malloc
47.75,45.35,2.40,/usr/lib/libmesh.so
53.05,51.16,1.89,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.04,34.95,0.08,malloc
47.60,45.15,2.45,/usr/lib/libmesh.so
53.17,51.29,1.87,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.05,34.93,0.12,malloc
47.56,45.36,2.20,/usr/lib/libmesh.so
53.35,51.43,1.92,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.01,34.89,0.12,malloc
47.86,45.46,2.39,/usr/lib/libmesh.so
53.33,51.27,2.06,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.14,35.01,0.12,malloc
47.78,45.32,2.46,/usr/lib/libmesh.so
53.29,51.44,1.84,/usr/lib/x86_64-linux-gnu/libjemalloc.so
36.74,36.65,0.09,malloc
48.29,45.95,2.33,/usr/lib/libmesh.so
53.51,51.54,1.97,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.10,35.02,0.08,malloc
48.17,45.70,2.47,/usr/lib/libmesh.so
53.46,51.47,1.99,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.04,34.98,0.06,malloc
47.98,45.58,2.40,/usr/lib/libmesh.so
53.16,51.15,2.01,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.04,34.94,0.09,malloc
47.78,45.32,2.46,/usr/lib/libmesh.so
52.89,50.90,1.98,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.07,34.97,0.10,malloc
48.26,45.90,2.36,/usr/lib/libmesh.so
54.03,52.25,1.77,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.05,34.95,0.09,malloc
47.94,45.47,2.46,/usr/lib/libmesh.so
53.00,51.10,1.90,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.13,35.03,0.10,malloc
47.77,45.46,2.30,/usr/lib/libmesh.so
52.75,50.95,1.80,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.00,34.90,0.09,malloc
47.73,45.24,2.49,/usr/lib/libmesh.so
52.99,51.30,1.68,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.11,35.01,0.09,malloc
48.37,45.93,2.44,/usr/lib/libmesh.so
52.91,51.04,1.86,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.13,35.04,0.08,malloc
47.86,45.40,2.45,/usr/lib/libmesh.so
52.82,50.94,1.88,/usr/lib/x86_64-linux-gnu/libjemalloc.so
36.50,36.40,0.10,malloc
48.97,46.61,2.36,/usr/lib/libmesh.so
53.25,51.42,1.83,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.02,34.95,0.06,malloc
47.67,45.20,2.46,/usr/lib/libmesh.so
53.36,51.52,1.84,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.04,34.94,0.10,malloc
47.68,45.30,2.38,/usr/lib/libmesh.so
52.88,51.02,1.86,/usr/lib/x86_64-linux-gnu/libjemalloc.so
40.99,40.91,0.08,malloc
47.61,45.15,2.45,/usr/lib/libmesh.so
