real,user,sys,allocator
52.57,50.75,1.82,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.06,34.95,0.10,malloc
48.61,46.24,2.36,/usr/lib/libmesh.so
52.94,50.95,1.99,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.08,34.98,0.10,malloc
48.08,45.70,2.38,/usr/lib/libmesh.so
52.73,50.85,1.88,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.98,35.88,0.10,malloc
47.71,45.20,2.50,/usr/lib/libmesh.so
53.08,51.22,1.85,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.73,35.61,0.11,malloc
47.94,45.56,2.38,/usr/lib/libmesh.so
52.65,50.90,1.74,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.05,34.95,0.09,malloc
47.86,45.36,2.50,/usr/lib/libmesh.so
52.81,50.73,2.08,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.07,34.98,0.08,malloc
49.51,47.06,2.45,/usr/lib/libmesh.so
54.67,52.67,1.99,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.22,35.12,0.09,malloc
47.71,45.29,2.42,/usr/lib/libmesh.so
52.79,50.92,1.87,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.26,35.18,0.08,malloc
47.90,45.35,2.54,/usr/lib/libmesh.so
53.51,51.59,1.92,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.11,34.99,0.11,malloc
50.72,48.23,2.48,/usr/lib/libmesh.so
53.16,51.23,1.93,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.32,35.21,0.10,malloc
47.81,45.56,2.24,/usr/lib/libmesh.so
53.16,51.28,1.88,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.04,34.96,0.08,malloc
48.06,45.68,2.38,/usr/lib/libmesh.so
53.18,51.21,1.97,/usr/lib/x86_64-linux-gnu/libjemalloc.so
42.64,42.56,0.08,malloc
47.64,45.27,2.37,/usr/lib/libmesh.so
53.42,51.43,1.99,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.34,35.25,0.08,malloc
48.08,45.66,2.42,/usr/lib/libmesh.so
52.86,50.89,1.96,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.02,34.91,0.10,malloc
47.80,45.33,2.47,/usr/lib/libmesh.so
53.07,51.21,1.86,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.23,35.13,0.10,malloc
48.39,45.90,2.49,/usr/lib/libmesh.so
53.08,51.13,1.94,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.18,35.09,0.08,malloc
48.29,45.86,2.42,/usr/lib/libmesh.so
53.20,51.42,1.77,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.02,34.91,0.10,malloc
47.82,45.39,2.42,/usr/lib/libmesh.so
52.94,51.05,1.88,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.05,34.95,0.09,malloc
47.80,45.40,2.40,/usr/lib/libmesh.so
53.01,51.22,1.79,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.09,35.00,0.08,malloc
47.92,45.47,2.44,/usr/lib/libmesh.so
53.45,51.49,1.95,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.05,34.97,0.08,malloc
47.87,45.37,2.49,/usr/lib/libmesh.so
52.86,50.91,1.94,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.12,35.02,0.10,malloc
47.91,45.44,2.46,/usr/lib/libmesh.so
53.60,51.61,1.98,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.10,34.98,0.12,malloc
47.87,45.48,2.39,/usr/lib/libmesh.so
52.65,50.81,1.84,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.20,35.10,0.09,malloc
47.59,45.13,2.45,/usr/lib/libmesh.so
53.05,51.18,1.87,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.72,35.62,0.10,malloc
47.98,45.46,2.51,/usr/lib/libmesh.so
52.96,51.15,1.81,/usr/lib/x86_64-linux-gnu/libjemalloc.so
35.69,35.63,0.06,malloc
48.16,45.76,2.39,/usr/lib/libmesh.so
