real,user,sys,allocator
67.20,0.87,1.37,/usr/lib/x86_64-linux-gnu/libjemalloc.so
63.72,0.72,1.26,malloc
59.76,0.92,1.38,/usr/lib/libmesh.so
65.10,0.78,1.32,/usr/lib/x86_64-linux-gnu/libjemalloc.so
61.61,0.88,1.30,malloc
62.36,0.82,1.33,/usr/lib/libmesh.so
62.65,0.92,1.41,/usr/lib/x86_64-linux-gnu/libjemalloc.so
malloc
65.67,0.85,1.39,/usr/lib/libmesh.so
64.22,1.07,1.62,/usr/lib/x86_64-linux-gnu/libjemalloc.so
62.48,0.79,1.43,malloc
63.22,1.04,1.64,/usr/lib/libmesh.so
63.43,1.13,1.54,/usr/lib/x86_64-linux-gnu/libjemalloc.so
60.99,0.81,1.19,malloc
60.20,0.94,1.33,/usr/lib/libmesh.so
62.92,0.83,1.34,/usr/lib/x86_64-linux-gnu/libjemalloc.so
56.43,0.81,1.11,malloc
68.78,1.14,1.82,/usr/lib/libmesh.so
62.92,0.82,1.26,/usr/lib/x86_64-linux-gnu/libjemalloc.so
59.48,0.78,1.31,malloc
63.81,0.88,1.42,/usr/lib/libmesh.so
60.93,0.78,1.24,/usr/lib/x86_64-linux-gnu/libjemalloc.so
malloc
62.78,1.03,1.40,/usr/lib/libmesh.so
63.07,0.89,1.40,/usr/lib/x86_64-linux-gnu/libjemalloc.so
62.91,0.84,1.25,malloc
/usr/lib/libmesh.so
62.27,0.63,1.22,/usr/lib/x86_64-linux-gnu/libjemalloc.so
62.32,0.74,1.17,malloc
61.43,0.83,1.36,/usr/lib/libmesh.so
62.31,0.81,1.28,/usr/lib/x86_64-linux-gnu/libjemalloc.so
63.77,0.81,1.30,malloc
60.41,0.92,1.39,/usr/lib/libmesh.so
69.75,0.88,1.25,/usr/lib/x86_64-linux-gnu/libjemalloc.so
64.46,0.72,1.27,malloc
62.50,0.92,1.44,/usr/lib/libmesh.so
64.67,0.87,1.34,/usr/lib/x86_64-linux-gnu/libjemalloc.so
61.68,0.74,1.26,malloc
64.50,1.10,1.65,/usr/lib/libmesh.so
/usr/lib/x86_64-linux-gnu/libjemalloc.so
64.08,0.76,1.31,malloc
62.60,0.88,1.40,/usr/lib/libmesh.so
68.97,0.87,1.41,/usr/lib/x86_64-linux-gnu/libjemalloc.so
malloc
62.77,1.04,1.62,/usr/lib/libmesh.so
58.93,0.75,1.12,/usr/lib/x86_64-linux-gnu/libjemalloc.so
64.67,1.00,1.43,malloc
62.39,0.90,1.43,/usr/lib/libmesh.so
60.55,0.83,1.21,/usr/lib/x86_64-linux-gnu/libjemalloc.so
57.46,0.71,1.24,malloc
67.45,1.08,1.63,/usr/lib/libmesh.so
61.69,0.84,1.27,/usr/lib/x86_64-linux-gnu/libjemalloc.so
58.95,0.78,1.17,malloc
61.49,0.90,1.34,/usr/lib/libmesh.so
60.23,0.78,1.12,/usr/lib/x86_64-linux-gnu/libjemalloc.so
63.49,0.90,1.35,malloc
61.41,0.91,1.45,/usr/lib/libmesh.so
61.10,1.11,1.46,/usr/lib/x86_64-linux-gnu/libjemalloc.so
60.41,0.75,1.22,malloc
65.39,0.79,1.43,/usr/lib/libmesh.so
/usr/lib/x86_64-linux-gnu/libjemalloc.so
60.12,0.73,1.24,malloc
63.27,1.04,1.55,/usr/lib/libmesh.so
61.80,0.79,1.32,/usr/lib/x86_64-linux-gnu/libjemalloc.so
63.79,0.69,1.22,malloc
62.05,0.91,1.42,/usr/lib/libmesh.so
63.30,0.78,1.28,/usr/lib/x86_64-linux-gnu/libjemalloc.so
61.26,0.79,1.17,malloc
65.04,0.99,1.47,/usr/lib/libmesh.so
62.22,0.71,1.24,/usr/lib/x86_64-linux-gnu/libjemalloc.so
malloc
65.02,1.00,1.50,/usr/lib/libmesh.so
57.76,0.85,1.15,/usr/lib/x86_64-linux-gnu/libjemalloc.so
61.14,0.85,1.29,malloc
63.62,1.25,1.47,/usr/lib/libmesh.so
