read time, read count, update time, update count, insert time, insert count, allocator
18.0,469,18.0,531,33.5,1000,malloc
15.9,519,15.8,481,33.2,1000,malloc
17.0,475,17.0,525,33.0,1000,malloc
15.4,484,15.4,516,34.3,1000,malloc
17.5,480,17.5,520,33.4,1000,malloc
17.1,503,17.0,497,32.6,1000,malloc
16.2,499,16.1,501,33.6,1000,malloc
18.5,482,18.4,518,34.5,1000,malloc
16.8,494,16.9,506,33.4,1000,malloc
17.8,491,17.8,509,33.3,1000,malloc
17.5,501,17.4,499,35.3,1000,malloc
18.5,478,18.4,522,32.9,1000,malloc
16.9,506,16.9,494,32.7,1000,malloc
17.1,488,17.1,512,35.6,1000,malloc
15.9,495,15.9,505,33.3,1000,malloc
16.0,515,16.0,485,32.9,1000,malloc
16.4,522,16.3,478,34.1,1000,malloc
16.6,515,16.6,485,33.7,1000,malloc
18.2,477,18.2,523,33.1,1000,malloc
17.4,495,17.4,505,34.1,1000,malloc
15.4,520,15.4,480,33.0,1000,jemalloc
16.0,535,16.0,464,33.4,1000,jemalloc
16.7,520,16.6,480,32.8,1000,jemalloc
16.7,486,16.6,514,34.1,1000,jemalloc
18.1,492,18.1,508,32.5,1000,jemalloc
16.5,505,16.5,495,32.3,1000,jemalloc
17.0,489,17.0,511,34.3,1000,jemalloc
15.4,514,15.4,486,33.3,1000,jemalloc
15.4,529,15.4,471,33.2,1000,jemalloc
16.7,504,16.7,496,34.3,1000,jemalloc
17.8,488,17.8,512,33.5,1000,jemalloc
15.6,539,15.6,461,33.7,1000,jemalloc
16.7,504,16.8,496,33.5,1000,jemalloc
18.0,488,18.0,512,34.2,1000,jemalloc
16.4,504,16.4,496,33.3,1000,jemalloc
18.1,482,18.0,518,33.9,1000,jemalloc
17.1,498,17.1,502,33.8,1000,jemalloc
16.2,515,16.3,485,33.4,1000,jemalloc
15.6,496,15.5,504,35.6,1000,jemalloc
17.2,499,17.2,501,32.5,1000,jemalloc
16.8,505,16.8,495,33.3,1000,mesh
17.5,483,17.4,517,34.1,1000,mesh
18.0,479,18.0,521,32.8,1000,mesh
16.9,494,16.9,506,32.5,1000,mesh
17.7,491,17.7,509,33.3,1000,mesh
17.2,503,17.2,497,32.7,1000,mesh
16.4,499,16.4,501,33.8,1000,mesh
18.2,489,18.3,511,33.6,1000,mesh
17.4,499,17.4,501,33.8,1000,mesh
16.5,503,16.5,497,33.3,1000,mesh
15.2,505,15.2,495,35.1,1000,mesh
16.9,498,16.9,502,33.3,1000,mesh
15.8,506,15.8,494,32.4,1000,mesh
16.5,505,16.5,495,33.5,1000,mesh
17.3,505,17.2,495,34.2,1000,mesh
16.9,497,16.8,503,32.5,1000,mesh
18.4,465,18.4,535,33.2,1000,mesh
17.8,479,17.8,521,35.1,1000,mesh
15.9,528,15.9,472,33.2,1000,mesh
16.9,496,16.9,504,33.0,1000,mesh
